"","logFC","unshrunk.logFC","logCPM","PValue","FDR"
"ENSG00000022267",-3.5416965835421,-3.54185197887483,7.59084901390487,2.66687925840002e-65,4.86305432769243e-61
"ENSG00000163815",-4.47237956362693,-4.47359727979868,5.94377051175878,3.92779302372618e-58,3.58116528938235e-54
"ENSG00000182010",-4.30277033989673,-4.30317004209104,7.08230222589314,1.08619098034009e-57,6.60223084216715e-54
"ENSG00000170323",-5.79200578991209,-5.79510919798054,6.28096395343662,7.14636564889594e-56,3.25784944019044e-52
"ENSG00000204305",-6.71173518045674,-6.71219391274509,10.0670441025587,9.97967562937659e-56,3.63958770203364e-52
"ENSG00000077522",-3.63860042352061,-3.65005610877664,1.45088031000111,2.83250750031548e-54,8.60846237804213e-51
"ENSG00000120156",-3.2048548366294,-3.2052641358298,5.79604271576826,7.09213760181618e-50,1.75499732600945e-46
"ENSG00000167434",-5.99694074893093,-6.01193491582841,4.58596224058117,7.6994672926107e-50,1.75499732600945e-46
"ENSG00000159307",-4.36109971137961,-4.36413997036656,4.38821679676989,5.02544136418699e-49,1.01821025862166e-45
"ENSG00000108576",-6.87053884169657,-6.87967873374977,6.48800430958233,2.14014613636218e-48,3.90255647965643e-45
"ENSG00000186994",-3.23529724635283,-3.23665052471932,4.04796074726871,3.58374236184099e-48,5.94086745165187e-45
"ENSG00000102760",-3.00403817737192,-3.00414617602804,7.52631213720089,5.56995348214563e-47,8.46400847891046e-44
"ENSG00000136160",-3.61437534826322,-3.61473880328822,6.61574193150316,3.23932343765209e-46,4.54377406812199e-43
"ENSG00000241644",-4.11591082485131,-4.11631193000743,7.30177078597112,8.37415320960458e-46,1.090733455551e-42
"ENSG00000150625",-5.42692750004666,-5.43245475243901,5.03650695409615,1.87306370057661e-45,2.27702110533431e-42
"ENSG00000261143",-4.94967897156503,-4.9671745464577,2.67932418126784,2.45902074847103e-45,2.80251520927308e-42
"ENSG00000102683",-4.02524885650196,-4.04048406305272,1.55855833787381,1.94984839465298e-44,2.0914991456763e-41
"ENSG00000167588",-5.22439256312397,-5.22826630518424,5.23018202175938,7.3712000696087e-44,7.46743518162859e-41
"ENSG00000168309",-4.66949972216454,-4.67020140113982,7.11943178665522,1.16083211485951e-43,1.11409334812964e-40
"ENSG00000263155",-3.67281441218541,-3.67632351986208,3.32311756827371,2.69434272373322e-43,2.45656697836376e-40
"ENSG00000131477",-2.90106633452548,-2.90141350250093,5.70713030642646,3.98952492354895e-43,3.46423747528167e-40
"ENSG00000105974",-3.55082367500815,-3.55086482215727,9.60698867950398,6.03159839245662e-43,4.99937257665666e-40
"ENSG00000188536",-4.39303996131225,-4.39481999354545,6.22186013416214,9.11616224100849e-43,7.20310378169894e-40
"ENSG00000162367",-3.01907723646872,-3.02098810968119,3.32113564032669,9.48036691860568e-43,7.20310378169894e-40
"ENSG00000268388",-4.18175378228032,-4.18376947698821,4.95353041283614,1.41933225238517e-42,1.03526094488974e-39
"ENSG00000134115",-5.12617154384401,-5.1406383256943,3.12901989585143,1.48917214333893e-42,1.03804627243841e-39
"ENSG00000158764",-6.84873411998001,-6.88120239405818,4.17441386405142,1.53700298085204e-42,1.03804627243841e-39
"ENSG00000127329",-2.87856629770085,-2.87871157279556,7.06140874540964,2.26067378204592e-42,1.47226380055741e-39
"ENSG00000166292",-4.94159148544868,-4.94370340366164,6.38629709227835,3.12245507477023e-42,1.96337821684259e-39
"ENSG00000114854",-4.89398966669727,-4.89693052308022,5.37305593990627,3.4603748913148e-42,2.10333120477085e-39
