"","logFC","logCPM","F","PValue","FDR"
"ENSG00000022267",-3.51107576613074,7.57692638220255,489.656751629732,3.02181842526415e-29,5.34287715770955e-25
"ENSG00000154721",-2.52617164195196,5.19236061888686,427.689005205953,8.71548632778852e-28,7.70492568808144e-24
"ENSG00000139567",-2.5367264736547,6.75330811742031,420.273583559252,1.34107195750652e-27,7.9038310935576e-24
"ENSG00000102760",-2.97266867963328,7.51222882722993,407.12483915585,2.92835097658136e-27,1.20101142921927e-23
"ENSG00000120156",-3.17356689092747,5.78289903649173,404.670169333199,3.39633343481498e-27,1.20101142921927e-23
"ENSG00000077522",-3.62697252517314,1.43968446919945,389.699271129999,8.53722812672242e-27,2.51577884180965e-23
"ENSG00000127329",-2.84753864967383,7.05002859349749,382.52748049099,1.3424232962519e-26,2.90906493539655e-23
"ENSG00000186994",-3.20509548414065,4.03560369775123,382.510092448892,1.34390937050363e-26,2.90906493539655e-23
"ENSG00000131477",-2.8694361857253,5.69335108857827,380.988603138085,1.48077509295679e-26,2.90906493539655e-23
"ENSG00000235387",-2.76059223258729,1.61985450770824,378.444912421525,1.74275161558063e-26,3.08135913150812e-23
"ENSG00000162367",-2.99019569860839,3.30852072958714,370.107143043282,2.99281485608667e-26,4.81054177004258e-23
"ENSG00000047648",-2.59492602626853,3.61610117270273,354.244118648203,8.62787529861018e-26,1.24995041063753e-22
"ENSG00000182010",-4.26940086422168,7.06988691559971,352.47680335845,9.73273064726146e-26,1.24995041063753e-22
"ENSG00000164466",1.74368446331205,5.25037590030758,352.231573815559,9.89723757079656e-26,1.24995041063753e-22
"ENSG00000130307",-2.60662761686831,2.75521531992981,349.639980770266,1.18225524315467e-25,1.38980798660756e-22
"ENSG00000163815",-4.42984884227003,5.92755826294879,348.742251260356,1.25767364887286e-25,1.38980798660756e-22
"ENSG00000120279",-2.3015825554747,4.54707569318995,347.156072245783,1.40335339504459e-25,1.45957008104608e-22
"ENSG00000261371",-2.30818836630754,9.09822845062536,344.763110226221,1.65704245573138e-25,1.62767598109926e-22
"ENSG00000151718",-2.43490752958633,6.48685755236535,342.888920328358,1.88867825462211e-25,1.75756422210387e-22
"ENSG00000126759",-2.61124275725296,3.14933338379014,341.708941424591,2.0515020476178e-25,1.81363038519652e-22
"ENSG00000101331",-2.59537360967703,3.11593193939767,339.859743370355,2.33652357619624e-25,1.9672415881298e-22
"ENSG00000169744",-2.54361539515483,5.79388929380852,332.851958826645,3.84689288625346e-25,3.09167786917488e-22
"ENSG00000132622",-2.69775379054027,4.38185057446571,331.756620595361,4.16207335608674e-25,3.1995486525639e-22
"ENSG00000213853",-2.67167998036248,9.73959438291458,330.427558496021,4.58075889080343e-25,3.37468324784564e-22
"ENSG00000072163",-2.7668120386202,5.9308142601011,327.695177739272,5.58434481121183e-25,3.94947202428146e-22
"ENSG00000198873",-2.62061540419091,5.99850448430564,324.968226548718,6.81477930197968e-25,4.58558428622752e-22
"ENSG00000164035",-3.02901623660135,5.5946058191282,324.597656261833,7.00247586268555e-25,4.58558428622752e-22
"ENSG00000170989",-2.79868972782852,6.60117682788903,320.956089766659,9.15852174903279e-25,5.62003526483825e-22
"ENSG00000136160",-3.58184875917788,6.60253854225753,320.868904048443,9.21786226346412e-25,5.62003526483825e-22
"ENSG00000189129",-2.82597607519898,3.92305717511363,319.123355953458,1.04935746087319e-24,6.1845630885663e-22
"ENSG00000169418",-3.14533275895931,5.52868114445376,316.105365381764,1.31484970150077e-24,7.49930889426938e-22
"ENSG00000266964",-3.26855224662449,1.51281952530865,314.36226207856,1.49904596881917e-24,8.28269742959114e-22
"ENSG00000154133",-2.87874281200087,6.4167486640365,310.951729429889,1.94090205486872e-24,1.03367205087299e-21
"ENSG00000183010",3.24179659698568,5.7653672682196,310.638646116144,1.9877184395499e-24,1.03367205087299e-21
"ENSG00000165495",-2.58639674069652,3.42634212657539,307.228332964688,2.58039566843097e-24,1.3035421661008e-21
"ENSG00000166265",-2.22046097391637,5.18233179400582,304.672651599836,3.14282088803431e-24,1.54356155892596e-21
"ENSG00000161835",-2.39916499111807,4.69859658371973,301.23278117232,4.10721198932453e-24,1.96269230224992e-21
"ENSG00000198844",-2.5438356864478,4.92764080113948,298.977462462012,4.90187857041007e-24,2.28079250009001e-21
"ENSG00000186871",3.59885553650622,1.81167657107598,296.487269854988,5.96690973465225e-24,2.61123840334042e-21
"ENSG00000263155",-3.63788155090518,3.30912943815979,296.481486335532,5.96964472558305e-24,2.61123840334042e-21
"ENSG00000094963",-3.26803100102256,7.32594760830392,296.164758076875,6.12142423425983e-24,2.61123840334042e-21
"ENSG00000105974",-3.52091134040324,9.59498615016356,295.871740915733,6.26540212195339e-24,2.61123840334042e-21
"ENSG00000267107",-2.61716689956019,3.89439612767537,295.701808925795,6.35050344118761e-24,2.61123840334042e-21
"ENSG00000114654",-3.26700710261255,3.7085981213102,295.290622340407,6.56141532912714e-24,2.63664510077948e-21
"ENSG00000159307",-4.3181196547336,4.37734480938153,294.578190749542,6.94419534620162e-24,2.6831282109174e-21
"ENSG00000077152",3.31789280265041,3.57581907788889,294.512573838088,6.98059485901253e-24,2.6831282109174e-21
"ENSG00000179776",-2.57170023743336,7.26463916001165,292.050469742732,8.49957756017788e-24,3.19746874130862e-21
"ENSG00000168497",-3.53418581294256,7.73811408998213,290.943516132726,9.29048379210127e-24,3.4147172028177e-21
"ENSG00000249751",-2.48995724179695,3.16917346518361,290.714619499948,9.46333029455728e-24,3.4147172028177e-21
"ENSG00000107742",-3.52897443232693,8.4405191901082,288.480559899574,1.13360150462228e-23,4.0086416406453e-21
"ENSG00000103241",-2.62862749147784,4.84962231628857,286.931755980472,1.28565561492608e-23,4.43380288520103e-21
"ENSG00000118526",-3.58243132160534,4.90350782283041,286.757995805907,1.30398591725838e-23,4.43380288520103e-21
"ENSG00000102683",-3.98949097438983,1.54492669346869,286.454605511327,1.33664302944265e-23,4.45909158558028e-21
"ENSG00000070778",-2.39568139074258,5.77875033743224,285.496047951735,1.44550401214105e-23,4.73295489604923e-21
"ENSG00000133116",-3.09185360025474,3.40037302042114,283.928372792667,1.64375952865585e-23,5.2842385865753e-21
"ENSG00000246430",-3.66813655298145,2.18906190528552,282.619054396617,1.8308670764785e-23,5.78063585343149e-21
"ENSG00000096063",1.59303379289356,5.96874518033304,281.590079144319,1.99332780252158e-23,6.18316296076912e-21
"ENSG00000241644",-4.08362426263044,7.2864047507454,280.972972703882,2.09785840495407e-23,6.39521283758498e-21
"ENSG00000176435",-2.39088125453226,6.11644495045373,279.481315372239,2.37465546185167e-23,7.11631918999989e-21
"ENSG00000170323",-5.7217473117944,6.2612224515483,278.630731457939,2.549180455796e-23,7.51200993982151e-21
"ENSG00000135604",-2.86323828008284,4.88510284624346,278.401916447376,2.59836102826677e-23,7.53141333455489e-21
"ENSG00000120645",-2.88501188906868,2.6980671739058,277.629518586788,2.77176166821818e-23,7.90443839609123e-21
"ENSG00000116016",-2.72934460842836,10.3570641325133,274.865648641396,3.49693577357137e-23,9.81417800198658e-21
"ENSG00000157554",-2.11172786751649,5.47000127832258,272.563373964243,4.25022556973287e-23,1.1688597451239e-20
"ENSG00000131055",-2.81430297325894,3.57775946553501,272.434588392908,4.29703542972986e-23,1.1688597451239e-20
"ENSG00000142273",3.24635123649635,3.75271386938665,270.954818057035,4.874860611123e-23,1.29237159397759e-20
"ENSG00000011201",-2.88488496141569,6.89920457492126,270.901115920808,4.89728504024086e-23,1.29237159397759e-20
"ENSG00000171115",-2.50359792057312,5.63047149688942,269.827192717621,5.36888146045121e-23,1.3793679811018e-20
"ENSG00000128849",-2.72727251557707,6.49278926220519,269.796620991099,5.38297554980058e-23,1.3793679811018e-20
"ENSG00000111344",3.74693192779318,2.20007786765396,267.203253129921,6.72978406308798e-23,1.69984731456369e-20
"ENSG00000162062",3.39072142728753,1.74063905902735,266.744728729434,7.00211061973023e-23,1.7437227868655e-20
"ENSG00000101311",3.35328767761461,4.83512021230703,266.249731166137,7.30894736157046e-23,1.79485414305455e-20
"ENSG00000092051",-2.85175156386309,1.85427524716984,265.860056294336,7.56027941251503e-23,1.8311410998997e-20
"ENSG00000238018",-3.79024707657513,2.61032246165425,265.37582499227,7.88512690533443e-23,1.88401255152997e-20
