"","logFC","unshrunk.logFC","logCPM","PValue","FDR"
"ENSG00000022267",-3.54162990763494,-3.54178527662535,7.59084901390487,1.45524760823211e-24,2.65364401361126e-20
"ENSG00000163815",-4.46157108072906,-4.46275371322183,5.94377051175878,1.03247264382719e-22,8.42043486942276e-19
"ENSG00000182010",-4.30083533992678,-4.30123360668587,7.08230222589314,1.3853196933517e-22,8.42043486942276e-19
"ENSG00000077522",-3.65777290642559,-3.6696983643143,1.45088031000111,2.20359663360504e-22,1.0045646153447e-18
"ENSG00000120156",-3.20436617876153,-3.20477492958755,5.79604271576826,1.10032571905207e-21,4.0128878973829e-18
"ENSG00000170323",-5.75369170166167,-5.75656257376393,6.28096395343662,2.74353417732845e-21,7.61063671697625e-18
"ENSG00000186994",-3.23530642034929,-3.23665973387488,4.04796074726871,2.92154960344578e-21,7.61063671697625e-18
"ENSG00000102760",-3.00406019794378,-3.00416820316322,7.52631213720089,3.41384001036661e-21,7.7814215736294e-18
"ENSG00000159307",-4.34613401058239,-4.34905818553921,4.38821679676989,7.59572840778701e-21,1.53897897239996e-17
"ENSG00000167434",-5.84822927668546,-5.858727764531,4.58596224058117,1.0966925579589e-20,1.99981887943805e-17
"ENSG00000204305",-6.70519596501042,-6.70564892847673,10.0670441025587,1.60139756922748e-20,2.60766229468278e-17
"ENSG00000136160",-3.61299409436693,-3.61335610175884,6.61574193150316,1.71603770420583e-20,2.60766229468278e-17
"ENSG00000131477",-2.90074399530361,-2.90109077408636,5.70713030642646,2.92709312604625e-20,4.10581101180411e-17
"ENSG00000162367",-3.02094579666295,-3.02286691270003,3.32113564032669,3.19610166362462e-20,4.16292241687107e-17
"ENSG00000127329",-2.87855864455276,-2.87870391587235,7.06140874540964,3.79151070742525e-20,4.53140347544221e-17
"ENSG00000102683",-4.02017266919514,-4.03527396432255,1.55855833787381,4.09707680991293e-20,4.53140347544221e-17
"ENSG00000241644",-4.11281427074264,-4.11321212861632,7.30177078597112,4.22450557074404e-20,4.53140347544221e-17
"ENSG00000154721",-2.55708233443144,-2.55744473783267,5.2041281206361,6.97686495251392e-20,7.06795180050508e-17
"ENSG00000263155",-3.66976207490487,-3.67324443166607,3.32311756827371,7.82748952773465e-20,7.51233008096007e-17
"ENSG00000235387",-2.79214016865639,-2.79742290279159,1.63191155511114,9.55368978307362e-20,8.49470724329677e-17
"ENSG00000261143",-4.90717122987926,-4.92310454389701,2.67932418126784,9.78277225715559e-20,8.49470724329677e-17
"ENSG00000139567",-2.56790411785046,-2.56801865246261,6.76481246274881,1.09951113467691e-19,9.11344797310613e-17
"ENSG00000105974",-3.55070412561243,-3.55074526188863,9.60698867950398,1.18330602343271e-19,9.38155884230234e-17
"ENSG00000150625",-5.35030467567772,-5.35482798201094,5.03650695409615,1.24212514684437e-19,9.43756335529459e-17
"ENSG00000266964",-3.29953545142869,-3.30826116450316,1.52527586354591,1.41923950854631e-19,1.03519329753368e-16
"ENSG00000168497",-3.56523403434908,-3.56540990459904,7.75016925696794,1.78331978173263e-19,1.20393196467416e-16
"ENSG00000186871",3.56864454012257,3.5767900228753,1.79433030142885,1.84012543191161e-19,1.20393196467416e-16
"ENSG00000118526",-3.61225549423829,-3.61345860930737,4.91510259218772,1.84864793040178e-19,1.20393196467416e-16
"ENSG00000107742",-3.55964096154944,-3.55973275728299,8.45051323754383,1.9801753731064e-19,1.24512061822742e-16
"ENSG00000246430",-3.69937321161029,-3.7082492650182,2.20670903841076,2.28429737360781e-19,1.32075284500447e-16
"ENSG00000108576",-6.78880763970011,-6.79656802257094,6.48800430958233,2.34895305774882e-19,1.32075284500447e-16
"ENSG00000268388",-4.166319719202,-4.16825374603853,4.95353041283614,2.37946283725007e-19,1.32075284500447e-16
"ENSG00000169418",-3.17565738325781,-3.17617052276277,5.5379341705351,2.39017515136537e-19,1.32075284500447e-16
"ENSG00000188536",-4.37781039109929,-4.37950462969436,6.22186013416214,2.58113151235366e-19,1.38432156258144e-16
"ENSG00000176771",-3.88206398901239,-3.8834753350918,5.02421441582239,2.73756467550539e-19,1.42627119593831e-16
"ENSG00000158764",-6.52745741576318,-6.54682907445706,4.17441386405142,2.92413883141489e-19,1.48115754419029e-16
"ENSG00000238018",-3.82269165909024,-3.82873165022299,2.61987569998967,3.21350951425318e-19,1.58373908087586e-16
"ENSG00000164035",-3.05894326497873,-3.05941944385046,5.60854068486108,3.31579266216928e-19,1.59114418933307e-16
"ENSG00000168309",-4.66380315952982,-4.66449565897422,7.11943178665522,3.55466891480377e-19,1.66203558106274e-16
"ENSG00000183010",3.21101599556662,3.21143136379702,5.74952006838196,3.74970692017735e-19,1.70939764223585e-16
"ENSG00000094963",-3.29883430419515,-3.29901964446809,7.33985368469302,4.54872709021553e-19,2.00511007904498e-16
"ENSG00000114654",-3.29787556727182,-3.29977459589752,3.7205590097839,4.61829576747405e-19,2.00511007904498e-16
"ENSG00000167588",-5.1704921432805,-5.17398243129758,5.23018202175938,5.06342725494944e-19,2.14724641846518e-16
"ENSG00000114854",-4.85058747248652,-4.85325123231762,5.37305593990627,5.36011715470505e-19,2.22140309809197e-16
"ENSG00000134115",-5.0530181332604,-5.0654391155975,3.12901989585143,5.5474415967967e-19,2.24794661150195e-16
"ENSG00000135063",-3.81669761269701,-3.81765498060092,5.44858155288148,7.94210914590316e-19,3.04598782887542e-16
"ENSG00000179133",-4.54465270292612,-4.57081175766663,1.44646785995189,8.06379504637248e-19,3.04598782887542e-16
"ENSG00000077152",3.2870205796891,3.28904955335057,3.55768138997656,8.14964191872477e-19,3.04598782887542e-16
"ENSG00000112782",-4.53462429295701,-4.53501114198992,7.66901707976538,8.33093785037341e-19,3.04598782887542e-16
"ENSG00000111344",3.71570997514127,3.724220898512,2.18331435537621,8.35203682170391e-19,3.04598782887542e-16
"ENSG00000143228",3.78260909442709,3.78694280220167,3.10362239496545,9.86512737292905e-19,3.5164823622987e-16
"ENSG00000166292",-4.92282945324769,-4.92484036552526,6.38629709227835,1.00278082171391e-18,3.5164823622987e-16
"ENSG00000101280",-4.28876820168989,-4.30448287199667,1.95541407594748,1.59496168538519e-18,5.48757100622621e-16
"ENSG00000072163",-2.79681422261252,-2.79708028389165,5.94176420494337,1.62905468045738e-18,5.50107631447045e-16
"ENSG00000115361",-4.20397273953889,-4.20793397180013,3.86977014306499,1.6763689207639e-18,5.55792495820539e-16
"ENSG00000213853",-2.70246959723362,-2.70248587422342,9.74764469819517,1.73083127613219e-18,5.58219455029311e-16
"ENSG00000189129",-2.85583031450897,-2.85716423110165,3.93673772506528,1.74491411772255e-18,5.58219455029311e-16
"ENSG00000047648",-2.62566242241871,-2.62683362886423,3.62614501133927,1.80883513408061e-18,5.68691528792414e-16
"ENSG00000165810",-4.18812340328789,-4.19000210702798,5.00775019285009,2.0169220712357e-18,6.23365660491237e-16
"ENSG00000154133",-2.90967030407691,-2.90987367844713,6.42758699060975,2.07425354556223e-18,6.30400223388788e-16
"ENSG00000234281",-4.07897067035665,-4.09272197438252,1.85156808945771,2.13307849812637e-18,6.32214774663021e-16
"ENSG00000130307",-2.63702347944539,-2.63899642423829,2.76636630039308,2.14956490425595e-18,6.32214774663021e-16
"ENSG00000127241",-3.46887552887044,-3.4718153151676,3.37986210004838,2.28879296463977e-18,6.62478408098513e-16
"ENSG00000175063",4.08001480043158,4.08232462533107,4.52539938874456,2.43853214387633e-18,6.90038412937671e-16
"ENSG00000132622",-2.72823556543822,-2.72897825354441,4.39249130333833,2.45969272503146e-18,6.90038412937671e-16
"ENSG00000266524",-4.19343693662076,-4.19714531666094,3.99664693991117,2.59478459436785e-18,7.12262321118638e-16
"ENSG00000170989",-2.8294085920313,-2.82959018543855,6.61448259616259,2.61703183520421e-18,7.12262321118638e-16
"ENSG00000159708",-4.30282881564345,-4.30756557489068,3.68022932535158,2.75884770671764e-18,7.39817469588178e-16
"ENSG00000133116",-3.1225098915439,-3.12474050846309,3.41173123959004,2.80419168355127e-18,7.4107877318199e-16
"ENSG00000105227",-3.72263926240667,-3.72328951842353,5.89899379128162,3.58627150789495e-18,9.16221563514249e-16
"ENSG00000101331",-2.62565172399982,-2.62722691286937,3.12587459930616,3.60738538544361e-18,9.16221563514249e-16
"ENSG00000126759",-2.64196002744549,-2.64373152449269,3.16048084512488,3.6176557484522e-18,9.16221563514249e-16
"ENSG00000243566",-5.41949632876613,-5.42169880814914,6.40819514804105,4.05307910512853e-18,1.00994172913663e-15
"ENSG00000162062",3.35895097926342,3.36679401947812,1.72220873608887,4.09847479879961e-18,1.00994172913663e-15
"ENSG00000101311",3.32175995169895,3.32287218771974,4.81634067693682,5.04972898916079e-18,1.21583713925193e-15
"ENSG00000174371",3.85719167169602,3.86259720874566,2.83935393210382,5.06737716386874e-18,1.21583713925193e-15
"ENSG00000183019",-5.19068834651923,-5.19243632737392,6.39648263258741,5.25107585060692e-18,1.24355023553009e-15
"ENSG00000131097",-3.26953531142264,-3.27196572254875,3.51873149542531,5.51000646073964e-18,1.28814061296907e-15
"ENSG00000155511",-4.71161605470982,-4.72039319677824,3.46676587882247,6.0059045594893e-18,1.38629961572516e-15
"ENSG00000142273",3.21509742491267,3.21697935914232,3.73279978739406,6.09320346660234e-18,1.38886956516867e-15
"ENSG00000198873",-2.65101990953385,-2.65123004665791,6.00795134826557,6.68692477211076e-18,1.50538361999308e-15
"ENSG00000183856",3.65231117792403,3.65405374415642,4.3090513301397,7.47503572814744e-18,1.66228385978986e-15
