"","logFC","logCPM","LR","PValue","FDR"
"ENSG00000137807",3.76792631001185,4.58447555777001,656.082659778892,1.0623360693371e-144,1.91124882234437e-140
"ENSG00000168143",6.76101635094376,4.48482697362907,632.445294810691,1.46890517226107e-139,1.32135364770744e-135
"ENSG00000198826",3.15592438934533,3.95068696356185,629.727926379682,5.72789283278556e-139,3.4350173318215e-135
"ENSG00000166851",4.18548156792179,4.53656330914765,613.672679432612,1.77802410157081e-135,7.99710790284012e-132
"ENSG00000196584",3.90979840195092,2.8256050955897,598.045861192017,4.45493034665688e-132,1.60297303733408e-128
"ENSG00000121152",4.22387107846251,4.33735143111963,581.943411654592,1.41693637333672e-128,4.24868371545016e-125
"ENSG00000149564",-3.04276525220768,6.73136797208882,566.398402663138,3.41008515471936e-125,8.76440600265085e-122
"ENSG00000163072",-3.62767944632268,4.29174264741319,561.637010885061,3.70267009572139e-124,8.32684221151544e-121
"ENSG00000146670",4.18952167443602,4.87475724909444,551.1393664377,7.11429864728629e-122,1.42214829959253e-118
"ENSG00000186871",4.04515272014048,2.33129384240579,547.371173417175,4.69752596548816e-121,8.45131896450976e-118
"ENSG00000140534",4.43961727983452,3.25893235111793,544.754576550663,1.74217878268435e-120,2.84941258902493e-117
"ENSG00000170989",-3.62280082866868,6.61142580388501,543.833660868464,2.7633321086812e-120,4.14292566394029e-117
"ENSG00000235387",-3.4848965602049,1.66914000492374,541.021467433856,1.13035486795584e-119,1.56432418687642e-116
"ENSG00000143590",3.60607111447014,1.97487629304043,529.645559070599,3.37333461135616e-117,4.33497592806491e-114
"ENSG00000051341",4.61660671894067,3.31706904741678,527.302259830873,1.0910876206836e-116,1.30865049224791e-113
"ENSG00000167874",-3.04665198516357,2.50232068402657,522.337459048842,1.31219656157396e-115,1.47548302120482e-112
"ENSG00000160957",3.3451016538908,4.01370196062654,521.104809147104,2.4331927733212e-115,2.55192086609657e-112
"ENSG00000169744",-3.27724061692917,5.53428412185561,521.008708503934,2.55319746482899e-115,2.55192086609657e-112
"ENSG00000120156",-3.93703926564341,5.78934305322304,519.872332320494,4.51146602838916e-115,4.27188343772365e-112
"ENSG00000164035",-3.99311119287512,5.45262816189238,516.263505089052,2.75087859110186e-114,2.47455283662568e-111
"ENSG00000134057",3.63111138420422,5.26526684573375,515.987309940228,3.15909142256794e-114,2.70643875159142e-111
"ENSG00000085552",4.79212331904359,5.64524275090178,514.177911603187,7.82038114436473e-114,6.39529441673936e-111
"ENSG00000117394",5.34314394431685,9.03238637341853,512.454549441706,1.85428923363218e-113,1.4005066583924e-110
"ENSG00000149554",3.40654302794806,4.05048720243076,512.439548986115,1.86827634936455e-113,1.4005066583924e-110
"ENSG00000120279",-3.1214668125092,4.47077224232165,506.140630169212,4.38439054425595e-112,3.15518281126835e-109
"ENSG00000139567",-3.10647528904684,6.84936187480434,505.13624375865,7.25167974864096e-112,5.01788347529998e-109
"ENSG00000117399",4.80207464838877,5.30535326936331,500.31034579243,8.13664478007355e-111,5.42171763845568e-108
"ENSG00000131477",-3.14448157722412,5.60154239074596,498.960190124801,1.60034052319549e-110,1.02827594117179e-107
"ENSG00000088325",4.97921183308627,6.30587528240765,498.272912041629,2.25814103339572e-110,1.40090397695939e-107
"ENSG00000174371",4.49245628083744,3.35878410379609,497.91198607629,2.70571383928789e-110,1.62261658942095e-107
"ENSG00000112742",4.74620752270929,3.97906928638674,496.985467343114,4.30403392075515e-110,2.49786691188084e-107
"ENSG00000135451",4.74680835953907,3.7766086005253,493.712167574465,2.21867092642063e-109,1.24737839491355e-106
