"","logFC","unshrunk.logFC","logCPM","PValue","FDR"
"ENSG00000168143",6.76101635094376,6.77500874390754,4.48482697362907,3.09313542725891e-111,5.5648599471815e-107
"ENSG00000166851",4.18548156792179,4.18690646521139,4.53656330914765,2.45383481720907e-87,2.20734710982042e-83
"ENSG00000137807",3.76792631001185,3.76884222260103,4.58447555777001,7.09616653514661e-87,4.25557107112742e-83
"ENSG00000204305",-7.82767603251786,-7.82830527163645,9.98772848064842,2.03159744667129e-85,9.13761741576577e-82
"ENSG00000121152",4.22387107846251,4.22545554952296,4.33735143111963,3.02905890733191e-83,1.08991597603617e-79
"ENSG00000117394",5.34314394431685,5.34330383613312,9.03238637341853,3.99850242331369e-83,1.19895095163061e-79
"ENSG00000196584",3.90979840195092,3.91346578306757,2.8256050955897,3.05148943569617e-81,7.84276377680139e-78
"ENSG00000137203",5.56245637287437,5.56673411104073,4.61484084963606,5.2196244521072e-81,1.17382829397326e-77
"ENSG00000140534",4.43961727983452,4.44359875105174,3.25893235111793,2.05052266706892e-80,4.09899481147076e-77
"ENSG00000051341",4.61660671894067,4.62146652896121,3.31706904741678,1.26329747884964e-79,2.27279849419839e-76
"ENSG00000085552",4.79212331904359,4.79342681199782,5.64524275090178,2.84363298780147e-79,4.6508910075942e-76
"ENSG00000146670",4.18952167443602,4.19060815564764,4.87475724909444,1.07290590386839e-78,1.60855417637468e-75
"ENSG00000088325",4.97921183308627,4.98000390963845,6.30587528240765,1.96110619740776e-78,2.71402012288947e-75
"ENSG00000168309",-5.8620828882629,-5.86339888312098,7.24145451852351,3.75663834791404e-78,4.82754860838011e-75
"ENSG00000117399",4.80207464838877,4.80347197166667,5.30535326936331,2.80996380749201e-77,3.37027059070592e-74
"ENSG00000163815",-5.30173599204867,-5.30545008818216,4.71390769903341,8.52133943907482e-77,9.58171361552469e-74
"ENSG00000112742",4.74620752270929,4.74938163968563,3.97906928638674,2.54034133620522e-76,2.68842829292165e-73
"ENSG00000186871",4.04515272014048,4.05065495505108,2.33129384240579,3.78202457533861e-76,3.78013356305094e-73
"ENSG00000135451",4.74680835953907,4.75060736871799,3.7766086005253,8.92782538576931e-76,8.45371086923029e-73
"ENSG00000174371",4.49245628083744,4.49642785239084,3.35878410379609,2.78193834953899e-74,2.5024926423278e-71
"ENSG00000117650",4.70677729120079,4.71045471017776,3.79040817779332,5.27067988237901e-74,4.51546675066099e-71
"ENSG00000163072",-3.62767944632268,-3.62881788864728,4.29174264741319,1.47907926434155e-72,1.20955068385313e-69
"ENSG00000115163",4.94788715953704,4.95540354724634,2.95066211777925,3.03862564724233e-72,2.37686582693638e-69
"ENSG00000198826",3.15592438934533,3.15684425312687,3.95068696356185,3.4488077762373e-72,2.58531252926189e-69
"ENSG00000175063",4.91792110977624,4.91968723908188,5.07344953719282,7.83768171972307e-72,5.64030927278151e-69
"ENSG00000164035",-3.99311119287512,-3.99382425128923,5.45262816189238,1.17461113245427e-71,8.12785726307109e-69
"ENSG00000261143",-5.71229654949043,-5.73112618019711,2.77638073530847,1.30094123550582e-71,8.66860509925375e-69
"ENSG00000120156",-3.93703926564341,-3.93760285502875,5.78934305322304,2.34028451503545e-71,1.5037163825001e-68
"ENSG00000090889",4.62789849019159,4.63027465549591,4.31740776436861,2.81031547554406e-71,1.74346157656942e-68
