"","logFC","logCPM","F","PValue","FDR"
"ENSG00000137807",3.7681231091757,4.58447555777001,640.658847382819,1.29077929009297e-31,1.58198201932667e-27
"ENSG00000198826",3.15668459794634,3.95068696356185,632.753571104822,1.75863711781077e-31,1.58198201932667e-27
"ENSG00000168143",6.75372951811318,4.48482697362907,589.872265443098,1.00442324673243e-30,4.47250845412306e-27
"ENSG00000166851",4.18491396168217,4.53656330914765,589.113684777791,1.03694000425136e-30,4.47250845412306e-27
"ENSG00000196584",3.91248292987542,2.8256050955897,584.815435938664,1.24298495195461e-30,4.47250845412306e-27
"ENSG00000149564",-3.042897790295,6.73136797208882,561.407284875576,3.40931684567933e-30,1.02228365617695e-26
"ENSG00000121152",4.22329964275123,4.33735143111963,552.489785086726,5.05837814941099e-30,1.25745682716317e-26
"ENSG00000235387",-3.49700618173624,1.66914000492374,548.977326195139,5.91827090142009e-30,1.25745682716317e-26
"ENSG00000163072",-3.62833378778031,4.29174264741319,547.618437651576,6.29042935049108e-30,1.25745682716317e-26
"ENSG00000167874",-3.05207608598591,2.50232068402657,527.786849564308,1.55661211658684e-29,2.80050085895139e-26
"ENSG00000170989",-3.62258262088835,6.61142580388501,524.572354840838,1.80811542125369e-29,2.95725495852502e-26
"ENSG00000146670",4.18843079373475,4.87475724909444,521.866837566391,2.05236193388063e-29,2.99151006186859e-26
"ENSG00000186871",4.04847384266884,2.33129384240579,520.763046586581,2.16161585260917e-29,2.99151006186859e-26
"ENSG00000143590",3.60299546763721,1.97487629304043,517.725171525669,2.49456950557632e-29,3.20569999820169e-26
"ENSG00000140534",4.44075441475416,3.25893235111793,515.034297183801,2.83389189731076e-29,3.39896994163453e-26
"ENSG00000160957",3.34539434224223,4.01370196062654,512.568932113239,3.18683855099189e-29,3.58340077318095e-26
"ENSG00000169744",-3.27720574530873,5.53428412185561,507.092247407315,4.14383457798092e-29,4.38539575837969e-26
"ENSG00000149554",3.40704173263148,4.05048720243076,499.784948932799,5.9062748121654e-29,5.90332167475931e-26
"ENSG00000120279",-3.12216858793037,4.47077224232165,496.530513586218,6.92655025457655e-29,6.3070187209149e-26
"ENSG00000134057",3.63094150249289,5.26526684573375,496.282913265305,7.01130423090979e-29,6.3070187209149e-26
