"","logFC","unshrunk.logFC","logCPM","PValue","FDR"
"ENSG00000168143",6.75372951811318,6.7662009149196,4.48482697362907,4.19776427150802e-29,7.55219770087007e-25
"ENSG00000137807",3.7681231091757,3.76903949556317,4.58447555777001,2.08798026599243e-27,1.74571611161861e-23
"ENSG00000166851",4.18491396168217,4.18633686605286,4.53656330914765,2.91098234386962e-27,1.74571611161861e-23
"ENSG00000196584",3.91248292987542,3.91617802717531,2.8256050955897,1.01161865950657e-26,4.46777427282527e-23
"ENSG00000121152",4.22329964275123,4.22488213155693,4.33735143111963,1.24166924374e-26,4.46777427282527e-23
"ENSG00000140534",4.44075441475416,4.4447457165203,3.25893235111793,3.44117647657311e-26,1.03183676650045e-22
"ENSG00000146670",4.18843079373475,4.18951472219844,4.87475724909444,5.22610296803397e-26,1.34318312139856e-22
"ENSG00000051341",4.61627645415231,4.62113268626956,3.31706904741678,6.05118990242241e-26,1.36083696918102e-22
"ENSG00000186871",4.04847384266884,4.05401898888498,2.33129384240579,9.53086572008316e-26,1.78780932303408e-22
"ENSG00000198826",3.15668459794634,3.15760680859579,3.95068696356185,9.93724263817507e-26,1.78780932303408e-22
"ENSG00000117394",5.34299726143381,5.34315709583453,9.03238637341853,1.17342303468253e-25,1.91918671063395e-22
"ENSG00000085552",4.78988612468053,4.79117957302758,5.64524275090178,1.57585284082865e-25,2.32551163869287e-22
"ENSG00000137203",5.55023005788565,5.55437232992922,4.61484084963606,1.78235226260742e-25,2.32551163869287e-22
"ENSG00000163072",-3.62833378778031,-3.62947385945952,4.29174264741319,1.80963609258519e-25,2.32551163869287e-22
"ENSG00000117399",4.79750236353521,4.79888648828616,5.30535326936331,2.9319394526085e-25,3.16281190931951e-22
"ENSG00000112742",4.74297777392844,4.7461315983063,3.97906928638674,3.07146616705025e-25,3.16281190931951e-22
"ENSG00000088325",4.9761373028316,4.97692443776829,6.30587528240765,3.24607871244512e-25,3.16281190931951e-22
"ENSG00000135451",4.74311222331017,4.74688306303743,3.7766086005253,3.30153303847052e-25,3.16281190931951e-22
"ENSG00000174371",4.49193963153823,4.49590706053942,3.35878410379609,3.34019377894896e-25,3.16281190931951e-22
"ENSG00000235387",-3.49700618173624,-3.50308972275749,1.66914000492374,3.64717809243446e-25,3.28081905304942e-22
"ENSG00000170989",-3.62258262088835,-3.62282561701416,6.61142580388501,4.9851145302156e-25,4.15516156617758e-22
"ENSG00000164035",-3.99136605284593,-3.99207622586966,5.45262816189238,5.1729809275101e-25,4.15516156617758e-22
"ENSG00000120156",-3.93569083095582,-3.93625250110637,5.78934305322304,5.39893362370202e-25,4.15516156617758e-22
"ENSG00000163815",-5.28160931026326,-5.28514602396711,4.71390769903341,5.54298691502762e-25,4.15516156617758e-22
"ENSG00000117650",4.70317323965227,4.70682169211142,3.79040817779332,6.45804716556238e-25,4.64746906222531e-22
"ENSG00000143590",3.60299546763721,3.60860591831818,1.97487629304043,7.91777260415905e-25,5.47879411236252e-22
"ENSG00000204305",-7.82235532397915,-7.82297856619942,9.98772848064842,8.86917237910685e-25,5.9098251952782e-22
"ENSG00000168309",-5.85317643069729,-5.85446488675678,7.24145451852351,9.79170819470224e-25,6.29152221896029e-22
"ENSG00000115163",4.94427773157701,4.95174700863957,2.95066211777925,1.31420212277895e-24,8.15303806583311e-22
"ENSG00000090889",4.62179956700913,4.62414004946324,4.31740776436861,1.52930550300816e-24,8.9704863538678e-22
"ENSG00000093009",4.61142130653741,4.61439080946837,4.00518669888545,1.54568993924686e-24,8.9704863538678e-22
"ENSG00000134690",4.01278926818534,4.01407209881723,4.83550521397163,1.72076789071006e-24,9.3985733657895e-22
"ENSG00000134057",3.63094150249289,3.63148792008548,5.26526684573375,1.72393375060338e-24,9.3985733657895e-22
"ENSG00000085999",4.17782520201446,4.18352086437878,2.54645455851004,2.37584817745116e-24,1.23998372759684e-21
"ENSG00000175063",4.91175381680197,4.91349752516816,5.07344953719282,2.41228561313376e-24,1.23998372759684e-21
"ENSG00000117724",4.50601664187959,4.50670299814888,5.99582923236747,2.54746464094603e-24,1.27309545431278e-21
"ENSG00000157456",4.26412086166285,4.26541507558929,4.7228324293688,2.67156106704138e-24,1.29902851776058e-21
"ENSG00000143228",4.43576931916688,4.4389905321695,3.67641432557835,2.79792929825568e-24,1.3010702420069e-21
"ENSG00000154839",4.48038391147716,4.48540857630433,3.0240034388479,2.82039572220939e-24,1.3010702420069e-21
