,Data,N,Out,DEA,FDR,logFC,median_deg,median_deg_adj,median_mcc,median_mcc_adj,median_prec,median_prec_adj,median_rec,median_rec_adj,median_rep,median_rep_adj,id
0,BRCA,3,None,edgerqlf,0.05,1,0.0,0.0,0.11972487138780694,0.11972487138780694,0.9765100671140939,0.9765100671140939,0.0,0.0,0.0,0.0,0
1,BRCA,7,None,edgerqlf,0.05,1,449.5,449.5,0.3926047020304426,0.3926047020304426,0.9612305931562561,0.9612305931562561,0.18021567814184986,0.18021567814184986,0.2472952086553323,0.2472952086553323,1
2,BRCA,15,None,edgerqlf,0.05,1,1251.5,1251.5,0.633489038682001,0.633489038682001,0.8949155852443715,0.8949155852443715,0.4796764827872252,0.4796764827872252,0.45796178343949046,0.45796178343949046,2
3,COAD,3,None,edgerqlf,0.05,1,101.0,101.0,0.22276446182328885,0.22276446182328885,0.944954128440367,0.944954128440367,0.0430327868852459,0.0430327868852459,0.00641025641025641,0.00641025641025641,3
4,COAD,7,None,edgerqlf,0.05,1,1013.5,1013.5,0.5622031477664495,0.5622031477664495,0.9217805755395684,0.9217805755395684,0.4291894353369763,0.4291894353369763,0.35952557449962935,0.35952557449962935,4
5,COAD,15,None,edgerqlf,0.05,1,1922.0,1922.0,0.6910751837409224,0.6910751837409224,0.7990574546427998,0.7990574546427998,0.6823770491803278,0.6823770491803278,0.6167457919723781,0.6167457919723781,5
6,KIRC,3,None,edgerqlf,0.05,1,179.0,179.0,0.2608411107960129,0.2608411107960129,0.9808306709265175,0.9808306709265175,0.057870370370370364,0.057870370370370364,0.08661417322834646,0.08661417322834646,6
7,KIRC,7,None,edgerqlf,0.05,1,1156.5,1156.5,0.5499425793506907,0.5499425793506907,0.9461538461538461,0.9461538461538461,0.36061507936507936,0.36061507936507936,0.3897122929380994,0.3897122929380994,7
8,KIRC,15,None,edgerqlf,0.05,1,1744.5,1744.5,0.6693342403318085,0.6693342403318085,0.9298484286503911,0.9298484286503911,0.5363756613756614,0.5363756613756614,0.5040849673202614,0.5040849673202614,8
9,LIHC,3,None,edgerqlf,0.05,1,6.5,6.5,0.11986412703412526,0.11986412703412526,0.9603960396039604,0.9603960396039604,0.00516795865633075,0.00516795865633075,0.0,0.0,9
10,LIHC,7,None,edgerqlf,0.05,1,126.5,126.5,0.2771477051767047,0.2771477051767047,0.9276595744680851,0.9276595744680851,0.09474590869939707,0.09474590869939707,0.13992537313432835,0.13992537313432835,10
11,LIHC,15,None,edgerqlf,0.05,1,596.0,596.0,0.46433167194148034,0.46433167194148034,0.7336880750999164,0.7336880750999164,0.35055986218776913,0.35055986218776913,0.413510747185261,0.413510747185261,11
12,LUAD,3,None,edgerqlf,0.05,1,2.0,2.0,0.19410291132426064,0.19410291132426064,0.9385964912280702,0.9385964912280702,0.0008695652173913044,0.0008695652173913044,0.0,0.0,12
13,LUAD,7,None,edgerqlf,0.05,1,959.5,959.5,0.5576317921235456,0.5576317921235456,0.907351882207772,0.907351882207772,0.3808695652173913,0.3808695652173913,0.35509554140127386,0.35509554140127386,13
14,LUAD,15,None,edgerqlf,0.05,1,1770.0,1770.0,0.6445121009400607,0.6445121009400607,0.8010543918737789,0.8010543918737789,0.5954347826086956,0.5954347826086956,0.554424778761062,0.554424778761062,14
15,PRAD,3,None,edgerqlf,0.05,1,0.0,0.0,0.04265990808702061,0.04265990808702061,1.0,1.0,0.0,0.0,0.0,0.0,15
16,PRAD,7,None,edgerqlf,0.05,1,0.0,0.0,0.11504480654824104,0.11504480654824104,0.9,0.9,0.0,0.0,0.0,0.0,16
17,PRAD,15,None,edgerqlf,0.05,1,63.5,63.5,0.230032059581335,0.230032059581335,0.6940951165017555,0.6940951165017555,0.08146067415730338,0.08146067415730338,0.15770609318996415,0.15770609318996415,17
18,THCA,3,None,edgerqlf,0.05,1,6.0,6.0,0.12361293729576035,0.12361293729576035,1.0,1.0,0.004434589800443459,0.004434589800443459,0.0,0.0,18
19,THCA,7,None,edgerqlf,0.05,1,161.5,161.5,0.3206566096922953,0.3206566096922953,0.9796600458365164,0.9796600458365164,0.1171470805617147,0.1171470805617147,0.07082630691399663,0.07082630691399663,19
20,THCA,15,None,edgerqlf,0.05,1,657.5,657.5,0.6158380653459303,0.6158380653459303,0.897016350399809,0.897016350399809,0.43976348854397634,0.43976348854397634,0.4927007299270073,0.4927007299270073,20
