,Data,N,Out,DEA,FDR,logFC,#DEGs,#DEGs_Mean,Precision,Precision_Mean
0,BRCA,3,None,DESeq2,0.0001,0,420.5,546.78,0.9751457611655191,0.9661268081560871
1,BRCA,3,None,DESeq2,0.0001,1,95.0,159.08,0.9223546944858421,0.9196427784939114
2,BRCA,3,None,DESeq2,0.0001,post,420.5,546.78,0.9495588925715968,0.9374232023752167
3,BRCA,3,None,DESeq2,0.001,0,694.5,829.4,0.9709654409245804,0.9634402480092774
4,BRCA,3,None,DESeq2,0.001,1,159.5,233.66,0.9213106295149638,0.9128883170087047
5,BRCA,3,None,DESeq2,0.001,post,694.5,829.4,0.9268725225168056,0.9095833300598511
6,BRCA,3,None,DESeq2,0.01,0,1249.0,1385.56,0.9734796407343027,0.9636958671197234
7,BRCA,3,None,DESeq2,0.01,1,272.5,367.74,0.9223519328525831,0.9001140430552134
8,BRCA,3,None,DESeq2,0.01,post,1249.0,1385.44,0.8714401088072388,0.8486187136838982
9,BRCA,3,None,DESeq2,0.05,0,2084.5,2221.78,0.969588609456818,0.9620683442765018
10,BRCA,3,None,DESeq2,0.05,1,423.0,535.26,0.9045687152795155,0.8844173441935811
11,BRCA,3,None,DESeq2,0.05,post,2070.0,2208.28,0.7710239256876239,0.7605565868596207
12,BRCA,3,None,DESeq2,0.1,0,2875.0,2880.9,0.9683698543476219,0.9612405793645942
13,BRCA,3,None,DESeq2,0.1,1,521.5,643.54,0.8941894617758974,0.8744856028536074
14,BRCA,3,None,DESeq2,0.1,post,2727.5,2813.2,0.7108605664216361,0.7068214364722138
15,BRCA,3,None,DESeq2,0.2,0,4013.0,3941.34,0.9673239882173625,0.9611293307509114
16,BRCA,3,None,DESeq2,0.2,1,644.0,789.24,0.8757716049382716,0.8587255846229874
17,BRCA,3,None,DESeq2,0.2,post,3693.5,3649.12,0.6495823840509075,0.6395077084523253
18,BRCA,3,None,DESeq2,0.5,0,7540.5,7126.06,0.9675284350917066,0.9659509335795399
19,BRCA,3,None,DESeq2,0.5,1,927.0,1088.34,0.8588505747126437,0.8318971525485896
20,BRCA,3,None,DESeq2,0.5,post,4849.0,5006.52,0.5560242132954867,0.5520379703544765
21,BRCA,3,None,edgeR QLF,0.0001,0,0.0,0.0,,
22,BRCA,3,None,edgeR QLF,0.0001,1,0.0,0.0,,
23,BRCA,3,None,edgeR QLF,0.0001,post,0.0,0.0,,
24,BRCA,3,None,edgeR QLF,0.001,0,0.0,0.0,,
25,BRCA,3,None,edgeR QLF,0.001,1,0.0,0.0,,
26,BRCA,3,None,edgeR QLF,0.001,post,0.0,0.0,,
27,BRCA,3,None,edgeR QLF,0.01,0,0.0,5.52,1.0,0.9980099502487562
28,BRCA,3,None,edgeR QLF,0.01,1,0.0,2.94,1.0,0.9897540983606558
29,BRCA,3,None,edgeR QLF,0.01,post,0.0,5.52,1.0,0.9980099502487562
30,BRCA,3,None,edgeR QLF,0.05,0,0.0,160.72,0.9880248091603054,0.9867233907356138
31,BRCA,3,None,edgeR QLF,0.05,1,0.0,61.12,0.9657165246351258,0.9495429005417035
32,BRCA,3,None,edgeR QLF,0.05,post,0.0,160.72,0.959344548630263,0.939316140588831
33,BRCA,3,None,edgeR QLF,0.1,0,3.0,496.48,0.9844155844155844,0.9840434550966496
34,BRCA,3,None,edgeR QLF,0.1,1,0.0,154.44,0.9433605125218404,0.9348208999047035
35,BRCA,3,None,edgeR QLF,0.1,post,3.0,492.66,0.8953341740226987,0.8781232904919685
36,BRCA,3,None,edgeR QLF,0.2,0,733.5,1582.1,0.9758400699806951,0.9750606706574115
37,BRCA,3,None,edgeR QLF,0.2,1,51.5,348.42,0.8978132566585957,0.8992574923257066
38,BRCA,3,None,edgeR QLF,0.2,post,733.5,1446.64,0.7479413642932937,0.763346093592965
39,BRCA,3,None,edgeR QLF,0.5,0,6880.5,5877.62,0.9665340271400877,0.9645220898876148
40,BRCA,3,None,edgeR QLF,0.5,1,776.0,1187.88,0.8468085106382979,0.8153189811689647
41,BRCA,3,None,edgeR QLF,0.5,post,4317.5,3885.82,0.5891210817455439,0.5935115330793979
42,BRCA,3,None,edgeR LRT,0.0001,0,143.0,249.1,0.969975963602026,0.9662941612077292
43,BRCA,3,None,edgeR LRT,0.0001,1,50.5,115.58,0.918918918918919,0.9144266080755006
44,BRCA,3,None,edgeR LRT,0.0001,post,143.0,249.1,0.9633638211382114,0.9555181670168535
45,BRCA,3,None,edgeR LRT,0.001,0,284.0,419.32,0.9680864589955499,0.9679237344051748
46,BRCA,3,None,edgeR LRT,0.001,1,94.5,192.44,0.9174240612293709,0.9175947982027864
47,BRCA,3,None,edgeR LRT,0.001,post,284.0,419.32,0.9429774865756935,0.9386858238463975
48,BRCA,3,None,edgeR LRT,0.01,0,641.5,815.22,0.9709407732663546,0.9686209009201247
49,BRCA,3,None,edgeR LRT,0.01,1,225.0,356.32,0.9125356997144023,0.9069742665944248
50,BRCA,3,None,edgeR LRT,0.01,post,641.5,815.22,0.9132478632478632,0.8973267225263031
51,BRCA,3,None,edgeR LRT,0.05,0,1274.0,1468.42,0.9747216114618058,0.9693588613257761
52,BRCA,3,None,edgeR LRT,0.05,1,481.0,631.38,0.8851682746899336,0.878813022723283
53,BRCA,3,None,edgeR LRT,0.05,post,1274.0,1465.46,0.8337610260769381,0.8234005522861778
54,BRCA,3,None,edgeR LRT,0.1,0,1903.0,2021.06,0.9747775009540817,0.9673277006491742
55,BRCA,3,None,edgeR LRT,0.1,1,699.0,849.56,0.868526000702139,0.8551988349356963
56,BRCA,3,None,edgeR LRT,0.1,post,1903.0,1997.2,0.7678839543015903,0.7654111620899728
57,BRCA,3,None,edgeR LRT,0.2,0,2940.0,2952.84,0.973603014410386,0.9667104293819655
58,BRCA,3,None,edgeR LRT,0.2,1,1055.0,1196.9,0.8541331456154465,0.8212549888105736
59,BRCA,3,None,edgeR LRT,0.2,post,2911.0,2816.04,0.6963476413199798,0.6912123432436593
60,BRCA,3,None,edgeR LRT,0.5,0,6593.5,5886.7,0.9710824983754213,0.9685812031462144
61,BRCA,3,None,edgeR LRT,0.5,1,1935.0,2206.22,0.7760635155096012,0.734438321215038
62,BRCA,3,None,edgeR LRT,0.5,post,4534.5,4465.08,0.5734455457109553,0.5762390715009684
63,BRCA,4,None,DESeq2,0.0001,0,624.0,758.78,0.980887585118164,0.975224076479117
64,BRCA,4,None,DESeq2,0.0001,1,145.0,191.64,0.9567091454272864,0.9419127427437682
65,BRCA,4,None,DESeq2,0.0001,post,624.0,758.78,0.9410615349400315,0.9311290350933367
66,BRCA,4,None,DESeq2,0.001,0,989.5,1150.54,0.9777143802199619,0.9720245231287186
67,BRCA,4,None,DESeq2,0.001,1,232.0,281.86,0.9534632034632035,0.9328336627321434
68,BRCA,4,None,DESeq2,0.001,post,989.5,1150.42,0.9056943625825782,0.8892163181419909
69,BRCA,4,None,DESeq2,0.01,0,1763.0,1925.16,0.9744876081784786,0.9684693238868154
70,BRCA,4,None,DESeq2,0.01,1,380.0,441.22,0.9413111538945966,0.9200405454051664
71,BRCA,4,None,DESeq2,0.01,post,1747.0,1908.8,0.8287266909411894,0.8088371474857309
72,BRCA,4,None,DESeq2,0.05,0,2965.0,3064.6,0.9718275411502633,0.9645491166812359
73,BRCA,4,None,DESeq2,0.05,1,586.5,638.74,0.9326067375247703,0.902309368417029
74,BRCA,4,None,DESeq2,0.05,post,2877.5,2911.28,0.7253866610235249,0.7160389626168615
75,BRCA,4,None,DESeq2,0.1,0,3847.5,3936.22,0.9690650046855617,0.962282506233379
76,BRCA,4,None,DESeq2,0.1,1,706.0,762.52,0.9193981648239611,0.8905755010836596
77,BRCA,4,None,DESeq2,0.1,post,3576.0,3546.14,0.6683709860781057,0.6659528879741957
78,BRCA,4,None,DESeq2,0.2,0,5309.5,5344.94,0.9655926675663518,0.9596711966871804
79,BRCA,4,None,DESeq2,0.2,1,864.0,924.28,0.9045236974262398,0.8753576434603753
80,BRCA,4,None,DESeq2,0.2,post,4431.0,4301.72,0.6281884246923224,0.616077050377179
81,BRCA,4,None,DESeq2,0.5,0,9271.5,9145.14,0.9632838403414472,0.9616300514742757
82,BRCA,4,None,DESeq2,0.5,1,1164.0,1246.74,0.8821496858781753,0.8484023669893759
83,BRCA,4,None,DESeq2,0.5,post,5011.5,5140.58,0.5827636769865316,0.5696751714704417
84,BRCA,4,None,edgeR QLF,0.0001,0,0.0,0.0,,
85,BRCA,4,None,edgeR QLF,0.0001,1,0.0,0.0,,
86,BRCA,4,None,edgeR QLF,0.0001,post,0.0,0.0,,
87,BRCA,4,None,edgeR QLF,0.001,0,0.0,0.0,,
88,BRCA,4,None,edgeR QLF,0.001,1,0.0,0.0,,
89,BRCA,4,None,edgeR QLF,0.001,post,0.0,0.0,,
90,BRCA,4,None,edgeR QLF,0.01,0,0.0,30.32,1.0,0.9981058563816468
91,BRCA,4,None,edgeR QLF,0.01,1,0.0,12.0,1.0,0.9901417436747698
92,BRCA,4,None,edgeR QLF,0.01,post,0.0,30.32,1.0,0.987014884917945
93,BRCA,4,None,edgeR QLF,0.05,0,5.0,446.32,0.991652754590985,0.989200608355905
94,BRCA,4,None,edgeR QLF,0.05,1,1.0,112.38,0.9793793992267275,0.9610286726066316
95,BRCA,4,None,edgeR QLF,0.05,post,5.0,444.48,0.9529780564263323,0.9155150615843586
96,BRCA,4,None,edgeR QLF,0.1,0,625.5,1251.42,0.9856621080682397,0.9822935131476552
97,BRCA,4,None,edgeR QLF,0.1,1,30.0,267.12,0.9583333333333334,0.942588535124954
98,BRCA,4,None,edgeR QLF,0.1,post,625.5,1182.5,0.84667595393411,0.824013011584532
99,BRCA,4,None,edgeR QLF,0.2,0,2384.0,2946.5,0.9774738535800482,0.9716734161629765
100,BRCA,4,None,edgeR QLF,0.2,1,327.0,603.52,0.9305642057966501,0.9048556773375889
101,BRCA,4,None,edgeR QLF,0.2,post,2370.5,2457.0,0.7016185784658691,0.7141103955544603
102,BRCA,4,None,edgeR QLF,0.5,0,8142.0,8029.88,0.9645849529239008,0.9613572512727896
103,BRCA,4,None,edgeR QLF,0.5,1,1652.5,1663.46,0.823723092832596,0.8011716373290577
104,BRCA,4,None,edgeR QLF,0.5,post,4789.0,4596.44,0.599046627091893,0.5904315707614896
105,BRCA,4,None,edgeR LRT,0.0001,0,271.5,371.26,0.9849276185069543,0.9798769133713618
106,BRCA,4,None,edgeR LRT,0.0001,1,90.5,142.76,0.9480384480384481,0.9410915012769443
107,BRCA,4,None,edgeR LRT,0.0001,post,271.5,371.26,0.9660666046676409,0.9610268938255253
108,BRCA,4,None,edgeR LRT,0.001,0,471.0,626.06,0.9828734498094992,0.9790773143027769
109,BRCA,4,None,edgeR LRT,0.001,1,177.0,246.26,0.9467948717948718,0.9366204669484195
110,BRCA,4,None,edgeR LRT,0.001,post,471.0,626.06,0.9476178598154152,0.9390072565022429
111,BRCA,4,None,edgeR LRT,0.01,0,1028.0,1198.08,0.9805739935251941,0.9754825768190752
112,BRCA,4,None,edgeR LRT,0.01,1,381.5,465.3,0.9348292445693289,0.9187073537886326
113,BRCA,4,None,edgeR LRT,0.01,post,1028.0,1197.86,0.8966466346153846,0.8739116575630109
114,BRCA,4,None,edgeR LRT,0.05,0,1973.5,2113.7,0.9783353791066238,0.9714034508710435
115,BRCA,4,None,edgeR LRT,0.05,1,757.0,794.52,0.9098755560584888,0.8874109672876698
116,BRCA,4,None,edgeR LRT,0.05,post,1971.5,2078.74,0.7920930788257619,0.7811391921699103
117,BRCA,4,None,edgeR LRT,0.1,0,2836.5,2847.22,0.9771372423649767,0.9695322841305761
118,BRCA,4,None,edgeR LRT,0.1,1,1005.0,1045.72,0.889945940435287,0.8646837732690874
119,BRCA,4,None,edgeR LRT,0.1,post,2764.5,2712.3,0.7295343229881255,0.7233862095314696
120,BRCA,4,None,edgeR LRT,0.2,0,4138.0,4056.08,0.972776710252826,0.9665636198101835
121,BRCA,4,None,edgeR LRT,0.2,1,1383.5,1431.04,0.863519373820212,0.830910070746812
122,BRCA,4,None,edgeR LRT,0.2,post,3605.0,3565.12,0.6500635778503694,0.6546338987913549
123,BRCA,4,None,edgeR LRT,0.5,0,7707.0,7611.96,0.9691332118161163,0.9664207092498868
124,BRCA,4,None,edgeR LRT,0.5,1,2363.0,2467.3,0.7791440756198723,0.744908873550595
125,BRCA,4,None,edgeR LRT,0.5,post,4862.0,4834.36,0.5937564086788893,0.5790750415965344
126,BRCA,5,None,DESeq2,0.0001,0,810.0,894.76,0.9898389751516152,0.9855305528623568
127,BRCA,5,None,DESeq2,0.0001,1,158.5,199.58,0.9778457772337821,0.9651370677920563
128,BRCA,5,None,DESeq2,0.0001,post,810.0,894.5,0.9485981015828491,0.9356136967260325
129,BRCA,5,None,DESeq2,0.001,0,1262.5,1363.34,0.9854077993255613,0.9821310505786133
130,BRCA,5,None,DESeq2,0.001,1,256.5,294.36,0.9676234822982388,0.9573460163718243
131,BRCA,5,None,DESeq2,0.001,post,1262.0,1358.06,0.9022759260340254,0.8881823646586013
132,BRCA,5,None,DESeq2,0.01,0,2197.0,2270.16,0.9824749937068012,0.9781202204724917
133,BRCA,5,None,DESeq2,0.01,1,410.0,459.66,0.9618801504579779,0.9472047534914557
134,BRCA,5,None,DESeq2,0.01,post,2163.5,2202.02,0.8152177773451579,0.8055179141411706
135,BRCA,5,None,DESeq2,0.05,0,3561.0,3607.52,0.9770282006369142,0.9722944974088437
136,BRCA,5,None,DESeq2,0.05,1,598.0,658.7,0.9446008098928352,0.9306515577682377
137,BRCA,5,None,DESeq2,0.05,post,3262.5,3236.04,0.7091358475608618,0.7166535343369311
138,BRCA,5,None,DESeq2,0.1,0,4596.0,4615.64,0.974622176193477,0.9690069713039327
139,BRCA,5,None,DESeq2,0.1,1,724.5,783.36,0.9340969805882033,0.9211145154623072
140,BRCA,5,None,DESeq2,0.1,post,3823.0,3814.92,0.6723971293324269,0.6732946925486009
141,BRCA,5,None,DESeq2,0.2,0,6171.0,6173.68,0.9690629388317451,0.9642104499365829
142,BRCA,5,None,DESeq2,0.2,1,871.5,945.18,0.9257791391348547,0.9073970266586366
143,BRCA,5,None,DESeq2,0.2,post,4356.0,4414.8,0.6410445558037967,0.6353473245962844
144,BRCA,5,None,DESeq2,0.5,0,10321.5,10153.86,0.9623929960104346,0.962021608699101
145,BRCA,5,None,DESeq2,0.5,1,1118.0,1258.66,0.9032043272746041,0.8813981694653328
146,BRCA,5,None,DESeq2,0.5,post,4839.0,4912.48,0.6091312544405072,0.6083605730784175
147,BRCA,5,None,edgeR QLF,0.0001,0,0.0,0.0,,
148,BRCA,5,None,edgeR QLF,0.0001,1,0.0,0.0,,
149,BRCA,5,None,edgeR QLF,0.0001,post,0.0,0.0,,
150,BRCA,5,None,edgeR QLF,0.001,0,0.0,0.42,1.0,1.0
151,BRCA,5,None,edgeR QLF,0.001,1,0.0,0.38,1.0,1.0
152,BRCA,5,None,edgeR QLF,0.001,post,0.0,0.42,1.0,1.0
