"","logCPM","logFC","lfcSE","stat","pvalue","FDR"
"ENSG00000000003",520.020102525888,0.416398701869112,0.0867910394724421,0,1,1
"ENSG00000000005",18.1334859323414,5.18920826562255,0.316147452559046,13.2508050648934,4.46388846109585e-40,2.87976143200944e-38
"ENSG00000000419",666.042826401159,-0.71246445418123,0.0846853645986873,0,1,1
"ENSG00000000457",660.127026325952,-0.278797767829488,0.0473745389696278,0,1,1
"ENSG00000000460",213.892831552547,-1.04194894241878,0.0647319637239227,-0.64804062792976,0.516958673143612,1
"ENSG00000000938",130.858408052569,1.346090779859,0.169309389231046,2.0441322328953,0.0409404856322974,0.18776817323485
"ENSG00000000971",184.973312406383,6.27255337069044,0.388399571939998,13.5750751329483,5.62859576875838e-42,4.03090078632366e-40
"ENSG00000001036",2515.50290039099,0.332846263591279,0.0607111444252129,0,1,1
"ENSG00000001084",626.199549113938,0.225845010789046,0.070257477899139,0,1,1
"ENSG00000001167",909.713480119588,-0.097303172853251,0.0436652008906134,0,1,1
"ENSG00000001460",121.56777797025,-0.404805384723477,0.0730475237252004,0,1,1
"ENSG00000001461",490.853562563385,0.517913770787056,0.104572831258739,0,1,1
"ENSG00000001497",992.879091129452,-0.274054019552102,0.0426551939636402,0,1,1
"ENSG00000001561",90.1578455116525,0.904346844909543,0.181150834776594,0,1,1
"ENSG00000001617",6096.41927641112,-0.00733920689407855,0.0911587896958917,0,1,1
"ENSG00000001626",17.4987835772647,1.74409943629241,0.309663264089344,2.40293093364062,0.0162642588966864,0.0795979968323096
"ENSG00000001629",1169.64896257775,-0.248847445787844,0.0507167040764471,0,1,1
"ENSG00000001630",993.330038844557,-1.21383378102742,0.0680343103558103,-3.14302856763147,0.00167209520124872,0.00932978923584523
"ENSG00000001631",694.55950980057,-0.591427426189994,0.10303253103132,0,1,1
"ENSG00000002016",251.281430494179,-0.0451510956320399,0.100976066486814,0,1,1
"ENSG00000002330",1959.312863138,0.543308073020984,0.0882692727592852,0,1,1
"ENSG00000002549",1338.05612214399,-0.133135365504623,0.0810110648712927,0,1,1
"ENSG00000002586",1656.03880463698,0.187817091526231,0.0712309319205802,0,1,1
"ENSG00000002587",67.1555604732462,-1.7259015560271,0.21597518820246,-3.36104143290118,0.000776491765014103,0.00450989190305066
"ENSG00000002726",21599.5325100464,1.98576658588604,0.382842765337162,2.57486016489796,0.0100280619988226,0.050748169830022
"ENSG00000002822",552.99866784777,-0.340233854044969,0.0599695914502116,0,1,1
"ENSG00000002834",4121.1465488622,0.522870549246505,0.132131720401985,0,1,1
"ENSG00000002919",546.824076318487,0.0237544668825343,0.045686558082322,0,1,1
"ENSG00000002933",466.389994081298,2.4347077666836,0.207952899362028,6.89919578464688,5.22977538629585e-12,6.00789207732529e-11
"ENSG00000003056",2804.94633754624,0.117766044014314,0.0390621489130978,0,1,1
"ENSG00000003096",16.579940479646,-1.18006710797969,0.230938765844627,-0.779717979877134,0.435556893309896,1
"ENSG00000003137",202.663630850467,1.66795463893225,0.170104729856498,3.92672584410641,8.61100367647356e-05,0.00055921376621092
"ENSG00000003147",178.03624609022,0.889528748611071,0.115218705760109,0,1,1
"ENSG00000003249",12.7646297587877,0.258621827727288,0.248186905927527,0,1,1
"ENSG00000003393",635.730816728777,-0.108722643769093,0.0449641622702203,0,1,1
"ENSG00000003400",278.368474471884,1.56277193184138,0.10872979117582,5.17587613988296,2.26843917007785e-07,1.88778637117566e-06
"ENSG00000003402",4014.00711407255,0.663630533359304,0.0432661162724695,0,1,1
"ENSG00000003436",14255.9322606254,1.05039017092692,0.190246315268879,0.264868052007741,0.791111110385139,1
"ENSG00000003509",239.04892898564,-0.327080685786728,0.0592681486507139,0,1,1
"ENSG00000003756",3733.81125428699,0.44025358490025,0.0678501351004192,0,1,1
"ENSG00000003987",149.993883446115,0.29708248015521,0.167883210654044,0,1,1
"ENSG00000003989",8681.44561854784,2.3906717671293,0.139407716885115,9.9755723585614,1.94974040336008e-23,4.54318614585935e-22
"ENSG00000004059",3124.46862888779,-0.504426712866597,0.0533347808566742,0,1,1
"ENSG00000004139",181.272279460173,0.342571193325791,0.115389707749466,0,1,1
"ENSG00000004142",2165.95037834243,-0.468225860517216,0.042361046905394,0,1,1
"ENSG00000004399",7401.10840698447,0.939653680422313,0.0893668842494382,0,1,1
"ENSG00000004455",2854.88080784194,-0.459177712970528,0.0344252714448254,0,1,1
"ENSG00000004468",10.8067078866695,0.858815146767694,0.265640787813196,0,1,1
"ENSG00000004478",4197.35459093336,-0.0661675740343314,0.0806616898118352,0,1,1
"ENSG00000004487",1966.55044984909,-1.01645303702637,0.0619018406009379,-0.265792371707281,0.79039911846689,1
"ENSG00000004534",1872.83949896954,0.371003147456131,0.0817876576006972,0,1,1
"ENSG00000004660",61.6712713902471,-0.158783086814508,0.144545227297121,0,1,1
"ENSG00000004700",545.488950459811,-0.397746462436793,0.0643218045980666,0,1,1
"ENSG00000004766",346.732035983211,-0.497148387227695,0.0885867808171248,0,1,1
"ENSG00000004776",581.304791958992,-0.608665484184775,0.213777401767763,0,1,1
"ENSG00000004777",118.369151032095,-0.952787632528149,0.164131251014158,0,1,1
"ENSG00000004779",1056.48257820227,-0.250660115477919,0.0458210089271443,0,1,1
"ENSG00000004799",1918.84886566174,2.03532942019038,0.139032716638121,7.44666036329545,9.57326528661354e-14,1.23621023701084e-12
"ENSG00000004864",847.826865347378,-0.766410505797493,0.0486112375394222,0,1,1
"ENSG00000004866",1787.95229660788,0.170562035697919,0.07473407191909,0,1,1
"ENSG00000004897",1269.93009478023,-0.603776747890535,0.0967035032049089,0,1,1
"ENSG00000004939",367.276149664569,0.931232033695061,0.229355989038353,0,1,1
"ENSG00000004948",35.9040812909477,1.81328735718046,0.240159346843357,3.38644890515515,0.000708034598972646,0.0041384635564062
"ENSG00000004961",437.506287641954,-0.167188067918234,0.046998233062351,0,1,1
"ENSG00000004975",1384.90527238942,0.388729531834582,0.0588517081716964,0,1,1
"ENSG00000005001",316.555841911341,-0.613745840703228,0.146746887980926,0,1,1
"ENSG00000005007",6960.72803399936,0.373701524787153,0.0713694354303287,0,1,1
"ENSG00000005020",309.257399249527,-0.576448140074916,0.0800001343178291,0,1,1
"ENSG00000005022",6858.25400213741,-0.86208953321874,0.0517992061512802,0,1,1
"ENSG00000005059",611.300671204954,-1.75070912197571,0.0819224115835142,-9.16365994927309,5.01663651666949e-20,9.32377729741002e-19
"ENSG00000005073",183.026854843548,0.786261990569295,0.153127540686013,0,1,1
"ENSG00000005075",779.052218409722,-0.328744069419638,0.0511171272489677,0,1,1
"ENSG00000005100",597.196330545807,0.162395872027857,0.0490804003212712,0,1,1
"ENSG00000005108",3062.31422346915,2.33539854621944,0.142692316038879,9.35858764711327,8.08096286398241e-21,1.57503111401365e-19
"ENSG00000005156",1710.58041142257,0.0412636320037992,0.0556328695309819,0,1,1
"ENSG00000005175",423.453204676505,-0.915871220208909,0.0950111557037882,0,1,1
"ENSG00000005187",237.605204916121,-2.65015574961945,0.112080763076877,-14.722916799626,4.59409664637146e-49,5.01559698203855e-47
"ENSG00000005189",84.2833223991693,-1.78921320632625,0.0740377765100992,-10.6596016726488,1.57269561910156e-26,4.40806535106168e-25
"ENSG00000005194",1417.06712986003,-0.105537629549905,0.0420258668642697,0,1,1
"ENSG00000005206",2802.91815386011,0.263407570362474,0.103297224637403,0,1,1
"ENSG00000005238",1058.96692445689,1.47813652299411,0.0907332333711919,5.26969562561542,1.36650164811898e-07,1.15317966110452e-06
"ENSG00000005243",172.647816366184,-0.652424967020988,0.131111228839469,0,1,1
"ENSG00000005249",595.894175608825,2.18543086073307,0.126127005422797,9.3987077292395,5.52372946079501e-21,1.08610156601929e-19
"ENSG00000005302",604.940164307651,-0.0550558539724725,0.045241440556172,0,1,1
"ENSG00000005339",3574.55613932664,0.64291387735914,0.061027008234825,0,1,1
"ENSG00000005379",56.4149758055914,0.244788588172714,0.157298641237591,0,1,1
"ENSG00000005381",29.0419072500946,0.974336546132879,0.275460731903399,0,1,1
"ENSG00000005436",415.171303659839,-0.767661026803297,0.0933546216772747,0,1,1
"ENSG00000005448",102.458684387141,-0.479868790537525,0.100025427235623,0,1,1
"ENSG00000005469",1291.01781183491,-1.69926840948452,0.140590626038104,-4.97379113522829,6.56560480116749e-07,5.26732899053581e-06
"ENSG00000005471",27.1550474107427,-1.83440811611844,0.149951112641986,-5.56453434334041,2.62853360249826e-08,2.34361316974317e-07
"ENSG00000005483",1496.17562077382,1.13628694021886,0.0716687350474705,1.901623352618,0.0572204127181439,0.256187290896376
"ENSG00000005486",2895.35985601175,1.77776658383184,0.0895475276536806,8.68551711265337,3.77023277814713e-18,6.37022447320704e-17
"ENSG00000005513",48.2809382605063,-0.428570848848969,0.189304204405764,0,1,1
"ENSG00000005700",861.141075221761,-0.932159510922617,0.0889167011933564,0,1,1
"ENSG00000005801",242.765240732939,-0.674488400093162,0.101150172808213,0,1,1
"ENSG00000005810",1763.63816538653,-0.00540315918023473,0.071462366568795,0,1,1
"ENSG00000005812",1306.49842298024,0.259061586770433,0.0641631287322019,0,1,1
"ENSG00000005844",183.594403189399,-0.061872036501716,0.135321245314634,0,1,1
"ENSG00000005882",969.814074928103,-0.0387574314691127,0.0935206274480064,0,1,1
"ENSG00000005884",5054.56033453621,2.82749286475056,0.100175551614757,18.2429029368215,2.35606555859253e-74,7.35657910014932e-72
"ENSG00000005889",1508.93546369302,-0.269707294290779,0.0534140781352243,0,1,1
"ENSG00000005893",4617.59066114831,0.565396817678269,0.0881592001987265,0,1,1
"ENSG00000005961",95.6468262683793,-0.653305375355171,0.169949260366823,0,1,1
"ENSG00000005981",38.6188428339616,-0.444130141404339,0.242120557438513,0,1,1
"ENSG00000006007",2908.76000242137,-0.464162049599648,0.0571926870370737,0,1,1
"ENSG00000006015",656.567395742531,-0.463697680858205,0.110005234556383,0,1,1
"ENSG00000006016",125.710644818136,2.20661679191351,0.21112673561777,5.71513024337196,1.0962003200553e-08,1.00729131234275e-07
"ENSG00000006025",91.4718504516191,0.684934758671732,0.144192789434057,0,1,1
"ENSG00000006042",377.051162508675,-0.820914490493332,0.119999932966174,0,1,1
"ENSG00000006047",11.1680564309822,-0.322057577104381,0.222886261901251,0,1,1
"ENSG00000006062",227.826321862576,0.851890676947388,0.0796755766051245,0,1,1
"ENSG00000006118",7392.61854409194,1.19711995983459,0.10300736524514,1.91364917805133,0.0556649968546872,0.249940158439855
"ENSG00000006125",4142.78447348977,0.273217684886438,0.0416848084734729,0,1,1
"ENSG00000006194",970.212731173331,0.457134821892485,0.0477385168401491,0,1,1
"ENSG00000006210",205.4453942193,5.71753591698168,0.224352580306165,21.0273307779383,3.68826384982898e-98,3.03058816965947e-95
"ENSG00000006282",681.201253878979,-0.606265705171641,0.114329358609663,0,1,1
"ENSG00000006283",45.8285454990951,-2.3619823816856,0.215997938018305,-6.30553418324845,2.8720160529849e-10,2.9654705435979e-09
"ENSG00000006327",3355.26111524049,1.83793769646759,0.119970832697427,6.98451179863784,2.8584822222869e-12,3.3731386586805e-11
"ENSG00000006377",594.74015126311,-0.954369115300576,0.0852498697694467,0,1,1
"ENSG00000006432",746.308051299464,1.39837273942807,0.129345295355227,3.07991673244862,0.00207058474619031,0.0114631095948663
"ENSG00000006451",889.570256415453,0.213031965842934,0.0679417927002544,0,1,1
"ENSG00000006453",955.017930894951,-0.0546597441437627,0.121283159130107,0,1,1
"ENSG00000006459",1440.81288605718,0.907377720247141,0.0902992483270661,0,1,1
"ENSG00000006468",53.739370783118,0.557142590612705,0.159938433529172,0,1,1
"ENSG00000006530",552.28727049875,-0.902997305199508,0.0421772226281205,0,1,1
"ENSG00000006534",427.268090052767,0.033900272788625,0.12486497370359,0,1,1
"ENSG00000006555",21.6239989036272,-0.988739699882384,0.148069629020492,0,1,1
"ENSG00000006576",610.988604887049,-0.111977956922504,0.115005699860299,0,1,1
"ENSG00000006607",930.878482503213,0.00132096764801019,0.0478811079968549,0,1,1
"ENSG00000006625",1314.63975462803,-2.17696007100207,0.108626804241307,-10.8348954866382,2.35233869445958e-27,7.04888900151688e-26
"ENSG00000006634",197.593648564236,-2.28997878005459,0.175903117659403,-7.33346172153896,2.24282562927367e-13,2.84443490854756e-12
"ENSG00000006638",150.312913574076,1.61115885122403,0.153520140092105,3.98096856124131,6.86350275890436e-05,0.000450980661077504
"ENSG00000006652",935.426765229235,0.810597478239392,0.0800378518749827,0,1,1
"ENSG00000006659",3779.15960985034,2.25997341191176,0.271440343043028,4.64180599606755,3.45377067718336e-06,2.57498891175677e-05
"ENSG00000006695",504.657646025358,-0.452685603640303,0.0428624470653319,0,1,1
"ENSG00000006704",192.310462211147,0.279429331712848,0.116458987073443,0,1,1
"ENSG00000006712",1705.31393080984,0.189578060019608,0.0391961662674356,0,1,1
"ENSG00000006715",1142.44980775881,-0.189104079066137,0.0559810716212452,0,1,1
"ENSG00000006740",416.823472745578,1.52813256776616,0.104294101268278,5.06387764354605,4.10813374574737e-07,3.34914799157221e-06
"ENSG00000006744",2060.67007715418,-0.497025102843187,0.0494949439637802,0,1,1
"ENSG00000006747",5477.619519859,2.11919010006723,0.122002714425905,9.17348524033815,4.57967607889255e-20,8.53196932502035e-19
"ENSG00000006756",2041.84032202234,0.2527528536114,0.0822704202206074,0,1,1
"ENSG00000006757",206.87083756327,-0.690625295689138,0.0504216547288822,0,1,1
"ENSG00000006788",21.2687935872058,2.5391123457717,0.285067722190911,5.39911124957511,6.69718366493486e-08,5.77979167368508e-07
"ENSG00000006831",2007.05227720392,0.182847297951223,0.0386370257945052,0,1,1
"ENSG00000006837",17.9185447875316,0.109963689127297,0.155083270671299,0,1,1
"ENSG00000007047",601.45094307566,-0.365574483932558,0.0906202137282094,0,1,1
"ENSG00000007062",525.014232909024,1.28246070789018,0.156085256610753,1.80965655580515,0.0703490636023056,0.310778036491
"ENSG00000007080",1116.28332655344,-0.217770226537661,0.0589901015328991,0,1,1
