"","logFC","logCPM","LR","PValue","FDR"
"ENSG00000126353",-5.03435153193896,5.19222947475618,1261.2047327974,3.04842556084363e-276,4.75920198558908e-272
"ENSG00000161649",6.57735005741089,4.83375638968816,1075.64005482306,6.50779098812952e-236,5.07998164533391e-232
"ENSG00000170323",7.68176452296185,5.00385819246,964.485043955693,9.4205650657848e-212,4.90246206023441e-208
"ENSG00000100311",2.26297051048295,6.38525426984585,958.080549033733,2.32401591685552e-210,9.07063412348708e-207
"ENSG00000182809",4.15194805209436,7.48179399726433,940.387169061272,1.63059806368851e-206,5.091379394061e-203
"ENSG00000159713",5.59812969009518,8.23012827490687,876.174907327853,1.48315545682419e-192,3.85917049865653e-189
"ENSG00000122861",2.72001328025533,6.74013618682349,864.761108094951,4.49264923401233e-190,1.00198914059144e-186
"ENSG00000188676",9.18954713859457,3.19025545792825,844.395093975847,1.20251213765741e-185,2.34670243663843e-182
"ENSG00000088305",-2.58033204194758,3.75884885434784,826.832602157475,7.91205514982735e-182,1.37247783332338e-178
"ENSG00000154122",-2.00948803885314,6.53120686365276,823.071641983769,5.19946934520122e-181,8.11741154172815e-178
"ENSG00000213853",2.51407931844323,6.96504334258971,797.532603892505,1.85574578550028e-175,2.63380938211185e-172
"ENSG00000143878",2.39770368813803,8.25428214774913,785.523557847942,7.57767615904213e-173,9.85855668291381e-170
"ENSG00000213145",3.84875311423518,5.14968651013569,775.041596438943,1.44070383546978e-170,1.73017448302725e-167
"ENSG00000269858",1.87877744010711,7.33824025170468,739.288815239547,8.55896050471095e-163,9.54446367139623e-160
"ENSG00000111358",-1.34745812045983,4.07565362618803,737.807014024406,1.79731655263546e-162,1.87064706798299e-159
"ENSG00000137834",3.15065984748507,5.78657965178025,731.150535792216,5.03527416368121e-161,4.91316876521194e-158
"ENSG00000005884",2.8005716603549,7.22650349475275,727.626501249715,2.93970526384621e-160,2.69968697524512e-157
"ENSG00000245694",-3.00447815784158,1.47255825010037,716.438506944083,7.96345302477393e-158,6.90696825682058e-155
"ENSG00000100823",-1.49352911906439,6.09078976087686,707.879692913627,5.78397929909047e-156,4.75260446407371e-153
"ENSG00000093217",-2.73421167662157,2.05275023440676,705.006398680681,2.4380093100722e-155,1.90311006744236e-152
"ENSG00000102760",3.62299861391286,6.16839584478636,697.671098623349,9.59710531837765e-154,7.13476229669104e-151
"ENSG00000139531",-1.75546182271761,5.09397023477716,690.969197037792,2.75124791936773e-152,1.95238556896222e-149
"ENSG00000144218",3.28437129440646,3.70790988366166,668.946789804424,1.69296395782764e-147,1.14915449172196e-144
"ENSG00000181192",-1.63480151469401,5.23765803444495,662.471525075635,4.33350660760818e-146,2.81894604824912e-143
"ENSG00000164904",-2.03478622816821,7.24453015484571,661.615720563305,6.65204088841105e-146,4.15406649399493e-143
"ENSG00000110934",-2.90127201141942,6.02822012471237,655.920828697554,1.15201068362619e-144,6.91738107414313e-142
"ENSG00000196371",-1.9332189955847,4.50844352403126,652.718603346546,5.72625123483503e-144,3.31104571400906e-141
"ENSG00000115468",3.01662418241711,8.88652159878603,652.402965253394,6.70679531529698e-144,3.7395174450863e-141
"ENSG00000135374",-3.57255898381376,3.01888891020609,647.138369004667,9.36400455571369e-143,5.04106341806214e-140
"ENSG00000116704",-1.99677411178471,5.43108464406637,642.959194742528,7.59207198854537e-142,3.95091426283901e-139
"ENSG00000149115",1.94678470130125,8.14431078018733,642.721200831478,8.55303369987709e-142,4.30741813298326e-139
"ENSG00000122952",-2.05649381292774,4.4721660204067,634.997532063021,4.09176501911888e-140,1.99626985870262e-137
"ENSG00000153048",1.8001521214553,7.00672135674228,632.093920734856,1.7515154342855e-139,8.28626029092886e-137
"ENSG00000099860",2.3606085665441,4.82967716738776,630.616523398628,3.67056788669968e-139,1.68543840726928e-136
"ENSG00000163291",-1.89451718327679,3.86837762193476,627.774461934581,1.52355039339695e-138,6.79590535477519e-136
"ENSG00000196177",-1.96107370680561,4.21181592679975,627.050874833428,2.18892765119253e-138,9.49264958067159e-136
"ENSG00000143614",0.955681717404141,4.89882255867131,617.710107740299,2.35397504861394e-136,9.93250228620564e-134
"ENSG00000076003",-1.94654206758156,5.51481162711551,617.337939985068,2.8362695709355e-136,1.16525896161697e-133
"ENSG00000116604",1.36016372024942,6.36644656001832,613.144321104923,2.3166244264047e-135,9.27362578077697e-133
"ENSG00000145860",2.38056729111314,5.82089225648538,606.25753742607,7.29031854406115e-134,2.84541132774707e-131
"ENSG00000143799",-1.84922358196854,8.07000144879017,605.385767181454,1.12813340030326e-133,4.2957118647645e-131
"ENSG00000152056",-2.58216304976235,3.96638116267672,603.53573024415,2.84939923326044e-133,1.05916240070624e-130
"ENSG00000183914",4.7309905243066,1.68090875072602,603.431211217865,3.00252620194778e-133,1.09012648987927e-130
"ENSG00000109084",-2.17375465605421,3.96649923054228,601.60440011037,7.49600750890197e-133,2.65971975520404e-130
"ENSG00000140525",-1.96092120204598,4.83047322188251,601.267673999983,8.87299694641917e-133,3.07833840727769e-130
"ENSG00000130052",2.84765811207465,5.50684695623863,599.696740347455,1.94876938155268e-132,6.6139538227827e-130
"ENSG00000128284",2.54533758968458,3.80957480834078,599.377021153118,2.28718874343567e-132,7.59735971542931e-130
"ENSG00000144354",-2.16561390894069,4.2463977584819,596.167067752581,1.14155466688643e-131,3.71290655404813e-129
"ENSG00000122691",3.44046515351006,5.71214440241484,595.696896892665,1.44465375498721e-131,4.60284375976741e-129
"ENSG00000147536",-1.7684717572245,3.20951208483834,595.307527105118,1.75572241973137e-131,5.48206768336924e-129
"ENSG00000140284",-2.56119288241762,6.31090755618049,588.290028668855,5.90000788860229e-130,1.80609653248743e-127
"ENSG00000108001",4.37125825740471,1.4106167126787,587.705531283761,7.90659900317354e-130,2.37380430072203e-127
"ENSG00000175155",1.76653995941479,4.41588802602375,585.783201271932,2.07074871032673e-129,6.09972242747564e-127
"ENSG00000128849",2.74597423589285,5.90167651420574,583.770989666911,5.67307161352734e-129,1.64014803759979e-126
"ENSG00000173269",2.94576471744187,6.46866566493874,582.120485508514,1.29668178942087e-128,3.68069019935247e-126
"ENSG00000126603",3.04394823768974,6.25263786927336,579.824589625043,4.09483178826925e-128,1.14158060497249e-125
"ENSG00000276043",-2.0413566472788,3.77902887466154,579.74969069886,4.25136230122173e-128,1.16442575871357e-125
"ENSG00000069122",3.20429707063051,5.43926982364841,577.830549960876,1.11168508704998e-127,2.99234958259041e-125
"ENSG00000140522",-6.32574502607462,-0.318492894082243,576.63128332337,2.02697700157172e-127,5.36358727941317e-125
"ENSG00000197273",6.02465741494206,2.35999067294716,575.668061212728,3.28376166092886e-127,8.5443478417369e-125
"ENSG00000144554",-1.59254504352744,3.91968918310265,574.132860419639,7.08458001787387e-127,1.81318792195159e-124
"ENSG00000127329",3.81512103183091,5.40143980151296,573.838940369915,8.20821735015127e-127,2.04670211625005e-124
"ENSG00000120437",-2.25031370304061,4.0017837231698,573.826584063056,8.25917456595908e-127,2.04670211625005e-124
"ENSG00000101311",-2.05081175689249,5.01459474592373,572.893450496844,1.31800241537553e-126,3.21510214200667e-124
"ENSG00000134470",2.92327722374044,2.52154299560497,570.336349976239,4.74407517479496e-126,1.13945387121383e-123
"ENSG00000196730",3.23790633787353,8.65965722063326,567.306961995922,2.16335226355927e-125,5.11731144525567e-123
"ENSG00000184992",-1.80326236258819,4.10352171715999,566.893246313226,2.66147458081368e-125,6.20163300830795e-123
"ENSG00000170006",-2.19506029909259,3.89198897162761,565.747811618814,4.72376157235648e-125,1.08452008334749e-122
"ENSG00000169418",3.30300642914195,4.73620451266195,564.025477698809,1.11930330033719e-124,2.53254538041511e-122
"ENSG00000224687",2.63869776939194,2.5588136137894,563.264230801179,1.6388631524253e-124,3.6551330765234e-122
"ENSG00000078070",-1.43785159291304,4.14097991657372,562.569922014656,2.32047458964504e-124,5.10242947796314e-122
"ENSG00000106462",-2.02341189537141,4.08726137516051,561.320288321589,4.33922836443802e-124,9.40889350355644e-122
"ENSG00000025772",-1.36423205406469,6.40257917094992,559.74579753056,9.54809276412216e-124,2.04198389360925e-121
"ENSG00000141098",2.2404684630257,5.66056158255227,559.269276758287,1.21220503949849e-123,2.55742501035816e-121
"ENSG00000168309",5.66331626967424,4.35686614235576,557.367857691233,3.14196168568912e-123,6.54030744493048e-121
"ENSG00000165757",2.76808746579932,6.68418124944129,557.221012011799,3.38177752200447e-123,6.94688298335971e-121
"ENSG00000008083",-1.25809125320489,5.07963537684102,556.023325269917,6.16147907224595e-123,1.24925988670005e-120
"ENSG00000152931",4.23942553155968,1.52314292322015,555.517494711516,7.93819234919933e-123,1.58885973020128e-120
"ENSG00000138413",-1.98976817470006,7.28152550941412,555.211144986246,9.25473463879273e-123,1.82892300228901e-120
"ENSG00000163918",-1.69306668693999,3.52673668218008,554.045942487302,1.6589719629827e-122,3.23748378576075e-120
"ENSG00000163815",4.01216392253287,5.61394476650133,553.765037701675,1.90961788906037e-122,3.68061166469266e-120
"ENSG00000131844",-1.21429847141775,6.17544849664986,551.585556578967,5.68942058040113e-122,1.08321017196613e-119
"ENSG00000183908",4.84206000164744,0.360979842787847,549.83059618697,1.37038421376997e-121,2.57764317414177e-119
"ENSG00000123096",-2.51628334282926,3.84927174264137,549.08405491987,1.99179984715714e-121,3.7019022873592e-119
"ENSG00000087586",-2.00629873179957,4.14451138972367,548.41006544381,2.79168487795076e-121,5.12750403700791e-119
"ENSG00000115290",3.2350814948942,1.90226183535312,548.144522210462,3.18884319163115e-121,5.7888627799704e-119
"ENSG00000088002",4.79027536489122,3.80481689371372,546.784052401358,6.30366456527609e-121,1.13118173785161e-118
"ENSG00000133812",1.05829560456326,5.47393583305504,544.248266869282,2.2451101441195e-120,3.98302949659019e-118
"ENSG00000163517",-2.12495734816662,4.2831790721095,543.66259838163,3.0105572868969e-120,5.28099105202633e-118
"ENSG00000147113",3.21061069167074,5.84440008835454,543.329260951316,3.55764733048e-120,6.1713322359393e-118
"ENSG00000101003",-1.96428169463548,3.30474342140697,541.184723005796,1.0415953602144e-119,1.78696557842497e-117
"ENSG00000173898",4.00783744427765,3.53667240729815,540.341939272845,1.58870910468033e-119,2.69597027633362e-117
"ENSG00000145901",1.22265869058075,5.97704869276887,539.26992367293,2.71806144305333e-119,4.56283604827404e-117
"ENSG00000184368",-1.77265642152708,5.4415046010448,538.81228315728,3.41836413561964e-119,5.67739371120147e-117
"ENSG00000005189",-1.79500467074605,1.37793960012037,537.077234888314,8.15224193025721e-119,1.33971369489659e-116
"ENSG00000112984",-2.41492983937317,4.4084387380033,536.763446789441,9.53985374758792e-119,1.55141871570149e-116
"ENSG00000198901",-1.7997371126052,5.32445118228534,535.019351041846,2.28544831569747e-118,3.67839372213081e-116
"ENSG00000163283",8.70894924884034,11.3589954168198,534.6182646187,2.79401324384401e-118,4.45103415947884e-116
"ENSG00000166851",-2.0587821555736,4.58770208051887,533.050521541947,6.12766319652644e-118,9.66313917415866e-116
"ENSG00000175279",-1.63191700753337,2.11957982167152,531.792764953157,1.15059988042247e-117,1.79631653331556e-115
"ENSG00000154133",3.12797879439847,5.61183027421735,528.029357852138,7.58008724347479e-117,1.17168635688246e-114
"ENSG00000145103",-2.41745987103736,3.68616893410667,526.839780598469,1.37554732801855e-116,2.10539655735545e-114
"ENSG00000170876",1.57282607684,7.24122453081128,526.515070289384,1.61852293782283e-116,2.45324078692136e-114
"ENSG00000139567",2.79954918182656,7.37551403400608,525.780996628528,2.33788286802727e-116,3.50952185919632e-114
