"","logFC","unshrunk.logFC","logCPM","PValue","FDR"
"ENSG00000126353",-5.03435153193896,-5.03670789437369,5.19222947475618,1.02014719720133e-195,1.59265380427072e-191
"ENSG00000161649",6.57735005741089,6.58613369305012,4.83375638968816,3.35381410489954e-187,2.61798729028458e-183
"ENSG00000170323",7.68176452296185,7.69834757516655,5.00385819246,1.67071098564324e-176,8.69437996928744e-173
"ENSG00000188676",9.18954713859457,9.36559976811465,3.19025545792825,3.12363378152709e-159,1.21915426493002e-155
"ENSG00000159713",5.59812969009518,5.59854799275087,8.23012827490687,4.89426291061103e-145,1.52818465120919e-141
"ENSG00000182809",4.15194805209436,4.15220613391852,7.48179399726433,1.30410557003378e-132,3.39328269322789e-129
"ENSG00000213145",3.84875311423518,3.84979836034193,5.14968651013569,2.63512622219743e-104,5.87708436870662e-101
"ENSG00000163283",8.70894924884034,8.70936972991468,11.3589954168198,9.98949272381414e-103,1.94944950505233e-99
"ENSG00000197273",6.02465741494206,6.05852958747347,2.35999067294716,5.49303588314151e-98,9.52858624528947e-95
"ENSG00000168309",5.66331626967424,5.66970405532321,4.35686614235576,7.18677757926252e-94,1.12199971567446e-90
"ENSG00000183914",4.7309905243066,4.75286373260402,1.68090875072602,2.30329607353284e-91,3.26900529999952e-88
"ENSG00000140522",-6.32574502607462,-6.68417591600562,-0.318492894082243,7.22533180841195e-91,9.40015668274394e-88
"ENSG00000109906",6.27514484161304,6.31305303208468,2.41786844689431,1.10133717655216e-90,1.3226212307948e-87
"ENSG00000102760",3.62299861391286,3.62344294088229,6.16839584478636,4.10428195749711e-90,4.57686070860321e-87
"ENSG00000131386",7.38974693009108,7.41008802422674,4.41514449935005,1.49502142489225e-89,1.55601829902785e-86
"ENSG00000108001",4.37125825740471,4.39190093349968,1.4106167126787,3.09549805081546e-85,3.02043222308318e-82
"ENSG00000179862",5.49140066762615,5.49503950438744,5.02140118676099,4.34365937395505e-85,3.98901236154037e-82
"ENSG00000088002",4.79027536489122,4.79545532159496,3.80481689371372,5.21417394909739e-85,4.52242687185047e-82
"ENSG00000122861",2.72001328025533,2.72017251045339,6.74013618682349,4.79865453803726e-84,3.94297866567567e-81
"ENSG00000137834",3.15065984748507,3.15107379168482,5.78657965178025,9.63624911917307e-84,7.5220560624265e-81
"ENSG00000183908",4.84206000164744,4.90167247789688,0.360979842787847,6.7897051224069e-83,5.04766077957222e-80
"ENSG00000135374",-3.57255898381376,-3.57641637355338,3.01888891020609,5.56338832232804e-82,3.94798265855388e-79
"ENSG00000152931",4.23942553155968,4.25657360698001,1.52314292322015,2.01792936935479e-79,1.36973536149422e-76
"ENSG00000144218",3.28437129440646,3.28635400933549,3.70790988366166,2.91413868903822e-79,1.89564721721936e-76
"ENSG00000006210",5.6792643061707,5.70108288707831,2.62193519097912,5.6444802645011e-79,3.52486503557565e-76
"ENSG00000163815",4.01216392253287,4.01301510277802,5.61394476650133,8.42341736102211e-78,5.05793814770297e-75
"ENSG00000127329",3.81512103183091,3.81597778437041,5.40143980151296,9.10701438452176e-78,5.26587809522791e-75
"ENSG00000115602",8.00801777452591,8.02373750309334,5.42817629495003,6.1157238473389e-77,3.4099528823091e-74
"ENSG00000087237",4.4704274413276,4.47888167009479,2.78340319901678,3.2314323409844e-76,1.73962488646374e-73
"ENSG00000173898",4.00783744427765,4.01143891208382,3.53667240729815,1.33439083366847e-75,6.94416989841071e-73
"ENSG00000245694",-3.00447815784158,-3.01218676468163,1.47255825010037,1.71625169309771e-75,8.64326497827146e-73
"ENSG00000088305",-2.58033204194758,-2.58146583062585,3.75884885434784,4.30089927810412e-75,2.09830123530505e-72
"ENSG00000074966",5.15459063572568,5.16153338455779,3.80949591375012,1.32588688871392e-74,6.27265033533386e-72
"ENSG00000122691",3.44046515351006,3.44099997044403,5.71214440241484,2.68626204784766e-74,1.23239541380033e-71
"ENSG00000277494",6.34973740496151,6.39274622325034,2.35913241861302,2.76286443011859e-74,1.23239541380033e-71
"ENSG00000133392",6.67503038038963,6.67720535019895,6.94038331858516,3.03669764674144e-74,1.31691454613687e-71
"ENSG00000005884",2.8005716603549,2.8006896869239,7.22650349475275,6.53590582933476e-74,2.75779896777228e-71
"ENSG00000100311",2.26297051048295,2.26311386228033,6.38525426984585,2.5710435409006e-72,1.05629294106685e-69
"ENSG00000115468",3.01662418241711,3.01666805059875,8.88652159878603,5.68705988860993e-72,2.27657382002508e-69
"ENSG00000153162",3.81713782442621,3.81917258130321,4.15639221406558,1.17130412883634e-70,4.57160001484825e-68
"ENSG00000213853",2.51407931844323,2.51419663885109,6.96504334258971,1.40188776126354e-70,5.33811505581618e-68
"ENSG00000110934",-2.90127201141942,-2.90156989937049,6.02822012471237,1.71657917014722e-69,6.38077000103295e-67
"ENSG00000261786",6.04479881905642,6.09705831867513,1.76441552325702,3.4518932575529e-69,1.25327808225386e-66
"ENSG00000125878",3.95599247204263,3.9646610255099,2.21580499792599,3.71498750004654e-69,1.31814511024379e-66
"ENSG00000178878",3.82283802515582,3.82374021849905,5.3390841540097,3.94727000510522e-69,1.36943954043784e-66
"ENSG00000174514",3.98298049082102,3.99096347115117,2.36889902012451,9.75739415056374e-69,3.31157472779568e-66
"ENSG00000233117",5.46024692991538,5.50455447643541,1.40683735084942,1.58560236428215e-68,5.26689874705808e-66
"ENSG00000169418",3.30300642914195,3.3039520744426,4.73620451266195,3.10797597560658e-68,1.01086918606604e-65
"ENSG00000093217",-2.73421167662157,-2.73839194457758,2.05275023440676,5.17004541466769e-68,1.64723977579167e-65
"ENSG00000069122",3.20429707063051,3.20484063730893,5.43926982364841,6.47575512125398e-68,2.02198977906034e-65
"ENSG00000137948",-5.64938216880667,-5.67256130055139,2.53776415019442,2.50229694894148e-67,7.65997254252438e-65
"ENSG00000141744",5.02188959707529,5.03212555169568,3.06754272604198,3.11753186534237e-67,9.35978990033174e-65
"ENSG00000196730",3.23790633787353,3.23796751975798,8.65965722063326,3.2307732836789e-67,9.51676084996131e-65
"ENSG00000022267",3.61670272461413,3.61694508071848,7.05871019468462,6.92376880275888e-66,2.00173849164207e-63
"ENSG00000186642",3.82378769187683,3.83193929247641,2.17963252016135,1.74816876584599e-65,4.96225650407048e-63
"ENSG00000143878",2.39770368813803,2.39774707631668,8.25428214774913,1.90649202044127e-65,5.31502739698734e-63
"ENSG00000205426",6.05870412963312,6.06766400308159,4.31144603913339,4.12921580894058e-65,1.13097047735404e-62
"ENSG00000170442",5.50779334400962,5.51634082511273,3.86675852342285,4.22436728704409e-65,1.13708313940228e-62
"ENSG00000227733",4.3609368242364,4.37876603513067,1.61059562256307,8.04717339452161e-65,2.12936391585206e-62
"ENSG00000126603",3.04394823768974,3.04423185326883,6.25263786927336,8.25220008870433e-65,2.14722246308087e-62
"ENSG00000147113",3.21061069167074,3.21102614194492,5.84440008835454,2.45862528544138e-64,6.292468517428e-62
"ENSG00000107611",4.12311712738231,4.13216648414984,2.34041144846824,2.50878889598766e-64,6.31729229744506e-62
"ENSG00000137766",-4.83843535329663,-4.95420676693788,-0.364235422109964,3.71808881722542e-64,9.21377819278146e-62
"ENSG00000115290",3.2350814948942,3.24163366057223,1.90226183535312,3.80553449356281e-64,9.28312570523477e-62
"ENSG00000117407",4.49420894826258,4.50227544267831,2.87948683171931,8.4689470062849e-64,2.03411077941723e-61
"ENSG00000131435",3.94812306585572,3.94992196935381,4.49704318490684,1.92777139842843e-63,4.56005561700979e-61
"ENSG00000173269",2.94576471744187,2.94598574906615,6.46866566493874,3.41187498733516e-63,7.95017795556365e-61
"ENSG00000130052",2.84765811207465,2.84806487631958,5.50684695623863,1.83972482420415e-62,4.22379175815811e-60
"ENSG00000162571",4.1614660809964,4.20140028655045,0.2701931989998,2.0905421458137e-62,4.73007883774544e-60
"ENSG00000204618",4.19411909912099,4.20174459624522,2.66178836606731,3.26782137479735e-62,7.28817532904802e-60
"ENSG00000184113",4.45617444919781,4.45832839975194,4.71657402835739,7.35110068811861e-62,1.61641385835081e-59
"ENSG00000099960",3.59770793396034,3.59827658546207,5.80382808802708,3.84285930374094e-61,8.33259992361161e-59
"ENSG00000154133",3.12797879439847,3.1284338979837,5.61183027421735,4.44877356797796e-61,9.51428122510574e-59
"ENSG00000134470",2.92327722374044,2.92664011150448,2.52154299560497,7.0269906434391e-61,1.48250510709961e-58
"ENSG00000233198",5.27695802040593,5.34921325958039,0.588085258396604,2.9074598008285e-60,6.0521683214046e-58
"ENSG00000128849",2.74597423589285,2.74625730581361,5.90167651420574,1.10481854305187e-58,2.26952988080603e-56
"ENSG00000165810",6.41141451955933,6.44433202666512,2.76129101865818,2.18124115870106e-58,4.42253726878454e-56
"ENSG00000112936",4.36888037428924,4.36919524196936,7.39935138040272,2.44762341140648e-58,4.89901239729205e-56
"ENSG00000105929",-3.21572223522164,-3.21803352581359,3.43518857540252,2.55472752969662e-58,5.04865901185109e-56
"ENSG00000069667",3.38654937883972,3.38907299401911,3.46408598993927,3.36680210208496e-57,6.57031430221879e-55
"ENSG00000165757",2.76808746579932,2.7682555206446,6.68418124944129,1.31756599202077e-56,2.53948645276892e-54
"ENSG00000152056",-2.58216304976235,-2.58314071263714,3.96638116267672,7.99313891297584e-56,1.52181566718755e-53
"ENSG00000138411",2.94954346790265,2.95100455745339,3.75503123408205,1.05715018018769e-55,1.98846127868557e-53
"ENSG00000186567",3.85483724543861,3.86191866299949,2.40319314004341,2.17437331606082e-55,4.04122812027876e-53
"ENSG00000131203",4.17617955577792,4.17780116597376,4.84126124020089,2.25444608748237e-55,4.14075439032644e-53
"ENSG00000155962",3.79621814099305,3.81481610252743,0.97538118812733,6.19715611087167e-55,1.12500001398754e-52
"ENSG00000128284",2.54533758968458,2.54638314270294,3.80957480834078,9.9830801685928e-55,1.79144652404679e-52
"ENSG00000115255",-4.05408021096218,-4.05602921371638,4.49399604412086,1.5219601854717e-54,2.70009572904366e-52
"ENSG00000139567",2.79954918182656,2.79965550730954,7.37551403400608,2.22038142067603e-54,3.89489828534766e-52
"ENSG00000140284",-2.56119288241762,-2.56138134291468,6.31090755618049,2.28833880596058e-54,3.96950504873961e-52
"ENSG00000072694",3.27001567526748,3.2702039884056,7.03620441706612,3.15486074689992e-54,5.41249296490127e-52
"ENSG00000173210",3.1805026206694,3.18098224823384,5.59177558485306,4.35486486176808e-54,7.39001632846991e-52
"ENSG00000131737",6.08132447371322,6.22938331571877,0.390044133170225,5.51827262566844e-54,9.26357765934792e-52
"ENSG00000058866",3.42176342172701,3.42752655378548,2.27399896088854,1.07761399458926e-53,1.78975634931143e-51
"ENSG00000224687",2.63869776939194,2.64141744074414,2.5588136137894,1.50833516613442e-53,2.47875038038849e-51
"ENSG00000254290",3.95116748005203,3.95668557193313,2.914017532656,1.68248374666034e-53,2.73613919300638e-51
"ENSG00000232316",5.28847036527096,5.33736318969493,1.14289419730107,2.42594423299139e-53,3.87876209651945e-51
"ENSG00000172782",-4.80585123475153,-4.91628579432673,-0.352372530010793,2.43478532833017e-53,3.87876209651945e-51
"ENSG00000110799",3.83200752248813,3.8322093285042,7.50867974965999,2.95943311195012e-53,4.66693633775406e-51
"ENSG00000196616",6.54852700645737,6.71390608121447,0.6714819664016,1.17350792084471e-52,1.83208056602277e-50
"ENSG00000152583",3.49995151293554,3.50023375785297,6.68382656072163,1.72283908987741e-52,2.66306572981842e-50
"ENSG00000138152",5.54383229143,5.61716698614692,0.809076715599837,2.6651039488499e-52,4.07917674994555e-50
"ENSG00000118898",3.10663648217743,3.10722877547948,5.24832632014159,2.82344198943417e-52,4.27957051835401e-50
"ENSG00000188783",4.86656251691768,4.87216446856506,3.76417787321176,3.46676914061386e-52,5.20190823738432e-50
"ENSG00000179564",5.475300626637,5.5825825649003,0.240871953686909,3.49859316503557e-52,5.20190823738432e-50
"ENSG00000099860",2.3606085665441,2.36105904605698,4.82967716738776,6.10932016569111e-52,8.99799117233676e-50
"ENSG00000120129",3.60016449440788,3.60026933586109,8.23172016725457,1.17374799942309e-51,1.71257511841059e-49
"ENSG00000263155",2.76208515463138,2.76286553801147,4.45577427372528,3.37855251846213e-51,4.88388536279915e-49
"ENSG00000240654",6.22306964225534,6.47341520309608,-0.19875014070749,4.1340273233598e-51,5.92114078644891e-49
"ENSG00000154122",-2.00948803885314,-2.00959412897615,6.53120686365276,4.20935208645693e-51,5.97421861579687e-49
"ENSG00000254636",6.90973585133071,6.93327136197755,3.77336541830993,7.22154682717842e-51,1.01570080239558e-48
"ENSG00000145860",2.38056729111314,2.38079829837609,5.82089225648538,1.16613980087136e-50,1.62551558671461e-48
"ENSG00000117154",6.03247293964283,6.25489464621364,-0.230424347388741,1.35366762286682e-50,1.8702176042652e-48
"ENSG00000106211",3.07882564676377,3.07884744839257,9.94896546104798,2.89855150029605e-50,3.96949000198438e-48
"ENSG00000147571",6.75700218405558,6.75731349501671,9.81940547917912,3.09193129751507e-50,4.19749838407003e-48
"ENSG00000122367",4.44898121044023,4.48665316768995,0.637702425187005,3.66144806260418e-50,4.92780406494624e-48
"ENSG00000197683",5.79034696579313,5.80130616143296,3.76412289047911,4.49286200869818e-50,5.99509074186291e-48
"ENSG00000167880",3.59469091531612,3.59880794850523,2.93148598347626,7.50122595501372e-50,9.92450335675205e-48
"ENSG00000137709",2.88300519070587,2.88441789124693,3.7594464013518,9.15766476059254e-50,1.2014240524569e-47
"ENSG00000123096",-2.51628334282926,-2.51729575044298,3.84927174264137,1.59815568102306e-49,2.07920054101101e-47
"ENSG00000131634",3.10622819570493,3.10832802525636,3.38605649733928,2.63325876906395e-49,3.39755668616747e-47
"ENSG00000131831",3.61629780910427,3.62496994262144,1.8780732099822,3.79045005102913e-49,4.85053329480875e-47
"ENSG00000269927",5.60104269302312,5.69457477147021,0.542890384274864,3.93368361002706e-49,4.99289987965386e-47
"ENSG00000134247",3.18007689471166,3.18035875309194,6.36957874090785,4.63399914334483e-49,5.83435440531447e-47
"ENSG00000139132",2.66936735142847,2.67020745588584,4.29660547193138,7.41082852484651e-49,9.2558283943923e-47
"ENSG00000105808",3.50482052484219,3.50577044438044,4.93754557546265,8.62870128922881e-49,1.06913717878921e-46
"ENSG00000115461",3.29545831071381,3.29551408191356,8.81274073588181,9.72110425596412e-49,1.19500692633159e-46
"ENSG00000185002",-3.01917463856591,-3.02410700667518,2.11259908808067,9.91926832755059e-49,1.20984075882594e-46
"ENSG00000133636",-4.20222108195728,-4.23209950869385,0.765745916799892,1.72682323068589e-48,2.08985769592776e-46
"ENSG00000005187",-2.65210546812309,-2.65436242972743,2.84864088577222,3.95880772822285e-48,4.75422355792424e-46
"ENSG00000073060",3.08541968696443,3.0854669873365,8.85336721419664,4.44806267475773e-48,5.3010041586502e-46
"ENSG00000178404",4.76191865635244,4.79031937551185,1.39570255358654,6.20785899674084e-48,7.34220414069076e-46
"ENSG00000171848",-2.91936970966926,-2.91999926951614,4.96619915258058,6.45146843169476e-48,7.57295677861794e-46
"ENSG00000153902",3.80023757032302,3.81397448108545,1.4289452838513,6.57177300109116e-48,7.65660597709218e-46
"ENSG00000167434",5.10796089490189,5.14633973211076,1.25168707900168,6.92062249696018e-48,8.00331543870684e-46
"ENSG00000272274",6.84318813669086,7.40635006493894,-0.480656756194762,7.66605688998766e-48,8.80018236518289e-46
"ENSG00000143297",-3.89291726480078,-3.90827050063716,1.38487389254939,9.45892523589019e-48,1.0779032173921e-45
"ENSG00000118513",-2.83005963309521,-2.83790052471834,1.29324504740866,1.77857303380918e-47,2.01173185040729e-45
"ENSG00000117643",3.11722989583123,3.11727301781892,9.02831194724045,1.79112687167957e-47,2.01173185040729e-45
"ENSG00000177688",4.55052044966744,4.71338916724496,-1.19346470135683,2.03773222868847e-47,2.27236253959175e-45
"ENSG00000186827",3.54623517088409,3.55790453735475,1.38315188001274,2.570700313819e-47,2.84636690066257e-45
"ENSG00000163288",5.95587684792939,6.13977803965931,-0.0215175398102398,3.32528570673765e-47,3.65594087701326e-45
"ENSG00000100060",2.78952938035103,2.79050302034385,4.17056609781923,3.38401718616735e-47,3.69449484688424e-45
"ENSG00000170667",3.74567832696465,3.74796636893033,3.92626878708167,4.88548166282337e-47,5.29667636944434e-45
"ENSG00000155886",-3.71350679795001,-3.75441484852215,-0.149720885359236,7.36231926304236e-47,7.88594612019408e-45
"ENSG00000087266",2.79858876593799,2.7987787499078,6.56487778243055,7.3747638582394e-47,7.88594612019408e-45
"ENSG00000136237",2.91346989009896,2.91408439506725,4.96631994430363,8.0204691708697e-47,8.51806562555223e-45
"ENSG00000128567",2.89669276236896,2.8971931071489,5.24577123515649,1.03751859276829e-46,1.0944419101553e-44
"ENSG00000178175",3.16877174358293,3.1720098276132,2.84005447882859,1.65732760620984e-46,1.73652339517772e-44
"ENSG00000254139",-5.22620214583803,-5.48800836182733,-0.974454677520541,2.01804344878604e-46,2.10037962149651e-44
"ENSG00000079337",2.86080021911151,2.86151265125224,4.70680052542363,2.16051659456075e-46,2.23377384597897e-44
"ENSG00000253364",5.26234658321083,5.37610421370286,0.008754000488324,2.79019367316915e-46,2.86582260694189e-44
"ENSG00000112984",-2.41492983937317,-2.41556941467601,4.4084387380033,4.58923938551016e-46,4.68282387494017e-44
"ENSG00000179059",-6.21160892808282,-6.23770363954158,3.067696345215,5.72034050186763e-46,5.7990880464388e-44
"ENSG00000261371",2.8180029641531,2.81804301240341,8.79758950369964,3.30695529835748e-45,3.33085071728754e-43
"ENSG00000145103",-2.41745987103736,-2.41851943241131,3.68616893410667,3.39856004128257e-45,3.40117431823741e-43
"ENSG00000189337",2.65893041877407,2.65916121310403,6.12656657297787,3.6796201770441e-45,3.6589955543957e-43
"ENSG00000173212",-3.21136345946343,-3.21720759467515,2.08465609622829,5.992016553098e-45,5.92071914094722e-43
"ENSG00000270115",4.6083699653346,4.79087277171275,-1.25939089671508,6.89448401560664e-45,6.76960279570131e-43
"ENSG00000126217",3.86482346649736,3.86787085078204,3.62504835766553,8.35486926286618e-45,8.15226368324167e-43
"ENSG00000101825",3.65533073884004,3.65851214057677,3.34646627287105,9.50524561989457e-45,9.21713631166423e-43
"ENSG00000101958",-3.81977107092107,-3.91703700599483,-1.18215307118797,2.02217138712438e-44,1.94877405529542e-42
"ENSG00000125910",3.39061758914045,3.40428120624637,0.999937402834575,2.92702873671042e-44,2.80348298389712e-42
