"","logFC","logCPM","F","PValue","FDR"
"ENSG00000126353",-5.03241105678813,5.19222947475618,1282.16200729863,1.10550548309078e-53,1.72591516020133e-49
"ENSG00000161649",6.57403119149274,4.83375638968816,1136.92178203577,1.42666880977046e-51,1.11365767290682e-47
"ENSG00000170323",7.68838927510241,5.00385819246,1085.19351652052,9.27331195621214e-51,4.8258315420128e-47
"ENSG00000100311",2.26295412148541,6.38525426984585,984.137282487799,4.61885693522721e-49,1.80273986181918e-45
"ENSG00000188676",9.18953570640096,3.19025545792825,963.44873721058,1.07582635472923e-48,3.35916021000654e-45
"ENSG00000182809",4.15203421119069,7.48179399726433,932.727997215137,3.89582438475754e-48,1.01369350491391e-44
"ENSG00000122861",2.72000596147189,6.74013618682349,876.603445448423,4.53498365548803e-47,1.01143092613542e-43
"ENSG00000159713",5.5984319269165,8.23012827490687,854.46819880619,1.24220544104652e-46,2.42416391820228e-43
"ENSG00000154122",-2.00936212965744,6.53120686365276,844.561050734203,1.96520918426933e-46,3.21347187194846e-43
"ENSG00000088305",-2.57983698952193,3.75884885434784,843.566924468904,2.05833453237795e-46,3.21347187194846e-43
"ENSG00000213853",2.51407956497622,6.96504334258971,810.503548641719,9.88121099102505e-46,1.40241332719894e-42
"ENSG00000143878",2.39769434059873,8.25428214774913,800.123175953741,1.63643917424218e-45,2.12900736568907e-42
"ENSG00000111358",-1.3468893141069,4.07565362618803,790.611788903138,2.6116515259691e-45,3.13639258641766e-42
"ENSG00000213145",3.84884762678418,5.14968651013569,771.002581014759,6.95845250780478e-45,7.7596686108463e-42
"ENSG00000269858",1.8787685251254,7.33824025170468,763.720552120927,1.0070421857616e-44,1.04812950694068e-41
"ENSG00000100823",-1.49355392080428,6.09078976087686,745.05924076295,2.63519320623452e-44,2.57128977098333e-41
"ENSG00000137834",3.15075051341712,5.78657965178025,731.431745920457,5.39338097971472e-44,4.95302728560625e-41
"ENSG00000005884",2.80057768577296,7.22650349475275,728.577751164685,6.27567860258473e-44,5.44310524130849e-41
"ENSG00000143614",0.955872640296933,4.89882255867131,713.374898835541,1.41938783342801e-43,1.16628857134095e-40
"ENSG00000139531",-1.75564187681508,5.09397023477716,703.205301989866,2.4716205360994e-43,1.92934699047919e-40
"ENSG00000181192",-1.63469885682168,5.23765803444495,693.039575837325,4.33406831918042e-43,3.22207021900213e-40
"ENSG00000102760",3.62285811121578,6.16839584478636,690.257025940106,5.06075125236656e-43,3.59129311599758e-40
"ENSG00000164904",-2.03476365132375,7.24453015484571,675.471801181648,1.16417989871938e-42,7.90225068643779e-40
"ENSG00000196371",-1.93322563025538,4.50844352403126,666.755560423501,1.9169983161682e-42,1.24700740466741e-39
"ENSG00000144218",3.28429287390454,3.70790988366166,662.130980539975,2.50360399961315e-42,1.56345062567842e-39
"ENSG00000149115",1.94679002887876,8.14431078018733,660.282910100292,2.78676128297195e-42,1.67334296729839e-39
"ENSG00000116704",-1.9967497145353,5.43108464406637,655.2137375651,3.7439951516853e-42,2.15122383848204e-39
"ENSG00000110934",-2.90132914856108,6.02822012471237,654.699812085718,3.85820314357528e-42,2.15122383848204e-39
"ENSG00000116604",1.36002717474311,6.36644656001832,652.714977867288,4.33381201936518e-42,2.32193347638714e-39
"ENSG00000153048",1.80012351809441,7.00672135674228,652.218771004497,4.46182451265784e-42,2.32193347638714e-39
"ENSG00000115468",3.01662715124946,8.88652159878603,650.432956949454,4.95543922317011e-42,2.49562313393973e-39
"ENSG00000163291",-1.89524002434467,3.86837762193476,649.428630278153,5.25725164961413e-42,2.56488164855549e-39
"ENSG00000196177",-1.96128604182955,4.21181592679975,646.304254013175,6.32210294833618e-42,2.99092943119468e-39
"ENSG00000122952",-2.05636511429214,4.4721660204067,641.610845593258,8.35288315666424e-42,3.835447407113e-39
"ENSG00000099860",2.36060822669218,4.82967716738776,639.216563912726,9.63499182776937e-42,4.29775692614673e-39
"ENSG00000076003",-1.94653970143615,5.51481162711551,625.144627476378,2.25178093918844e-41,9.76522333961386e-39
"ENSG00000143799",-1.84921172863026,8.07000144879017,620.767884336344,2.94227816640367e-41,1.2414823441593e-38
"ENSG00000135374",-3.57255406571954,3.01888891020609,614.247330073754,4.39622355892435e-41,1.80615374215597e-38
"ENSG00000140525",-1.96085309782172,4.83047322188251,613.442074654084,4.62093090794174e-41,1.84979418807145e-38
"ENSG00000145860",2.38057138337126,5.82089225648538,608.404044325287,6.32045689640277e-41,2.466874326666e-38
"ENSG00000109084",-2.17362044556651,3.96649923054228,607.049317243634,6.87848100232599e-41,2.61919135142228e-38
"ENSG00000128284",2.54538364756069,3.80957480834078,606.067098307648,7.31439000117046e-41,2.71886325472079e-38
"ENSG00000152056",-2.58213974377221,3.96638116267672,602.793561500268,8.98235555225118e-41,3.26122174143594e-38
"ENSG00000175155",1.76619774277659,4.41588802602375,602.278172636542,9.27843106973524e-41,3.29215604228879e-38
"ENSG00000147536",-1.76811683070619,3.20951208483834,600.026279317743,1.06939294138174e-40,3.71008057796703e-38
"ENSG00000130052",2.84774697325135,5.50684695623863,599.413053593533,1.11163995783791e-40,3.7728093525577e-38
"ENSG00000133812",1.05843976389247,5.47393583305504,596.834846582357,1.30880540579084e-40,4.3474617011078e-38
"ENSG00000093217",-2.73695538050168,2.05275023440676,596.30291496633,1.3537505939089e-40,4.4030738066887e-38
"ENSG00000144554",-1.59169603888784,3.91968918310265,595.636689346298,1.41227876130414e-40,4.49969306560822e-38
"ENSG00000008083",-1.25811184136087,5.07963537684102,592.058115169789,1.77404774073936e-40,5.46311677198573e-38
"ENSG00000144354",-2.16578310887573,4.2463977584819,591.964903843115,1.78464613996459e-40,5.46311677198573e-38
"ENSG00000245694",-3.00148615526827,1.47255825010037,591.411329493916,1.84893792899577e-40,5.55108056682345e-38
"ENSG00000025772",-1.36408931540412,6.40257917094992,590.893510371973,1.91122216542065e-40,5.61652233828088e-38
"ENSG00000078070",-1.43836699943708,4.14097991657372,590.638449232558,1.94268643522398e-40,5.61652233828088e-38
"ENSG00000131844",-1.21407725111469,6.17544849664986,590.027851883111,2.02018056336895e-40,5.73437435551201e-38
"ENSG00000140284",-2.56127217399225,6.31090755618049,588.327230596006,2.25312040805027e-40,6.28137782330014e-38
"ENSG00000122691",3.44057893548646,5.71214440241484,587.860451847422,2.32174156308726e-40,6.35912794437162e-38
