"","logFC","unshrunk.logFC","logCPM","PValue","FDR"
"ENSG00000126353",-5.03241105678813,-5.03476081652133,5.19222947475618,5.26996681771789e-49,8.22747219582116e-45
"ENSG00000161649",6.57403119149274,6.58273487421037,4.83375638968816,1.89617450800431e-48,1.26702282621998e-44
"ENSG00000170323",7.68838927510241,7.70498128105914,5.00385819246,2.43470950465024e-48,1.26702282621998e-44
"ENSG00000188676",9.18953570640096,9.36482905510637,3.19025545792825,1.63806932933696e-46,6.39338459240216e-43
"ENSG00000159713",5.5984319269165,5.59885039704651,8.23012827490687,6.9820268818335e-43,2.18006807358369e-39
"ENSG00000182809",4.15203421119069,4.15229232480424,7.48179399726433,6.23791256093664e-42,1.62310484835571e-38
"ENSG00000213145",3.84884762678418,3.84989295583842,5.14968651013569,6.21955905890966e-38,1.38713937182425e-34
"ENSG00000131386",7.37905090041001,7.39911588548948,4.41514449935005,1.27595529006623e-37,2.49002674856424e-34
"ENSG00000197273",6.02287697825723,6.05662923383602,2.35999067294716,1.15885164179278e-36,2.01022131462987e-33
"ENSG00000168309",5.66506528905958,5.67145069787637,4.35686614235576,3.43070553204747e-36,5.35601747663251e-33
"ENSG00000109906",6.27482096968285,6.31262171216878,2.41786844689431,5.32460204122479e-36,7.55706246069104e-33
"ENSG00000140522",-6.32495060409034,-6.68450117470344,-0.318492894082243,6.86232418901979e-36,8.92788376991475e-33
"ENSG00000163283",8.70927222599798,8.7096929136773,11.3589954168198,1.14408678624838e-35,1.37396022360844e-32
"ENSG00000102760",3.62285811121578,3.6233023493231,6.16839584478636,1.79702706205249e-35,2.00394189234025e-32
"ENSG00000088002",4.79302366419036,4.79822231727228,3.80481689371372,8.29371001514936e-35,8.63209338376745e-32
"ENSG00000122861",2.72000596147189,2.72016518946198,6.74013618682349,9.63864627016036e-35,9.40490909810897e-32
"ENSG00000183914",4.73102876371801,4.75290397272904,1.68090875072602,1.41126992263681e-34,1.29604388424741e-31
"ENSG00000179862",5.49042118855643,5.49404960160831,5.02140118676099,1.64616471134132e-34,1.42777352630337e-31
"ENSG00000137834",3.15075051341712,3.15116449696219,5.78657965178025,1.80870002454737e-34,1.48618025174914e-31
"ENSG00000006210",5.68543762399094,5.70731941970809,2.62193519097912,6.40185097859201e-34,4.99728487388892e-31
"ENSG00000108001",4.37138265140332,4.39204099739826,1.4106167126787,8.64510297198024e-34,6.42701655231217e-31
"ENSG00000115602",7.98935695742117,8.00457642561844,5.42817629495003,1.49361930123808e-33,1.05992656958768e-30
"ENSG00000144218",3.28429287390454,3.28627537905665,3.70790988366166,1.96646101310238e-33,1.33479953637193e-30
"ENSG00000135374",-3.57255406571954,-3.57641142241689,3.01888891020609,2.42844072860171e-33,1.57970069395541e-30
"ENSG00000088305",-2.57983698952193,-2.58096979448733,3.75884885434784,4.18360543483653e-33,2.59908255584387e-30
"ENSG00000163815",4.01219650642529,4.0130476037928,5.61394476650133,4.32847466384452e-33,2.59908255584387e-30
"ENSG00000127329",3.81518212704474,3.81603874718155,5.40143980151296,4.60418211713475e-33,2.66224041528547e-30
"ENSG00000277494",6.32742872676148,6.36849317697658,2.35913241861302,4.95398050732948e-33,2.76219798858671e-30
"ENSG00000074966",5.15495233984172,5.16190624923772,3.80949591375012,5.86239166442268e-33,3.15598822982644e-30
"ENSG00000087237",4.47067285690662,4.47912865987229,2.78340319901678,6.7476769673265e-33,3.51149109379671e-30
"ENSG00000173898",4.00785489740293,4.01145617856839,3.53667240729815,9.59547871621332e-33,4.83240689411362e-30
"ENSG00000100311",2.26295412148541,2.26309746857043,6.38525426984585,1.46018294303853e-32,7.12386753334921e-30
"ENSG00000005884",2.80057768577296,2.80069571374708,7.22650349475275,1.63899195238445e-32,7.75392192746241e-30
"ENSG00000122691",3.44057893548646,3.44111383844057,5.71214440241484,2.34602802846384e-32,1.0772408700111e-29
"ENSG00000152931",4.2390272878166,4.25617189566439,1.52314292322015,4.2673798031388e-32,1.90349524247437e-29
"ENSG00000115468",3.01662715124946,3.01667101971305,8.88652159878603,4.95267373458628e-32,2.09148268552523e-29
"ENSG00000137948",-5.64226292931143,-5.6652733409926,2.53776415019442,4.95675501949998e-32,2.09148268552523e-29
"ENSG00000213853",2.51407956497622,2.51419688406253,6.96504334258971,5.15857480127732e-32,2.11935973151425e-29
"ENSG00000205426",6.06462680300987,6.07366320541618,4.31144603913339,1.18983551716956e-31,4.76300310103876e-29
"ENSG00000153162",3.81709358385911,3.81912761428248,4.15639221406558,1.28630231163117e-31,5.02043792229645e-29
"ENSG00000110934",-2.90132914856108,-2.90162706136835,6.02822012471237,1.70788091260053e-31,6.5032772701267e-29
"ENSG00000174514",3.98276328999476,3.99074008022025,2.36889902012451,1.75799995114776e-31,6.5347369612664e-29
"ENSG00000261786",6.04892486327982,6.10137418295583,1.76441552325702,1.85609564360416e-31,6.73892213673212e-29
"ENSG00000141744",5.0272771453742,5.03757815549428,3.06754272604198,2.66388809489459e-31,9.30139877021727e-29
"ENSG00000125878",3.95644383519913,3.96511467868451,2.21580499792599,2.68103346566601e-31,9.30139877021727e-29
"ENSG00000133392",6.67696437424478,6.67914209802453,6.94038331858516,4.20333648416022e-31,1.42657585197194e-28
"ENSG00000169418",3.30340922784257,3.3043551795175,4.73620451266195,4.39311376141192e-31,1.43043437632186e-28
"ENSG00000183908",4.84177568696507,4.90154654414424,0.360979842787847,4.39795350137388e-31,1.43043437632186e-28
"ENSG00000178878",3.82299890726005,3.82390119374645,5.3390841540097,4.50164439908586e-31,1.43427902772507e-28
