"","logCPM","logFC","lfcSE","stat","pvalue","FDR"
"ENSG00000000003",4210.96520796276,0.135738239811902,0.105559947157676,0,1,1
"ENSG00000000419",1509.52695579099,-0.238276611698942,0.0624648808861307,0,1,1
"ENSG00000000457",1257.97317583805,0.130753102733032,0.054601909680204,0,1,1
"ENSG00000000460",242.954221792951,-0.0047187952820168,0.0772270035117529,0,1,1
"ENSG00000000938",313.18191761604,-0.0497828723397427,0.135932338681209,0,1,1
"ENSG00000000971",1897.01796133725,-1.03009926990839,0.151704134600202,-0.198407709768208,0.842726085829163,1
"ENSG00000001036",3620.38211093109,0.3948353370531,0.0800854202731994,0,1,1
"ENSG00000001084",3527.44369143953,-0.207929993923659,0.0765827904288702,0,1,1
"ENSG00000001167",2008.91914164306,0.360607847940963,0.0683231964295971,0,1,1
"ENSG00000001460",865.790919084993,-0.217408430143283,0.0875614801379887,0,1,1
"ENSG00000001461",13112.3624887379,-0.263489485617108,0.186298687385458,0,1,1
"ENSG00000001497",2638.94728871215,0.125104686299537,0.0394678275016893,0,1,1
"ENSG00000001561",3697.38525608775,-0.0825346126751655,0.122985798331314,0,1,1
"ENSG00000001617",4299.41739379136,-0.302136804888134,0.131033474363937,0,1,1
"ENSG00000001626",892.039649925783,-0.318638004591382,0.271162895833819,0,1,1
"ENSG00000001629",3156.72300086739,0.126366140144486,0.0673860402358879,0,1,1
"ENSG00000001630",477.566554386937,-0.304456929879358,0.108732671148314,0,1,1
"ENSG00000001631",1815.46966490121,-0.147304561138297,0.0571739697357553,0,1,1
"ENSG00000002016",478.060510678932,0.0269709211729753,0.0668977856006506,0,1,1
"ENSG00000002330",2926.56380533684,-0.0565290962612372,0.0815336784830742,0,1,1
"ENSG00000002549",4016.78187995039,0.098628811624911,0.0605672078921582,0,1,1
"ENSG00000002586",16017.2964173824,-0.129856268795398,0.0649676557328642,0,1,1
"ENSG00000002587",603.523737798975,-0.215973755745281,0.137612225431947,0,1,1
"ENSG00000002726",3448.5023072591,-1.99487153760354,0.363383491740916,-2.73780058867634,0.00618515674282049,0.171228321659224
"ENSG00000002745",52.1316335513348,-1.15929267384259,0.202259620816608,-0.787565373649263,0.430950975341571,1
"ENSG00000002746",336.757022349744,-1.17307598490693,0.252889363200004,-0.684394087267505,0.493726348662195,1
