"","logFC","unshrunk.logFC","logCPM","PValue","FDR"
"ENSG00000144355",6.41239203525609,6.43406604306511,4.23859345135095,7.48425779017475e-30,1.41512346296624e-25
"ENSG00000242110",3.25676420299939,3.25708141662441,6.27941817377252,9.64950609528501e-24,9.12264306248245e-20
"ENSG00000159263",3.27584047547473,3.27637854750303,5.87063920302858,6.83086551417584e-20,4.30526683806789e-16
"ENSG00000142405",2.89108976474832,2.90225261973543,0.727428281524492,1.52879702413134e-19,7.22662353306885e-16
"ENSG00000069482",3.28498879899621,3.29806550450671,1.19225334004742,3.56623045711191e-19,1.34860570966144e-15
"ENSG00000225937",5.43936519031489,5.44131331204475,7.66255034946193,1.47575565647336e-18,4.36251941325277e-15
"ENSG00000197757",3.58502377207542,3.5927057524224,2.70773625979513,1.61506430573141e-18,4.36251941325277e-15
"ENSG00000105707",2.66633197478378,2.66643998385494,7.20091218688203,1.72465673818837e-17,4.07622620070821e-14
"ENSG00000095627",4.49559876721971,4.50380245720251,3.9020363014779,2.70182951299171e-17,5.67624360351635e-14
"ENSG00000203635",3.60681110419978,3.62955497964413,1.03520094407548,3.81323867083886e-17,6.6290696025424e-14
"ENSG00000280623",4.05589827923186,4.05624568457988,7.7972172167895,3.85655625280127e-17,6.6290696025424e-14
"ENSG00000228613",3.46196340553318,3.48298155778975,0.858171851397544,5.03400258208379e-17,7.93191006850335e-14
"ENSG00000119547",3.11335753571404,3.12121878643657,2.53171852251447,1.37101258721905e-16,1.99408507685676e-13
"ENSG00000231806",2.80871665639394,2.81983976551316,0.626721583396756,3.3102746072994e-16,4.47076230534407e-13
"ENSG00000166743",2.83121445077459,2.83183280392822,5.818720220507,5.50901381188952e-16,6.81391363592383e-13
"ENSG00000039139",2.82236632849531,2.82299886755839,5.19286191690566,5.76595188146717e-16,6.81391363592383e-13
"ENSG00000234753",2.12629103954045,2.13615230488077,-0.176071327275568,5.83964003078439e-15,6.49505374718066e-12
"ENSG00000260228",3.12642669038865,3.13448719572379,2.10318001682853,8.72861253437681e-15,8.82147834807889e-12
"ENSG00000167332",3.62732544561636,3.62760637740819,8.73539662114734,8.86440070940866e-15,8.82147834807889e-12
"ENSG00000163110",2.28258425153198,2.28259287980055,10.2071011712894,1.25149367516243e-14,1.18316212049857e-11
"ENSG00000123485",2.47145526298773,2.47755861034509,1.52131623948752,2.34012497415926e-14,2.10700395292397e-11
"ENSG00000138028",2.42206505379464,2.42265151505145,4.42235990024505,3.57642691742105e-14,3.07377637066351e-11
"ENSG00000139144",-3.21910809828594,-3.23368216380766,2.39057408969178,4.00059366922348e-14,3.28883587381206e-11
"ENSG00000171208",2.1962070687187,2.19739857057273,2.88121629982717,1.02510897777314e-13,8.07615022988938e-11
