"","logFC","logCPM","F","PValue","FDR"
"ENSG00000087077",-1.33267517290882,5.60638050751511,233.667651431187,3.5286889645342e-21,6.66216476504057e-17
"ENSG00000232677",1.14054081096591,4.98871222098818,197.575644648556,1.30638409764061e-19,8.59566354855742e-16
"ENSG00000090776",-1.29557871568122,5.10015967551876,194.839740950596,1.7541613868421e-19,8.59566354855742e-16
"ENSG00000185973",-1.58228527433224,2.31767472094729,194.494178719265,1.82111515859267e-19,8.59566354855742e-16
"ENSG00000143845",-1.34194857472702,4.03275206721976,186.735829593701,4.2825688758375e-19,1.61709800751624e-15
"ENSG00000114790",1.63620103848751,6.12816272377215,184.194595342204,5.70129423152802e-19,1.6263584477488e-15
"ENSG00000150281",-1.64710375651219,3.45374860594261,183.700055973227,6.02993068550933e-19,1.6263584477488e-15
"ENSG00000168765",-1.31140080026501,4.48974261039931,181.38773770228,7.84865871251097e-19,1.80540100219489e-15
"ENSG00000234753",2.09793446182837,-0.184722062364932,180.584805667887,8.60625477741208e-19,1.80540100219489e-15
"ENSG00000125170",-1.26325862415043,4.57377627515877,179.574543505436,9.66859102326022e-19,1.82542998519153e-15
"ENSG00000244509",-1.90446815774611,5.99431958142449,176.023993681206,1.46144754044812e-18,2.50837541487823e-15
"ENSG00000041880",-0.960010471073385,4.33058900298473,173.171991432967,2.04615706630998e-18,3.21928711766104e-15
"ENSG00000129194",-1.59712641813185,2.452999618675,171.508053495975,2.49498538966225e-18,3.62348647360178e-15
"ENSG00000172638",-1.34898926524683,5.72536996291076,168.924851302294,3.40454583448888e-18,4.59127323965357e-15
"ENSG00000125247",1.28196755668688,5.59042490209554,167.100006541251,4.24987060910941e-18,5.34917047333238e-15
"ENSG00000140459",-2.14373568730012,0.44020876849316,164.992570810308,5.50314723673112e-18,6.49371373934272e-15
"ENSG00000242110",3.21859054062686,6.26479042812943,160.88931634061,9.168558279607e-18,1.01063195190565e-14
"ENSG00000148218",-0.894491068732222,6.24519288814824,160.383923094816,9.77015745522328e-18,1.01063195190565e-14
"ENSG00000109846",-1.92062780396005,6.61775499173768,160.065142037808,1.01705546007454e-17,1.01063195190565e-14
