"","logFC","unshrunk.logFC","logCPM","PValue","FDR"
"ENSG00000144355",6.17547268344717,6.19130337160237,4.23859345135095,2.02510902391163e-14,3.82907614241211e-10
"ENSG00000242110",3.25480941591283,3.25512491632475,6.27941817377252,9.97492251874793e-14,9.43029174922429e-10
"ENSG00000142405",2.87629937174167,2.8869951743212,0.727428281524492,2.57499873261252e-12,1.62293586787459e-08
"ENSG00000159263",3.26022680357097,3.26074497347545,5.87063920302858,3.93758625237475e-12,1.73990282759505e-08
"ENSG00000069482",3.26212423541047,3.27450346460235,1.19225334004742,4.60097003277727e-12,1.73990282759505e-08
"ENSG00000105707",2.66492744817692,2.66503498154833,7.20091218688203,1.80138089112172e-11,5.37328612803697e-08
"ENSG00000197757",3.52935925498748,3.53631073356578,2.70773625979513,1.98926395685735e-11,5.37328612803697e-08
"ENSG00000203635",3.49144615319928,3.50863311482706,1.03520094407548,4.60397740998222e-11,1.0881500608493e-07
"ENSG00000228613",3.3599430724737,3.37657633813201,0.858171851397544,5.85151944024468e-11,1.13490557368931e-07
"ENSG00000234753",2.13260567438786,2.14264330001653,-0.176071327275568,6.18622223540104e-11,1.13490557368931e-07
"ENSG00000231806",2.78141624917007,2.79190246334837,0.626721583396756,6.77965612794119e-11,1.13490557368931e-07
"ENSG00000119547",3.07944671904823,3.08634127400948,2.53171852251447,7.20270091192709e-11,1.13490557368931e-07
"ENSG00000095627",4.49965378591415,4.50796575627995,3.9020363014779,8.99014583003477e-11,1.3075821334946e-07
"ENSG00000166743",2.83321161363158,2.83382547778834,5.818720220507,1.18547466736448e-10,1.54349632906603e-07
"ENSG00000039139",2.81222910249463,2.81283987605745,5.19286191690566,1.22447878866038e-10,1.54349632906603e-07
"ENSG00000280623",4.05074735104818,4.05109223730453,7.7972172167895,1.91005302126514e-10,2.25720515788008e-07
"ENSG00000225937",5.3878812904021,5.38962160518478,7.66255034946193,2.54860999074663e-10,2.77303017604749e-07
"ENSG00000163110",2.28259380438677,2.28260243315513,10.2071011712894,2.63986371741352e-10,2.77303017604749e-07
"ENSG00000123485",2.46210082851079,2.46803308873345,1.52131623948752,3.69519734278201e-10,3.67730480828011e-07
"ENSG00000140459",-2.10805142802373,-2.11566918216145,0.4245662318399,4.77364029373978e-10,4.51299953370158e-07
"ENSG00000171208",2.1957147841922,2.19690390842679,2.88121629982717,5.17684296178437e-10,4.58527888364205e-07
"ENSG00000138028",2.41656833037405,2.41714658957582,4.42235990024505,5.33510341866539e-10,4.58527888364205e-07
"ENSG00000260228",3.07211317656854,3.07905192040922,2.10318001682853,5.97249798097659e-10,4.90991268801328e-07
"ENSG00000139144",-3.24036809218013,-3.25369367148976,2.39057408969178,6.98961135339394e-10,5.50664881124886e-07
"ENSG00000173267",-2.17726846892041,-2.17770431412828,4.5045219965109,9.9900468481632e-10,7.55567223220279e-07
"ENSG00000167332",3.61947040413947,3.61973197709389,8.73539662114734,1.89369338702716e-09,1.34169749950068e-06
"ENSG00000261211",2.3599537810376,2.3684753128308,0.423372003948596,1.9666920492515e-09,1.34169749950068e-06
"ENSG00000133067",-2.56360683767066,-2.56526907858732,3.37460480022409,1.98685900074144e-09,1.34169749950068e-06
"ENSG00000183317",2.08081399253977,2.081988948418,2.71043436210799,2.30127129563416e-09,1.50042888475348e-06
"ENSG00000084207",-2.12096859636954,-2.12101219894635,7.84132309667688,2.84205641068245e-09,1.79125342043946e-06
"ENSG00000187122",3.06057330917272,3.06285398870121,3.46733799063255,3.97627572571453e-09,2.42527165876808e-06
"ENSG00000138356",-2.03014296999109,-2.03028832845869,6.01971967573369,4.75442585339033e-09,2.80927137612201e-06
"ENSG00000244509",-1.86931822839757,-1.86942467580823,5.98473225135137,6.02269933550146e-09,3.45082421320187e-06
"ENSG00000255545",3.12741080287189,3.13089299058074,3.0669380083155,6.77494047982809e-09,3.76766395860557e-06
"ENSG00000125780",2.85630866073314,2.85971676374013,3.35688888147783,7.60890431806673e-09,4.11054750988588e-06
"ENSG00000234949",2.5278300393204,2.53465153108717,1.25576265515503,8.01629239419496e-09,4.21033490526218e-06
"ENSG00000175336",3.12670207703236,3.13192667742889,2.57744034557237,8.55536981080735e-09,4.37202519953366e-06
"ENSG00000103485",-2.16477557280423,-2.16554092515184,3.89949411327823,8.87994266465009e-09,4.38444760337236e-06
"ENSG00000187699",-2.15449553149816,-2.15536482664293,3.60253061410465,9.04344491916236e-09,4.38444760337236e-06
"ENSG00000109846",-1.88617019109047,-1.88624704576281,6.60139211990964,1.10840861055629e-08,5.23944750209957e-06
"ENSG00000136944",2.65611653008561,2.67006230071693,0.398214174522088,1.1479211341934e-08,5.29387629398263e-06
"ENSG00000159251",-2.8585941023989,-2.85906483422081,6.20200604761704,1.1983560797127e-08,5.39488494171615e-06
"ENSG00000172005",-2.28893192541994,-2.29300024510917,1.80380445900775,1.73442553268665e-08,7.62663208652073e-06
"ENSG00000007264",2.26280368274259,2.26458317750599,2.6582698858588,2.04095602737366e-08,8.77054467399573e-06
"ENSG00000225431",-2.5912120556839,-2.60705912847446,0.472924358964566,2.1147166789158e-08,8.88556954776442e-06
"ENSG00000211695",3.27129507469352,3.27374932721103,3.99141531911091,2.21777458209417e-08,9.01846736942479e-06
"ENSG00000233056",3.54610733536538,3.55368617381393,3.07146442244077,2.24173876857925e-08,9.01846736942479e-06
"ENSG00000157388",2.24962727476388,2.24991654077115,5.2422812314597,2.37403853582759e-08,9.21502300034419e-06
"ENSG00000181218",1.95745387836907,1.95776126998249,4.69125739250306,2.38831634023253e-08,9.21502300034419e-06
"ENSG00000141744",-3.36673144256463,-3.38920066290054,2.99201761824025,2.43680532059028e-08,9.21502300034419e-06
"ENSG00000130768",2.08049333984451,2.08089795970206,4.45708435160426,2.6853402844989e-08,9.82916525740216e-06
"ENSG00000099957",-2.12742816824871,-2.13697740155878,0.106324648128504,2.70317639827011e-08,9.82916525740216e-06
"ENSG00000253438",2.70571276290446,2.71198187163141,1.48457463226038,2.96343963943589e-08,1.05722106985762e-05
"ENSG00000123500",3.26405203996484,3.27657825427305,2.33336969898511,3.34989261459688e-08,1.17295869549626e-05
"ENSG00000213424",-2.45948904720349,-2.47329633435818,0.0400643220540411,3.85778929814478e-08,1.32623781907857e-05
"ENSG00000197168",1.92690222202246,1.92805183518301,2.72559401821847,4.07350560549883e-08,1.37536474307494e-05
"ENSG00000180723",2.73125511399404,2.74907674534682,0.034717803528051,4.22052233595992e-08,1.37536474307494e-05
"ENSG00000114790",1.67032769510757,1.67040042686325,6.13905209486466,4.34869590033574e-08,1.37536474307494e-05
"ENSG00000254399",2.98549593335825,2.99379580855785,1.73047225871918,4.3513768073554e-08,1.37536474307494e-05
"ENSG00000221818",2.41408713462628,2.41906944499841,1.7176690899957,4.3643899187908e-08,1.37536474307494e-05
"ENSG00000251381",-2.51166037472524,-2.52606296042865,0.52156847758152,4.57294903177156e-08,1.40392025757788e-05
"ENSG00000248485",-2.19081264050782,-2.19235098011602,3.00026580844947,4.60350412364231e-08,1.40392025757788e-05
"ENSG00000281398",2.10381744234403,2.10724683340003,1.37841769548625,4.77307418128381e-08,1.43252835904309e-05
"ENSG00000152137",-1.87345569998321,-1.87350134435525,7.40910708565794,5.01950419468283e-08,1.48294977051661e-05
"ENSG00000140479",1.97561721482439,1.97621676018071,3.80572350019199,5.28564252842431e-08,1.52605174436438e-05
"ENSG00000176928",-1.93044890602272,-1.93188638123257,2.49661889273722,5.32681484705147e-08,1.52605174436438e-05
"ENSG00000246022",-2.00064467480222,-2.01287847076833,-0.513229772157794,6.6479715338443e-08,1.8761171009243e-05
"ENSG00000165863",-2.49651678163744,-2.51312326276138,0.0249093399432628,7.12358336387627e-08,1.98077520947313e-05
"ENSG00000176153",-2.64603853899781,-2.64787454122677,3.65929454170492,7.50404541568362e-08,2.05632595246008e-05
"ENSG00000168269",-3.11441276885833,-3.13010792033288,1.968666827174,7.80478987465125e-08,2.10818524214151e-05
"ENSG00000135052",2.17482740827648,2.17484221517976,9.9625922240568,8.14085035751949e-08,2.16798871211237e-05
"ENSG00000181585",-1.82942392981598,-1.84149964979731,-0.850066394415429,9.33448498985779e-08,2.44870942850716e-05
"ENSG00000198353",2.69613059259283,2.70462332252236,1.43193968698981,9.45397653273865e-08,2.44870942850716e-05
"ENSG00000189334",-2.45162864268934,-2.4529085139732,3.69894249751427,1.05659150617739e-07,2.69973408091919e-05
"ENSG00000118298",-2.19054112674676,-2.19232947262337,2.84205044357122,1.09028229350093e-07,2.74867434740207e-05
"ENSG00000172201",-1.89114174940815,-1.89130940245009,5.36657105117127,1.12625747536911e-07,2.80201004529988e-05
"ENSG00000228594",1.98108400062639,1.98250718242917,2.57112130070537,1.1577506171402e-07,2.84295437258272e-05
"ENSG00000226825",2.419747750183,2.43910105877997,-0.699681320219702,1.19225847538432e-07,2.89015682725214e-05
"ENSG00000181195",-2.49718095684599,-2.49985601099241,3.29430383868133,1.23681414868708e-07,2.96021290169307e-05
"ENSG00000269086",2.13392775309578,2.13837037733866,1.17874624895302,1.32785770885396e-07,3.13839169487634e-05
"ENSG00000108602",-2.06522809627897,-2.06959345450382,1.21706139649889,1.39679869929158e-07,3.26057651928458e-05
"ENSG00000142973",-2.26161180906342,-2.26201897639059,4.87219449711328,1.44657344713136e-07,3.33558667540973e-05
"ENSG00000204128",2.5518188762707,2.55218019864895,5.5616106357615,2.1422278179959e-07,4.88014982923693e-05
"ENSG00000256751",-2.01383639291593,-2.02495223660978,-0.298376395598269,2.26975936220603e-07,5.0852397078673e-05
"ENSG00000260896",3.30034031183326,3.3034631011629,4.86035228653876,2.2860449289651e-07,5.0852397078673e-05
"ENSG00000157551",-2.53600132126086,-2.53847171296525,3.51395791178291,2.36404741641361e-07,5.19760564529634e-05
"ENSG00000242899",2.87024016932107,2.87115901655198,5.49712228604111,2.43043978191282e-07,5.28215579269054e-05
"ENSG00000101057",2.12135153487097,2.12495005279446,2.26269949174214,2.60486373563333e-07,5.59690494469942e-05
"ENSG00000150281",-1.61262823622148,-1.61309869131833,3.44237595891407,2.76412630379991e-07,5.87237080362346e-05
"ENSG00000110195",-2.3233809785494,-2.33042113852048,1.45801959055694,2.88453761346128e-07,6.02695181255903e-05
"ENSG00000108381",-2.07887030980403,-2.08059083588791,2.50519846844922,2.90063790428851e-07,6.02695181255903e-05
"ENSG00000261829",2.2407549437831,2.25733862078362,-0.477460752546003,3.10411390127681e-07,6.37962887449368e-05
"ENSG00000224958",-2.12167623384376,-2.12272799683746,3.57632852399368,3.2990417270659e-07,6.70734204036151e-05
"ENSG00000147234",2.19492536105313,2.1964471405964,2.74918040161675,3.34977373370542e-07,6.73803422945768e-05
"ENSG00000266256",-1.92680248108908,-1.93533935125833,-0.0201732048769424,3.45163150428584e-07,6.86983668242491e-05
"ENSG00000165480",1.86388494224301,1.86911512845894,0.633999832312195,3.55595542837852e-07,7.00375054581053e-05
"ENSG00000148773",2.14962473694829,2.15048283651549,3.89070880905003,3.76660398756069e-07,7.34215960791727e-05
"ENSG00000165443",-1.87924257685967,-1.88097381430177,2.18845640609012,3.95631507650361e-07,7.63326586393166e-05
"ENSG00000213366",-1.71550222913463,-1.71582195451722,4.38861921614008,4.10944171716293e-07,7.84861858465824e-05
"ENSG00000134184",-2.06574228799565,-2.0716485914786,5.5187604592512,4.27102678411385e-07,8.07565744340247e-05
"ENSG00000154102",-1.80939537692825,-1.8113704200048,1.77047158574947,4.40406055115203e-07,8.17946986690358e-05
"ENSG00000165794",-3.51410561210435,-3.53077445716606,3.73382889182086,4.41244936759131e-07,8.17946986690358e-05
"ENSG00000263812",-1.76624464290433,-1.76918358335707,1.21935891531302,4.65099206471452e-07,8.53795708345845e-05
"ENSG00000101977",-2.64002977212378,-2.65020522756833,3.04923022279239,4.98267779758229e-07,9.00056371186808e-05
"ENSG00000245750",2.41058258018947,2.41164647824081,4.20947641939208,4.99819753409218e-07,9.00056371186808e-05
"ENSG00000109956",2.48479350080626,2.4853479971086,4.98234338186733,5.07584820861203e-07,9.05416395551285e-05
"ENSG00000100884",-2.27866838539347,-2.28123057852286,2.77492358818589,5.52164799975712e-07,9.75731966162689e-05
"ENSG00000164764",-2.34513311540994,-2.34571880206416,4.487883280337,5.753096734882e-07,0.000100721808391804
"ENSG00000185973",-1.54735233313941,-1.54839177702316,2.30503536811035,5.82665048357314e-07,0.000101073676461836
"ENSG00000154678",-2.29686964662057,-2.30016769093889,1.97888027414281,6.22765393612843e-07,0.000107047709658469
"ENSG00000261116",-2.09245764090858,-2.09657473805857,1.49237097391972,6.5773898548508e-07,0.000112040799437404
"ENSG00000171243",-2.06365813408026,-2.06759957619005,1.64580017256438,6.73275796398932e-07,0.000113663381770634
"ENSG00000180871",-2.0132331284305,-2.02019985214394,1.08595451247588,6.88998382685072e-07,0.000115288331148755
"ENSG00000211688",2.36471747564185,2.38170370729757,-0.499314431734805,7.02760563432323e-07,0.000115748622058969
"ENSG00000279184",2.21162439869687,2.21755126475709,1.08872240844905,7.03992571228126e-07,0.000115748622058969
"ENSG00000228962",-1.68750246247471,-1.69526959850497,-0.48111681902084,7.50502570699162e-07,0.000121310167980177
"ENSG00000072571",1.91972084643284,1.92286650632408,1.63750366092632,7.50649971106445e-07,0.000121310167980177
"ENSG00000115705",2.68952486457365,2.69897357517927,1.43703042411946,7.67444998190675e-07,0.000122973305303299
"ENSG00000154188",-1.82031229912581,-1.82053997563137,4.95207218031941,7.88789909387463e-07,0.00012459530865646
"ENSG00000183248",1.90013359878943,1.9004572794739,4.58745549584765,7.90746617240065e-07,0.00012459530865646
"ENSG00000090889",2.02650715567124,2.03036686672384,1.60426804362223,8.28107161997076e-07,0.000129403720818518
"ENSG00000114115",-1.81064690899038,-1.81102043225722,4.20478973552512,8.41180489130607e-07,0.00013036918597116
"ENSG00000174611",-2.07303703379083,-2.07933878750026,0.983659040955639,8.48175037714397e-07,0.000130384500919543
"ENSG00000158402",1.8924149760318,1.90301773078316,-0.293578841610918,8.80521310392074e-07,0.000134265297878172
"ENSG00000211689",2.69499059766118,2.69507278613018,8.21992958387918,9.12961409497504e-07,0.00013809819464623
"ENSG00000126787",1.98566179459681,1.99238724350688,0.880509387845172,9.34714488076062e-07,0.000139328169541807
"ENSG00000214514",-2.04044288524348,-2.05288477726913,-0.428866335710632,9.35830205828723e-07,0.000139328169541807
"ENSG00000168004",-1.87502844135785,-1.87877128766783,1.15724564563044,9.52131262609398e-07,0.000140647639948582
"ENSG00000140254",-2.2093155628349,-2.21039633683957,3.58070776305713,9.75834302764262e-07,0.000143031589121447
"ENSG00000109205",-2.19246353446793,-2.20528704047703,0.169494038794152,1.06705672800003e-06,0.000155199297023267
"ENSG00000125257",2.22744405512773,2.22746628839412,9.13289214451968,1.09486006037749e-06,0.000158027587951279
