"","logFC","logCPM","LR","PValue","FDR"
"ENSG00000101236",1.29097571845916,5.43053035692583,319.386423817901,1.97038826143534e-71,3.73447687189839e-67
"ENSG00000169302",2.79719338872949,5.18350338529297,301.749772448239,1.36948891397499e-67,1.2977961693284e-63
"ENSG00000134569",4.13716565899044,6.97216649970331,299.720265547812,3.79067174990452e-67,2.39482005586468e-63
"ENSG00000117308",3.09107328437729,5.43421323033164,296.795154787604,1.64441531752055e-66,7.79165087824175e-63
"ENSG00000117298",1.53671074501148,8.60724482878777,294.147189738143,6.20787430044246e-66,2.35315683232572e-62
"ENSG00000145864",7.02540669233292,5.6640889688564,293.614747927758,8.10871377018484e-66,2.56140753477189e-62
"ENSG00000159842",1.49554970614292,6.26662630671289,286.364831829033,3.08065825174553e-64,8.341102263619e-61
"ENSG00000163898",6.40679880652717,5.15464446919184,285.635923662273,4.44092607532506e-64,1.05211089882045e-60
"ENSG00000162873",5.28486824205055,4.8414928291442,282.87187350186,1.77736382966359e-63,3.74293074040156e-60
"ENSG00000163235",2.42924994659829,5.81641616775821,280.177603904067,6.8689952166692e-63,1.30188066341531e-59
"ENSG00000072682",1.85514513674795,5.72930885245692,279.967796528788,7.63156897938575e-63,1.31491933514817e-59
"ENSG00000141858",1.32332389329587,5.05833243452193,277.661119262085,2.4282102116091e-62,3.83515567838561e-59
"ENSG00000187583",3.76434044226393,2.25138335632012,274.742732402149,1.05022908824617e-61,1.53115322380997e-58
"ENSG00000197467",3.23097385571128,3.16072708335801,274.144427853953,1.41799347068959e-61,1.91965930356999e-58
"ENSG00000162981",2.83707816391835,4.43881446737615,273.630199742689,1.83544857148335e-61,2.31915045168827e-58
"ENSG00000168528",1.93475820736627,6.7649950747727,271.458278645091,5.45867063400376e-61,6.46613653289208e-58
"ENSG00000109586",2.07475699222147,5.90617228498071,271.091995604759,6.56017337870414e-61,7.31382153215174e-58
"ENSG00000174567",3.90410355943204,2.67546617229011,267.997630695377,3.09972257906129e-60,3.26383566894159e-57
"ENSG00000183379",4.01955717036684,1.06695996554297,267.352763651991,4.28423442675311e-60,4.27363658369745e-57
"ENSG00000110092",1.8257264936356,8.42449672304992,265.18397051613,1.27226135117203e-59,1.20565846943817e-56
"ENSG00000113946",5.12449370865427,5.82242422083949,264.076454616652,2.21805549663756e-59,2.00184789656055e-56
"ENSG00000105327",2.31969627928533,3.42881820070219,263.584316159234,2.83949403134156e-59,2.44622410800076e-56
"ENSG00000174460",6.85795029361993,8.43923906977685,262.152351963002,5.82588763959236e-59,4.8007847144867e-56
"ENSG00000277363",3.42232692079347,3.69311286919912,261.978066168855,6.3584478733897e-59,5.02131927268146e-56
"ENSG00000100784",-1.71896870516171,3.51383916515096,261.529788756519,7.96273778195439e-59,6.03671076725526e-56
"ENSG00000170439",4.14867361374251,5.16120715612782,260.390383112243,1.41065946325161e-58,9.93183862581796e-56
"ENSG00000142733",1.45298265498811,5.09795355436765,260.384450000622,1.41486647442138e-58,9.93183862581796e-56
"ENSG00000176532",5.93553934285979,5.80475392621032,260.0797837111,1.64863762729347e-58,1.1159510339319e-55
"ENSG00000091129",2.33648764588906,5.31712988609873,259.231562388761,2.52358609022723e-58,1.64929404027851e-55
"ENSG00000135723",1.61669025329632,5.65415830301704,256.607905165609,9.41738160582303e-58,5.9495877858388e-55
"ENSG00000130513",4.5329534274285,6.22587693003466,254.683229663943,2.47451698100901e-57,1.51288775293754e-54
"ENSG00000169762",-0.74888670849347,5.2274094841286,254.297194700015,3.00361120799715e-57,1.77898260078656e-54
"ENSG00000149948",6.15492697531504,4.89137920519892,253.522513279377,4.43119691230977e-57,2.54498409330325e-54
"ENSG00000197635",4.64617804470658,6.48388090303932,252.431136929076,7.66372571492435e-57,4.27207627867533e-54
"ENSG00000198774",-3.1478551476865,2.96175351139901,252.30322722841,8.1719254292832e-57,4.4252143617487e-54
"ENSG00000172667",1.75425717738725,5.99395594623036,252.065792220111,9.20631029879944e-57,4.84686664147627e-54
"ENSG00000168487",1.51237272264988,5.98674321978933,248.51756388244,5.46547475307696e-56,2.79965251338021e-53
"ENSG00000161714",3.17371755238251,6.25152248361955,248.424377728294,5.72721919019407e-56,2.85652592925653e-53
"ENSG00000158352",2.63466336471021,5.43382020190385,247.573654705515,8.77839186317988e-56,4.26607335853457e-53
"ENSG00000198682",-2.76418927096926,5.0948141951054,247.499293516965,9.11227894653553e-56,4.3176255718422e-53
"ENSG00000143171",5.85566529443361,5.55397613677058,247.181568654278,1.06880090245669e-55,4.94072768396625e-53
"ENSG00000175832",3.94260282118994,4.95931231508137,246.41677542421,1.56905119065321e-55,7.08053028963103e-53
"ENSG00000147408",-2.14152374030411,7.11473671890208,244.728326718948,3.66235286659787e-55,1.61424590420069e-52
"ENSG00000152990",-1.52384643097062,6.01989071323332,244.485579140552,4.13700382678464e-55,1.78201439838748e-52
"ENSG00000101412",2.31117527939574,2.71470628610382,240.306114457815,3.37255533412537e-54,1.42044536105951e-51
"ENSG00000006625",2.13708502345304,5.68569128716616,240.093230766372,3.75298711146621e-54,1.53875810426893e-51
"ENSG00000253250",-2.70586087519264,1.30750222899251,240.060149534677,3.81584081151478e-54,1.53875810426893e-51
"ENSG00000250343",3.08006016523346,0.398610759993929,239.038076106198,6.37455083366135e-54,2.51701795729966e-51
"ENSG00000260992",1.93879508286842,3.02949403730947,238.740551994115,7.40157861174616e-54,2.86290039649847e-51
"ENSG00000255277",2.47790458204637,0.0106973091221146,237.82769684682,1.17050527266061e-53,4.4369172865473e-51
"ENSG00000134574",1.45205876213839,4.51358932329137,237.770243172474,1.20476214507966e-53,4.47722685013623e-51
"ENSG00000131015",2.40426518280003,1.05255703178068,236.284135805208,2.54071319899241e-53,9.26041101163521e-51
"ENSG00000149573",2.3228727336555,7.39017945834446,232.705129167138,1.53254656969983e-52,5.48044436519263e-50
"ENSG00000132535",1.57945594569285,4.64271304662164,231.255427260084,3.1736425168721e-52,1.11388975226439e-49
"ENSG00000151491",1.76206280189726,6.32361919301474,230.384641544766,4.91426958430709e-52,1.69345729875222e-49
"ENSG00000153246",-3.57410089181114,6.78370031897197,230.068728908579,5.75909132949277e-52,1.94914389228351e-49
"ENSG00000004399",1.49026458597111,6.90343335175002,227.790736933285,1.80782308132616e-51,6.01117032638152e-49
"ENSG00000144749",-1.54909929590414,6.04725894486369,227.557117954926,2.03285566929289e-51,6.6428816379497e-49
"ENSG00000087088",1.33128095476264,5.66392837363443,227.211795407021,2.41779413971585e-51,7.76685632712451e-49
"ENSG00000146267",3.06176006285123,3.30048916131524,226.967130856874,2.73388025897144e-51,8.63587209138096e-49
"ENSG00000183248",3.16680300963254,3.7986699261792,225.484314492472,5.75678451250754e-51,1.78866126009107e-48
"ENSG00000147257",-4.49301325721569,3.31659106455871,224.928128380341,7.61177384012461e-51,2.32687015470777e-48
"ENSG00000160180",-6.23639525841434,8.88989368155142,224.743830063532,8.34991767708766e-51,2.51199983704512e-48
"ENSG00000119655",2.45617392958147,10.2938394028172,223.144831630712,1.86396269716181e-50,5.51995078114185e-48
"ENSG00000167513",2.02203745310602,2.84001251117354,222.165421050115,3.048318296308e-50,8.88842717998853e-48
"ENSG00000150672",-3.49653082856523,4.88213219716589,221.792242284552,3.67668895918138e-50,1.05582251277825e-47
"ENSG00000182489",3.83327394764732,2.89999765500372,221.208369189287,4.92958847893346e-50,1.39448493195859e-47
"ENSG00000259803",7.47570532393803,4.87542791865817,221.146755005962,5.08452014434687e-50,1.41716044552656e-47
"ENSG00000187642",3.5742079364102,1.32530928267127,220.312340751421,7.73133201253339e-50,2.12365124106587e-47
"ENSG00000145757",1.79134405565083,-0.301039999712106,220.155953434463,8.36307947840676e-50,2.26436350506062e-47
"ENSG00000062038",4.05690701711392,6.04403118501904,220.057984794584,8.78487601204842e-50,2.31299005721871e-47
"ENSG00000088970",-0.941731271725083,4.90298471728976,220.057559977269,8.78675059989168e-50,2.31299005721871e-47
"ENSG00000143324",1.46789156681773,6.4254301269327,219.886093199509,9.57700242387496e-50,2.4864784512288e-47
"ENSG00000105976",2.45412985981556,8.1682861651435,219.039942027533,1.46486887649519e-49,3.75184592110992e-47
"ENSG00000161013",1.20518979154477,7.06244559947819,218.142646935922,2.2989382110884e-49,5.80957012196778e-47
"ENSG00000139880",1.32675951497797,3.03523035597132,217.557414161104,3.08451644333036e-49,7.69221580926846e-47
"ENSG00000260912",1.80429730471492,2.89592917046461,217.118040553844,3.84619142442078e-49,9.46712546325286e-47
"ENSG00000113361",2.83832971807261,4.80643807328651,215.899126825026,7.09457068627853e-49,1.72388972073124e-46
"ENSG00000009694",4.33930493070652,5.54063934572917,215.238581836426,9.88600871831606e-49,2.3717661169398e-46
"ENSG00000174307",2.04489026162746,5.74385701341667,214.998223428147,1.11546147261274e-48,2.64266766130365e-46
"ENSG00000135824",-5.46873714752245,4.00586708128868,214.9003704811,1.17165844327546e-48,2.74153610807404e-46
"ENSG00000183775",-4.11808202199289,2.15935261264653,213.597617095871,2.2542322701068e-48,5.21030051406514e-46
"ENSG00000184489",2.03938918754033,5.06376120758653,213.572927694234,2.2823632690317e-48,5.21176277565756e-46
"ENSG00000026652",-1.98247248866121,3.24608336234277,213.208525438374,2.74082391079214e-48,6.18414709300518e-46
"ENSG00000123700",3.30202645953815,4.15517391965139,212.512328181808,3.88832130471737e-48,8.67004161038922e-46
"ENSG00000074706",-3.95228619592846,6.32775139447042,212.078955554884,4.83400406022772e-48,1.06533580178484e-45
"ENSG00000184908",-2.70717847059734,4.1129847142749,211.965045442463,5.11867865359379e-48,1.11510708645475e-45
"ENSG00000173898",3.35758465150324,3.47004494160663,211.577087259724,6.22008115107768e-48,1.33964997791335e-45
"ENSG00000106683",1.14883498408573,5.85060575565549,210.804441786932,9.1698233716966e-48,1.95276025127827e-45
"ENSG00000115525",1.43818453885306,7.34206029521234,209.343849686749,1.90994230088146e-47,4.02212626984514e-45
"ENSG00000147883",2.7324427579144,2.75469968622615,209.193518173816,2.05977060258432e-47,4.28998156382204e-45
"ENSG00000189056",-5.01435253008368,3.00413181198175,209.151811492676,2.1033824141226e-47,4.33319640161583e-45
"ENSG00000196218",2.79853838178282,4.38684192130964,208.800528468675,2.50934274056843e-47,5.07436406193439e-45
"ENSG00000105650",3.79300191725939,3.87075406194093,208.79470050849,2.51670037367083e-47,5.07436406193439e-45
"ENSG00000153823",-3.11052286389972,2.49364079986143,208.457947421036,2.98060030962709e-47,5.94645449140655e-45
"ENSG00000072133",-1.70153045198785,4.54872343152271,207.862397299187,4.02014058003582e-47,7.93684629306446e-45
"ENSG00000244694",3.49987559630185,3.65296508278587,207.708445726633,4.34340947775453e-47,8.48666390019397e-45
"ENSG00000115828",3.16383795715411,5.4008478564047,207.556127430299,4.68882552062748e-47,9.02366547425512e-45
"ENSG00000198626",-4.29916105177773,4.78328477737842,207.545695178527,4.7134642639754e-47,9.02366547425512e-45
"ENSG00000154928",-2.63144047960047,4.32456268658197,207.284911342031,5.37327611233398e-47,1.01839702157066e-44
"ENSG00000166589",-5.62689776802674,6.06432226237145,207.029902379692,6.10771039629638e-47,1.14613302119807e-44
"ENSG00000141391",1.9711461499784,1.90391151804856,206.872321326503,6.61089883703255e-47,1.22839574174782e-44
"ENSG00000132205",1.7466980829668,5.16266554045814,206.417003213765,8.31008604058192e-47,1.52913651191407e-44
"ENSG00000106541",3.69000226934292,5.15082778169988,206.050036935505,9.99249551126445e-47,1.82103622524034e-44
"ENSG00000184574",3.46971313697271,5.10088699254546,205.918500409686,1.06751529369272e-46,1.92691593917696e-44
"ENSG00000150510",-2.19378717454129,2.50765784120269,205.159654089176,1.5629661667184e-46,2.79461299602017e-44
"ENSG00000204381",-2.01209878587507,4.32834466981631,204.958202831344,1.72943983115167e-46,3.06337131960913e-44
"ENSG00000105223",1.16497965981702,8.35307420874802,204.55888472593,2.11366288597781e-46,3.70928265536459e-44
"ENSG00000105717",-2.28260057972938,3.77270660376483,203.586415680077,3.44532000539867e-46,5.99074771213954e-44
"ENSG00000196616",-5.67074038102384,3.95673937712058,203.485181713902,3.6250934804122e-46,6.24603606675022e-44
"ENSG00000138185",2.39652888988657,7.32996339726964,203.388563797396,3.80541182829556e-46,6.49765498934106e-44
"ENSG00000173715",1.64048076054323,3.55870389648904,203.255191477608,4.06915439433812e-46,6.88595386034735e-44
"ENSG00000188910",4.89818258668256,3.27436604592807,202.654591935151,5.50248819143792e-46,9.22908484002858e-44
"ENSG00000136895",-1.31298256954279,3.25441263335649,202.321541379731,6.50479848141548e-46,1.08145127735322e-43
"ENSG00000129925",0.928467764869041,6.23924413566193,201.208206587549,1.13809377812927e-45,1.87567751103339e-43
"ENSG00000197557",-1.32412730691099,4.07018815628429,201.01606978691,1.2534455358403e-45,2.04797872765355e-43
