"","logFC","unshrunk.logFC","logCPM","PValue","FDR"
"ENSG00000145864",7.02540669233292,7.03439662011826,5.6640889688564,4.63185889256246e-53,8.77876215907363e-49
"ENSG00000163898",6.40679880652717,6.41352882817497,5.15464446919184,5.22415507005508e-51,4.9506705521377e-47
"ENSG00000174460",6.85795029361993,6.85978546674323,8.43923906977685,8.15143834748977e-48,5.14980703333245e-44
"ENSG00000162873",5.28486824205055,5.28927864484257,4.8414928291442,1.26034663008388e-46,5.97183741999495e-43
"ENSG00000176532",5.93553934285979,5.93901952030964,5.80475392621032,5.20310093490988e-45,1.97228744038694e-41
"ENSG00000149948",6.15492697531504,6.16356149844746,4.89137920519892,7.91169583606122e-45,2.49917285301447e-41
"ENSG00000134569",4.13716565899044,4.13749074158443,6.97216649970331,1.1401913118998e-43,3.08714941920526e-40
"ENSG00000113946",5.12449370865427,5.12686884660642,5.82242422083949,2.57056157393023e-43,6.08998168883745e-40
"ENSG00000143171",5.85566529443361,5.85877247598022,5.55397613677058,3.54028415902981e-43,7.45544507401021e-40
"ENSG00000259803",7.47570532393803,7.50420005459801,4.87542791865817,1.89869013777884e-41,3.59858741813224e-38
"ENSG00000197635",4.64617804470658,4.64684951337198,6.48388090303932,7.78022281786554e-40,1.34053239151823e-36
"ENSG00000160180",-6.23639525841434,-6.23708801296793,8.88989368155142,1.2649475659897e-39,1.99787926818357e-36
"ENSG00000130513",4.5329534274285,4.53403709866092,6.22587693003466,3.36927289421096e-39,4.91214070492157e-36
"ENSG00000170439",4.14867361374251,4.1497520990059,5.16120715612782,2.31860737235212e-38,3.11679318687752e-35
"ENSG00000183379",4.01955717036684,4.04302257531484,1.06695996554297,2.46672810653526e-38,3.11679318687752e-35
"ENSG00000174567",3.90410355943204,3.90868833200236,2.67546617229011,6.66609675402337e-38,7.89640823618781e-35
"ENSG00000187583",3.76434044226393,3.7707611661653,2.25138335632012,7.69967666429912e-38,8.58423363638008e-35
"ENSG00000105641",-6.73025722283144,-6.75142174247719,5.26028206347567,2.05659969248409e-36,2.13409831846645e-33
"ENSG00000135824",-5.46873714752245,-5.48074100456504,4.00586708128868,2.13939049495397e-36,2.13409831846645e-33
"ENSG00000166589",-5.62689776802674,-5.6294725085755,6.06432226237145,1.69319301027198e-35,1.60455435618424e-32
"ENSG00000175832",3.94260282118994,3.9435701036631,4.95931231508137,1.96534127961834e-35,1.77376729869554e-32
"ENSG00000196616",-5.67074038102384,-5.68701110931748,3.95673937712058,5.9699332616863e-35,5.14309750494274e-32
"ENSG00000117308",3.09107328437729,3.09138844750104,5.43421323033164,6.52581609099671e-35,5.37755619011568e-32
"ENSG00000147257",-4.49301325721569,-4.49933292993169,3.31659106455871,1.09480095364335e-34,8.64573436433432e-32
"ENSG00000189056",-5.01435253008368,-5.02584244467075,3.00413181198175,3.4381643368052e-34,2.60654114701876e-31
"ENSG00000277363",3.42232692079347,3.42397830524989,3.69311286919912,8.54868473956292e-34,6.23166237957446e-31
"ENSG00000197467",3.23097385571128,3.23301544048245,3.16072708335801,1.09820386537043e-33,7.70898439272809e-31
"ENSG00000147041",5.72339793330849,5.73853244900741,3.78524610032644,1.21090951693293e-33,8.19656002658211e-31
"ENSG00000009694",4.33930493070652,4.34025892928579,5.54063934572917,4.06940318210952e-33,2.65956546588006e-30
"ENSG00000188910",4.89818258668256,4.90702989135884,3.27436604592807,9.78211113721482e-33,6.18001174612109e-30
"ENSG00000066248",5.29162466208636,5.29548225970527,4.62172713517213,1.72901096098808e-32,1.05709499172926e-29
"ENSG00000187122",5.61921875052494,5.62475612923476,5.26841827258284,1.80316399548989e-32,1.06798022520375e-29
"ENSG00000062038",4.05690701711392,4.05743412095593,6.04403118501904,2.48900845395175e-32,1.42952052205296e-29
"ENSG00000169302",2.79719338872949,2.79752272545601,5.18350338529297,3.37575547104883e-32,1.88178510125849e-29
"ENSG00000183775",-4.11808202199289,-4.12778544732488,2.15935261264653,1.37514574165557e-31,7.44661064045659e-29
"ENSG00000143217",4.64353211638131,4.64762688883806,4.11766469210943,1.52065915495759e-31,8.0058480455309e-29
"ENSG00000198626",-4.29916105177773,-4.30121148765882,4.78328477737842,1.79233159136165e-31,9.18109747326416e-29
"ENSG00000137077",-6.72840025961033,-6.7351264610737,7.22080415611287,2.1232596394819e-31,1.05900368281843e-28
"ENSG00000182489",3.83327394764732,3.83882562430754,2.89999765500372,2.97681974482507e-31,1.44665806727358e-28
"ENSG00000143196",-5.48491245772738,-5.48927278773471,5.62173139773281,5.17221742313933e-31,2.45072592051899e-28
"ENSG00000153246",-3.57410089181114,-3.57433801095424,6.78370031897197,6.26572604845975e-31,2.89644648284043e-28
"ENSG00000074706",-3.95228619592846,-3.95281531706017,6.32775139447042,1.63820336434752e-30,7.39258770582822e-28
"ENSG00000198774",-3.1478551476865,-3.14999728290485,2.96175351139901,1.74552659179033e-30,7.69371290562842e-28
"ENSG00000161714",3.17371755238251,3.17392437274798,6.25152248361955,2.6605851271705e-30,1.14604704352869e-27
"ENSG00000162981",2.83707816391835,2.83767184469693,4.43881446737615,6.96315691095739e-30,2.93272695407501e-27
"ENSG00000105650",3.79300191725939,3.79540960898259,3.87075406194093,8.65230778186208e-30,3.56493889977461e-27
"ENSG00000187642",3.5742079364102,3.58737354463808,1.32530928267127,1.14583702428716e-29,4.62064874921586e-27
"ENSG00000184156",4.1752122605428,4.17765999462765,4.17895176355941,1.58282359014586e-29,6.24984489667385e-27
"ENSG00000137868",5.06203853284907,5.07019016731646,4.02539792429061,1.91773573803326e-29,7.41772355978456e-27
"ENSG00000150672",-3.49653082856523,-3.49741013268991,4.88213219716589,2.28579226315691e-29,8.6645241527226e-27
"ENSG00000183682",-4.63850601001131,-4.64361191042297,4.28982030162753,3.83107926051847e-29,1.42373422009033e-26
"ENSG00000168702",-5.92128402920626,-5.93179240807184,4.59823426142493,4.42935696686478e-29,1.61441543448054e-26
"ENSG00000106541",3.69000226934292,3.69134366705709,5.15082778169988,8.86134430314352e-29,3.16885016183923e-26
