"","logFC","logCPM","F","PValue","FDR"
"ENSG00000101236",1.29097612598859,5.43052391483134,331.317235353259,3.51139795172872e-26,6.65480139811626e-22
"ENSG00000117298",1.53667936416131,8.60723887897531,294.60866715296,6.89167393066297e-25,5.93968864289704e-21
"ENSG00000169762",-0.748757888729208,5.22741311415112,289.087192387596,1.1074607248889e-24,5.93968864289704e-21
"ENSG00000159842",1.49553894909034,6.26662772301106,287.658390820628,1.2536278266984e-24,5.93968864289704e-21
"ENSG00000141858",1.3232673413247,5.05832450750262,284.268324749975,1.68580315208343e-24,6.38986826765703e-21
"ENSG00000169302",2.79555167729072,5.18349345602649,280.794399170402,2.29061585281039e-24,7.23529194041042e-21
"ENSG00000072682",1.85513145036649,5.72930874073302,273.584305107837,4.3721464440012e-24,1.18372742009587e-20
"ENSG00000117308",3.09063878782495,5.43420628500601,270.526099536736,5.77586253662085e-24,1.36830183492548e-20
"ENSG00000163235",2.42923317949327,5.81639983334261,264.684454710731,9.90260697615552e-24,2.08526897124555e-20
"ENSG00000168528",1.93469058627761,6.76498674349406,262.313999079246,1.23584834629913e-23,2.14632414372819e-20
"ENSG00000142733",1.45299802661771,5.0979512640968,262.228889017127,1.24575588755857e-23,2.14632414372819e-20
"ENSG00000109586",2.07482406466415,5.9061681599084,259.869411876548,1.55573784655022e-23,2.25370205934992e-20
"ENSG00000100784",-1.71956989472363,3.51384659495687,259.653905529392,1.5877652054591e-23,2.25370205934992e-20
"ENSG00000134569",4.13625528387415,6.97213875403558,259.15323946802,1.66482845245351e-23,2.25370205934992e-20
"ENSG00000110092",1.82569884539258,8.4244925132834,257.936623559117,1.86862404737576e-23,2.36094419639103e-20
"ENSG00000135723",1.61668097127218,5.65415877950667,254.516940157435,2.59137084133697e-23,3.06947876156364e-20
"ENSG00000162981",2.83698798299182,4.43882003314523,251.524044155719,3.46012384085896e-23,3.69868062136972e-20
"ENSG00000105327",2.31906988764584,3.42881087660483,251.368168317031,3.51288788437394e-23,3.69868062136972e-20
"ENSG00000145864",7.02313751017496,5.66407769789403,249.634309418225,4.15908234298839e-23,4.14857518759558e-20
"ENSG00000197467",3.23017075064717,3.16071064303099,248.594758207321,4.60429395594295e-23,4.27342242569653e-20
"ENSG00000183379",3.99315614416324,1.06689857391196,248.066594145347,4.84908095576716e-23,4.27342242569653e-20
"ENSG00000168487",1.5123512339186,5.98673908851878,247.834826784339,4.96070564401244e-23,4.27342242569653e-20
"ENSG00000172667",1.75426018700311,5.99395491326518,246.246811163886,5.80053520547485e-23,4.6869138064341e-20
"ENSG00000187583",3.75251141243639,2.25138486060357,246.014296025466,5.93530663541675e-23,4.6869138064341e-20
"ENSG00000091129",2.33584264811312,5.31712489485801,244.957245426936,6.59003375912283e-23,4.99577279211583e-20
"ENSG00000152990",-1.52386077169066,6.01989315419658,243.08753692889,7.93703495377971e-23,5.78548794015512e-20
"ENSG00000134574",1.45203737583245,4.51358822000986,239.053095472953,1.19031583948065e-22,8.35513547771751e-20
"ENSG00000163898",6.33621184264438,5.15464813943146,237.490142178477,1.39472319359028e-22,9.44028355890104e-20
"ENSG00000174567",3.89784696140504,2.67544675802478,236.751104909451,1.50369097329847e-22,9.82687976756988e-20
"ENSG00000162873",5.26381238391165,4.84146715955378,234.762119357268,1.8428626607277e-22,1.15071160429259e-19
"ENSG00000088970",-0.941893838867371,4.90298696899629,234.556182960293,1.88223194032662e-22,1.15071160429259e-19
"ENSG00000277363",3.4149755153671,3.69309972942511,234.235091530633,1.94535791715569e-22,1.15213822643546e-19
"ENSG00000147408",-2.14124808410703,7.11474028279268,232.473261457596,2.33286097031348e-22,1.3397691245267e-19
"ENSG00000260992",1.9384629408626,3.02948026229145,231.837707975052,2.49151872078158e-22,1.38880184694861e-19
"ENSG00000101412",2.31094491977762,2.71470486416795,229.707750591912,3.10947769407272e-22,1.68373775023046e-19
"ENSG00000087088",1.33127229498838,5.66392598791881,228.809067610051,3.41585766724826e-22,1.73080622186071e-19
"ENSG00000198774",-3.13992803940131,2.96176047366463,228.601277784063,3.49103639078145e-22,1.73080622186071e-19
"ENSG00000132535",1.57943961710179,4.6427048383494,228.489940414601,3.53201981876364e-22,1.73080622186071e-19
"ENSG00000158352",2.6344605094402,5.43382085838411,228.220560023295,3.63324847758132e-22,1.73080622186071e-19
"ENSG00000006625",2.13724798849889,5.68568314042544,228.168822421839,3.65303128294788e-22,1.73080622186071e-19
"ENSG00000255277",2.47761700981394,0.0106782166995675,227.320622105139,3.99371067159667e-22,1.84606840605122e-19
"ENSG00000004399",1.49024214789699,6.90343001248121,226.2937327784,4.45052735625233e-22,2.00824748704034e-19
"ENSG00000198682",-2.75964083144994,5.09482266760032,225.821264648895,4.67852538443135e-22,2.06203286245914e-19
"ENSG00000144749",-1.54906455282709,6.04726358614465,224.940718620449,5.13621588743949e-22,2.2123082613353e-19
"ENSG00000131015",2.40444847850626,1.05255661997242,224.552967048918,5.35220320658467e-22,2.25411011491539e-19
"ENSG00000149948",6.10717201032696,4.89136398062485,223.99148199293,5.68173185575577e-22,2.33012380334956e-19
"ENSG00000139880",1.32641023756863,3.03523061539524,223.832832444036,5.77858900155284e-22,2.33012380334956e-19
"ENSG00000253250",-2.70178543160271,1.30750792600725,223.20036889402,6.18199061248835e-22,2.39456519376798e-19
"ENSG00000113946",5.10868121324328,5.82243145201892,223.010602954571,6.30861998999355e-22,2.39456519376798e-19
"ENSG00000151491",1.76212160079834,6.32361430419609,222.997521601608,6.31744721867872e-22,2.39456519376798e-19
"ENSG00000170439",4.14281664890468,5.16118010325709,222.471342125659,6.68330064841607e-22,2.46208080286982e-19
"ENSG00000011485",0.627674248184106,5.92367632101002,222.371173564601,6.75539266300288e-22,2.46208080286982e-19
"ENSG00000161714",3.17302356690432,6.25151588116368,221.526323458378,7.39634502167366e-22,2.64482133680678e-19
"ENSG00000161013",1.20513572060955,7.06244357832928,221.106303545407,7.73806820031836e-22,2.71577534319321e-19
"ENSG00000250343",3.06722300833334,0.398607845099478,219.200623828265,9.50607522082216e-22,3.27562068336403e-19
"ENSG00000143324",1.46788645860086,6.42543041750316,218.181105760819,1.06185306960075e-21,3.59361417412026e-19
"ENSG00000149573",2.32276757573031,7.39017821841107,217.577963405249,1.13391828339464e-21,3.77017882577111e-19
"ENSG00000167513",2.0222438864101,2.84000863948505,215.351785469925,1.44670438971323e-21,4.72723130928364e-19
"ENSG00000122376",-0.757843493999849,4.862799804172,215.116742283414,1.48456843759598e-21,4.76873576768119e-19
"ENSG00000106683",1.14881322072112,5.85060010740692,214.899130080459,1.52053744518401e-21,4.80287094352122e-19
"ENSG00000176623",-0.732506639777502,5.84329389065958,212.866778555332,1.90326052404517e-21,5.91321204126296e-19
"ENSG00000260912",1.80412930284498,2.89592253387684,212.106449001046,2.07091526775992e-21,6.33032034751388e-19
"ENSG00000129925",0.928484351102336,6.23923916883437,211.670187459495,2.17393187974935e-21,6.53973920396978e-19
"ENSG00000130513",4.5230509791469,6.22588248000958,211.508168528526,2.21352600079858e-21,6.55480386986479e-19
"ENSG00000176532",5.92165620403903,5.80471971883298,210.978893463512,2.348142588078e-21,6.84646128142374e-19
"ENSG00000175832",3.9356875092375,4.95928890191757,210.681502261599,2.4274660590293e-21,6.87902239091267e-19
"ENSG00000123352",0.773517549845255,5.20808930422541,210.665160757354,2.43190428551683e-21,6.87902239091267e-19
"ENSG00000197635",4.64159204162857,6.4838805361621,208.704406556032,3.03028774567912e-21,8.44559019942804e-19
"ENSG00000115525",1.43816635036682,7.34204714649307,207.752612853631,3.37374813864427e-21,9.26656155414293e-19
"ENSG00000105223",1.164946254465,8.35306538715585,207.014769111905,3.66753849161634e-21,9.92959849901614e-19
"ENSG00000131724",0.790493591604236,6.8033034244649,206.818498885245,3.75005396945852e-21,1.00100032153772e-18
"ENSG00000146267",3.06131385803121,3.30048608589661,204.871583632258,4.68033894690283e-21,1.23196921835698e-18
"ENSG00000026652",-1.98231081223152,3.24608498920219,204.717311922248,4.76358174731611e-21,1.23670412705664e-18
"ENSG00000136895",-1.31411985535414,3.25441368602161,204.517304179283,4.87378582006672e-21,1.24821606570141e-18
"ENSG00000119655",2.45615048300131,10.2938206357048,203.937176386721,5.20858301061247e-21,1.30997131814584e-18
"ENSG00000174307",2.04446244898772,5.74384915027655,203.8628610281,5.25315640455276e-21,1.30997131814584e-18
"ENSG00000197557",-1.32446418834399,4.07019009979379,202.976927154281,5.81592415037579e-21,1.43147265581717e-18
"ENSG00000184489",2.03890210432246,5.06375634919078,202.831380097296,5.9141760189489e-21,1.43699312706563e-18
