"","logFC","unshrunk.logFC","logCPM","PValue","FDR"
"ENSG00000145864",7.02316153472178,7.03266232461342,5.6640889688564,1.70748884702091e-21,3.23620361175873e-17
"ENSG00000163898",6.33623556044327,6.34239500859953,5.15464446919184,7.86910485948872e-21,7.45715722009449e-17
"ENSG00000162873",5.26383466392489,5.26803647772913,4.8414928291442,4.03122636088075e-20,1.9644034131399e-16
"ENSG00000149948",6.1071968187498,6.11502423497511,4.89137920519892,4.3472264630956e-20,1.9644034131399e-16
"ENSG00000134569",4.13627112251767,4.13659506818535,6.97216649970331,5.18230204490027e-20,1.9644034131399e-16
"ENSG00000113946",5.1087073965026,5.11100531065293,5.82242422083949,1.43433064929316e-19,4.53081146600886e-16
"ENSG00000174460",6.84056185560551,6.84229720359669,8.43923906977685,2.24604475344573e-19,5.36290897215231e-16
"ENSG00000176532",5.92167366320587,5.92514585042113,5.80475392621032,2.26366653180069e-19,5.36290897215231e-16
"ENSG00000183379",3.9931769427091,4.0149801560865,1.06695996554297,3.04450485130198e-19,6.41138893852515e-16
"ENSG00000259803",7.21839185559923,7.23304827304724,4.87542791865817,6.77679406105418e-19,1.2844057783916e-15
"ENSG00000187583",3.75253427876056,3.75875398345511,2.25138335632012,7.89078598086628e-19,1.35958242450326e-15
"ENSG00000143171",5.82742805662701,5.83040946386069,5.55397613677058,8.92204419864451e-19,1.40916253080758e-15
"ENSG00000174567",3.89786940046866,3.90239393084456,2.67546617229011,9.73408506044625e-19,1.41915472423567e-15
"ENSG00000197635",4.64161173588208,4.64227597916903,6.48388090303932,1.29338443597343e-18,1.75096537250032e-15
"ENSG00000170439",4.14283732926894,4.14390177683884,5.16120715612782,1.48902773058548e-18,1.88143617185244e-15
"ENSG00000130513",4.52307141996616,4.52412825065386,6.22587693003466,1.67281444289744e-18,1.9815532585147e-15
"ENSG00000117308",3.09066070703282,3.09097543115498,5.43421323033164,3.2044925009509e-18,3.5726321394425e-15
"ENSG00000197467",3.23019400158079,3.23222415650491,3.16072708335801,8.29164299103104e-18,8.73063942272285e-15
"ENSG00000175832",3.93570932254998,3.93666287503828,4.95931231508137,9.11622049941762e-18,9.09366984870854e-15
"ENSG00000277363",3.41499466624596,3.4166151125242,3.69311286919912,1.06705946910592e-17,1.01119890589823e-14
"ENSG00000169302",2.79557330954674,2.79590115853671,5.18350338529297,1.3533203616506e-17,1.22140384830304e-14
"ENSG00000147041",5.7211002729461,5.73549380077216,3.78524610032644,1.98295589772058e-17,1.70831650588628e-14
"ENSG00000147257",-4.42688010966893,-4.43249123859284,3.31659106455871,2.20648829519501e-17,1.81824228951439e-14
"ENSG00000160180",-6.21815456458598,-6.21882466823562,8.88989368155142,2.31144413759389e-17,1.82536669749238e-14
"ENSG00000135824",-5.33534459645403,-5.34508181140155,4.00586708128868,3.25323662174566e-17,2.46634374767782e-14
"ENSG00000196616",-5.44942304040941,-5.45972135817821,3.95673937712058,5.5152645188172e-17,3.91449506026014e-14
"ENSG00000189056",-4.90265544678454,-4.91233641656937,3.00413181198175,5.5764980017424e-17,3.91449506026014e-14
"ENSG00000105641",-6.53330675756178,-6.54867022542023,5.26028206347567,7.01292870830596e-17,4.58357556794956e-14
"ENSG00000066248",5.27701230656629,5.28127416616677,4.62172713517213,7.0133325315537e-17,4.58357556794956e-14
"ENSG00000009694",4.33413920260168,4.33508263059651,5.54063934572917,7.31511190092986e-17,4.62144386194412e-14
"ENSG00000188910",4.85126237903609,4.85923158442084,3.27436604592807,8.13781615397729e-17,4.83570894766195e-14
"ENSG00000182489",3.833326088589,3.8387904499751,2.89999765500372,8.26543581598513e-17,4.83570894766195e-14
"ENSG00000198774",-3.13991073412108,-3.14201620707407,2.96175351139901,8.41969056470449e-17,4.83570894766195e-14
"ENSG00000162981",2.83701372216809,2.83760631020406,4.43881446737615,9.27695816078804e-17,5.17135847121811e-14
"ENSG00000062038",4.05278610672981,4.0533084317478,6.04403118501904,1.00887821361829e-16,5.36227424124095e-14
"ENSG00000166589",-5.55616854025162,-5.55846803159207,6.06432226237145,1.01852937627117e-16,5.36227424124095e-14
"ENSG00000183775",-4.07760572238147,-4.0866520290289,2.15935261264653,1.15797472109593e-16,5.93164726727871e-14
"ENSG00000161714",3.1730413445802,3.1732476305339,6.25152248361955,1.24148231914019e-16,6.19205641964841e-14
"ENSG00000153246",-3.57025234145664,-3.57048781449555,6.78370031897197,1.56295536558159e-16,7.59556231894046e-14
"ENSG00000187642",3.54882095408551,3.56098377703986,1.32530928267127,2.41694154422544e-16,1.14520732719262e-13
"ENSG00000198626",-4.25821183138449,-4.26004253332949,4.78328477737842,2.91224315061124e-16,1.3462376691106e-13
"ENSG00000143217",4.62107983246474,4.62493706846923,4.11766469210943,3.21071059574796e-16,1.44887137907645e-13
"ENSG00000250343",3.06724145648633,3.07960224170127,0.398610759993929,3.40898103329477e-16,1.50256784939618e-13
"ENSG00000105650",3.78417677346358,3.78653224448176,3.87075406194093,3.62182712970933e-16,1.5601020361223e-13
"ENSG00000074706",-3.94208867021493,-3.94260847700101,6.32775139447042,4.25316952912409e-16,1.79134049078864e-13
"ENSG00000150672",-3.48378593671032,-3.48464544333438,4.88213219716589,4.63063646025192e-16,1.9079228876338e-13
"ENSG00000187122",5.5734133625909,5.57852592406075,5.26841827258284,6.33162818170025e-16,2.55326274314393e-13
"ENSG00000143196",-5.3592390297342,-5.36261247889999,5.62173139773281,8.09433298149325e-16,3.19608110413003e-13
"ENSG00000183248",3.16435389232347,3.16561287174708,3.7986699261792,8.7337188505118e-16,3.37816680354592e-13
"ENSG00000184156",4.16254053276559,4.16492140833886,4.17895176355941,9.36855149310785e-16,3.55124312897746e-13
"ENSG00000106541",3.68767148935869,3.6889366629783,5.15082778169988,1.11771705500513e-15,4.11960922722379e-13
"ENSG00000146267",3.0613362842638,3.06282257337091,3.30048916131524,1.13026792494928e-15,4.11960922722379e-13
"ENSG00000244694",3.4902467519469,3.492197117229,3.65296508278587,1.39033116727647e-15,4.97187671950772e-13
"ENSG00000137868",5.00511077379948,5.0123712460244,4.02539792429061,1.44878795828022e-15,5.08497743949723e-13
"ENSG00000173898",3.35261133522137,3.3545508633367,3.47004494160663,1.50287935551393e-15,5.17892225910101e-13
"ENSG00000198682",-2.7596193265197,-2.75999824948027,5.0948141951054,1.54737505834444e-15,5.23703562157183e-13
"ENSG00000163235",2.42925281409084,2.42939974621529,5.81641616775821,1.62181658348201e-15,5.39268240469028e-13
"ENSG00000123700",3.30253712883672,3.30368837930671,4.15517391965139,1.74799500209064e-15,5.71202573700412e-13
"ENSG00000138722",-3.75468122024275,-3.75587046517597,4.68308934864054,1.89601085660064e-15,6.09069385850031e-13
"ENSG00000184574",3.46367603528518,3.46435033518122,5.10088699254546,2.03679317681577e-15,6.43389018003154e-13
"ENSG00000183682",-4.57517375410869,-4.5797348971583,4.28982030162753,2.40679900504066e-15,7.47804287582552e-13
"ENSG00000141639",-4.27697003209092,-4.27997069771564,4.20421140481557,2.57700265449682e-15,7.79721240603963e-13
"ENSG00000137142",-4.07379424421266,-4.0806938896078,2.74081155122987,2.59180278362527e-15,7.79721240603963e-13
"ENSG00000253250",-2.70176634767753,-2.7067233907098,1.30750222899251,3.47115749189827e-15,1.02795074912419e-12
"ENSG00000152580",-3.9718381601667,-3.98098679529507,2.12574541078835,3.62277378867111e-15,1.05634510179513e-12
"ENSG00000158352",2.63448085565761,2.63472603168457,5.43382020190385,3.71833355887483e-15,1.06778145365689e-12
"ENSG00000137077",-6.52932279344249,-6.5336901831471,7.22080415611287,3.81857597572751e-15,1.08020105176065e-12
"ENSG00000115112",-3.8427385800374,-3.84308625452836,7.00597433737436,4.73413995302323e-15,1.31950227249484e-12
"ENSG00000153823",-3.10053739554897,-3.10370691340524,2.49364079986143,6.00089805941159e-15,1.62550960169425e-12
"ENSG00000131771",4.74981914036922,4.7604987836058,2.99197008879958,6.00357052279836e-15,1.62550960169425e-12
"ENSG00000115828",3.16217816259742,3.16261554500061,5.4008478564047,6.46367699559401e-15,1.72543760700695e-12
"ENSG00000168702",-5.66581744198945,-5.67322357159119,4.59823426142493,6.70699903437509e-15,1.76552434303487e-12
"ENSG00000179913",5.76449634577371,5.77553638793418,4.7832030850283,8.09224982850936e-15,2.10099193150326e-12
"ENSG00000104044",-4.10875010712682,-4.11479287373304,3.20838355235059,1.15320006490371e-14,2.95359470677299e-12
"ENSG00000157404",-3.41754026235584,-3.41793393406015,6.19194712561272,1.34067118549197e-14,3.38796546381725e-12
"ENSG00000113361",2.83990369273069,2.84042808438644,4.80643807328651,1.45943379611956e-14,3.63955904445448e-12
"ENSG00000105327",2.31908841583622,2.3199085048812,3.42881820070219,1.69558941553585e-14,4.17357223281182e-12
"ENSG00000150625",-3.61614486675864,-3.61831705210401,3.98624266808329,1.81278602179308e-14,4.35826326304405e-12
"ENSG00000171236",3.44145649860472,3.44501797748736,2.88458809472048,1.81661371698665e-14,4.35826326304405e-12
"ENSG00000255277",2.47763758192738,2.48722252180362,0.0106973091221146,1.99016822600122e-14,4.71495729842515e-12
"ENSG00000091129",2.33586639961113,2.33607358515834,5.31712988609873,2.16133814115383e-14,5.05726441843068e-12
"ENSG00000173227",6.60587936519056,6.61905944410959,5.5012265343926,2.22876062467638e-14,5.15142684384043e-12
"ENSG00000154258",-3.15254919914861,-3.15625063963729,2.50493831932063,2.46043769556267e-14,5.53460643924901e-12
"ENSG00000184500",3.13248838836225,3.13259043426709,7.31711985779679,2.47113494248328e-14,5.53460643924901e-12
"ENSG00000125931",4.439848861832,4.44058247595927,6.70009888761333,2.4821481946719e-14,5.53460643924901e-12
"ENSG00000196878",4.09947508322732,4.100011771135,6.5908472648433,2.80678120061356e-14,6.18568884828241e-12
"ENSG00000169435",-3.13855404626098,-3.14082616030294,3.15701347587316,2.93243956154189e-14,6.38833643791994e-12
"ENSG00000105376",3.91935152097521,3.92293336775845,3.53468646201582,3.12559935845962e-14,6.73175961828241e-12
"ENSG00000204065",-4.05406745863378,-4.07327106966493,1.19793076533155,3.45472869561593e-14,7.35701943460773e-12
"ENSG00000196218",2.79876876690561,2.79934987853796,4.38684192130964,3.58936366115693e-14,7.55880105221192e-12
"ENSG00000188039",-3.89200938985921,-3.89995681724161,2.41099062961626,3.84183742045323e-14,8.00157633295056e-12
"ENSG00000137648",6.14704182365168,6.15449501405768,5.53109551232809,4.08692481436343e-14,8.41950934854675e-12
"ENSG00000151952",3.14567944879773,3.15554046815396,1.35022174794168,4.74390067532963e-14,9.66786553758306e-12
