"","logCPM","logFC","lfcSE","stat","pvalue","FDR"
"21S_rRNA",104.190873888809,-0.196246950850136,0.292898881208669,0,1,1
"ICR1",142.476381989191,0.231969251032191,0.0356380119816373,0,1,1
"LSR1",197.176364213423,-0.204337644474688,0.166042432256678,0,1,1
"NME1",26.2428842298837,0.0379280875227035,0.137586859828604,0,1,1
"RDN5-1",90.3525757502888,-0.035273542478981,0.242941992003442,0,1,1
"RDN5-6",44.8476961130484,0.0770883021078491,0.312955051130584,0,1,1
"RNA170",15.5643013419428,0.506685046258018,0.0941025496855505,0,1,1
"RPR1",55.892259402638,-1.28834176272029,0.153934986787058,-1.87313988027402,0.0610490715757274,1
"RUF20",125.921727980083,0.167474615199017,0.0923373844682218,0,1,1
"RUF21",38.6513372642844,0.267480918607603,0.251162094937229,0,1,1
"RUF5-1",317.142609847841,-0.200758028188924,0.0904819444644453,0,1,1
"RUF5-2",206.503024625145,-0.209148354120762,0.0935027178801934,0,1,1
"SCR1",479.45088978381,-0.260462218476449,0.299769692881543,0,1,1
"SRG1",195.395531434771,-1.22684357529937,0.0762334285683089,-2.97564440639202,0.00292373661508571,0.0603802020267184
"TLC1",1517.66643732676,0.196882692455054,0.040050544915918,0,1,1
"YAL001C",561.118824297053,0.36432996208263,0.0382540293741275,0,1,1
"YAL002W",486.385942306935,-0.135108274361896,0.0377349942156758,0,1,1
"YAL003W",8702.36200091194,-0.862159591948672,0.0435559052471878,0,1,1
"YAL005C",11914.0699998679,-0.739555361317383,0.0583480610420747,0,1,1
"YAL007C",1109.88546500266,0.250957938607752,0.0253106473645936,0,1,1
"YAL008W",456.715551416407,0.210555993087577,0.0464063797867995,0,1,1
"YAL009W",357.360283863525,0.239294172325887,0.0240014113323088,0,1,1
"YAL010C",340.886695677418,0.0917873916471375,0.0334783074740342,0,1,1
"YAL011W",434.775578817444,0.332563248113045,0.0304281478209873,0,1,1
"YAL012W",6059.11876010139,0.276373675342595,0.0506026076298648,0,1,1
"YAL013W",1311.61270698264,0.318380920966149,0.0446277572433472,0,1,1
"YAL014C",1199.60355014503,0.249053887795526,0.0489391334565459,0,1,1
"YAL015C",506.500415761887,0.493156571815408,0.0331053645075052,0,1,1
