"","logFC","logCPM","LR","PValue","FDR"
"YHR136C",-4.70192037394624,5.76305744060966,2478.14430826832,0,0
"YML123C",-4.65568937467178,9.17745903062282,9674.88402040681,0,0
"YHR215W",-4.44319607912343,7.25524985379875,8932.43942686895,0,0
"YAR071W",-4.25673116456695,7.61277822689907,7659.10275855642,0,0
"YER011W",-4.20714881824123,7.53949051866533,2943.3441030697,0,0
"YGR234W",-4.20426228398439,8.48600056701287,8354.56050457362,0,0
"YDR281C",-3.8503100095309,3.24860514836297,2615.31367203592,0,0
"YDR033W",-3.75745660079794,8.94649403052549,10882.0188437126,0,0
"YGR035C",-3.68363540711284,5.50158270220949,1947.31480745132,0,0
"YPL025C",3.68221970919618,3.95352704791461,4596.57550293232,0,0
"YDR077W",-3.43775823058482,11.5777959205539,2177.11337007693,0,0
"YER081W",3.16088329466971,9.10111094993148,6667.40436613486,0,0
"YBL044W",3.15085819792116,3.20067992289035,1561.13967001421,0,0
"YLR111W",3.14139499111391,3.04354642469345,2107.41303415994,0,0
"YML122C",3.1155002926349,2.99070422568423,2378.88132547337,0,0
"YDL039C",-3.07418114535427,7.52585750782247,1524.63105885725,0,0
"YJR150C",-3.07345119887185,2.86584641847109,1602.69041361753,0,0
"YFR015C",-3.05375049865399,9.33199461937623,2186.35344222158,0,0
"YIL169C",-2.9208949431699,7.73540250486297,2199.02182804991,0,0
"YBR067C",-2.88465979122182,8.92207620198847,2057.58260705859,0,0
"YIL121W",-2.83513129440952,6.69983457916332,14200.1743860281,0,0
"YGR087C",2.77056608129979,3.58306147618696,2044.19801990724,0,0
"YOR153W",-2.75308292964375,9.77997385407129,5700.69112701179,0,0
"YPR064W",2.7354911374681,3.3461476229166,2281.21040576577,0,0
"YBR092C",-2.73462950940735,7.24640852941699,1986.58748098871,0,0
"YBR244W",-2.62761019402733,5.18780046211244,1770.32530585638,0,0
"YOL104C",-2.59509534396358,2.29403967513122,1555.73129693959,0,0
"YDR261C-D",-2.57846207564097,7.54844943859136,5466.5837753392,0,0
"YCR025C",2.5405079624922,3.40374592487396,1992.72752807018,0,0
"YLL052C",-2.53261125890419,3.17492986555547,1794.44663480465,0,0
"YOL103W-B",-2.48724567575361,7.78580083802359,5308.60530879253,0,0
"YHR092C",-2.47571384409249,9.94932411471619,1618.7031338139,0,0
"YPL019C",-2.47051837121245,7.9408471665424,4164.21922507703,0,0
"YML039W",-2.46521591140132,7.59611357051702,5404.50308778962,0,0
"YPL257W-B",-2.46377679957861,7.35741387114602,5735.01666322441,0,0
"YER138C",-2.45407741132752,7.5581769258861,5538.52935722001,0,0
"YAR009C",-2.44820587443304,7.20638206870898,5028.17554671256,0,0
"YLR157C-B",-2.43406819490448,7.87324146991711,5070.97921850563,0,0
"YPR158C-D",-2.41792307815703,7.7924889868633,5269.56728648088,0,0
"YJR027W",-2.38326146032951,7.82923135703273,5556.70520540672,0,0
"YGR027W-B",-2.36815946473823,7.74492371989418,4419.48602754897,0,0
"YLR227W-B",-2.34901116293811,7.45144300189962,4876.20457712426,0,0
"YDR365W-B",-2.33894388565383,7.46178292114335,5715.88598858494,0,0
