"","logFC","unshrunk.logFC","logCPM","PValue","FDR"
"YHR136C",-4.70192037394624,-4.70676128638577,5.76305744060966,0,0
"YML123C",-4.65568937467178,-4.65613203445885,9.17745903062282,0,0
"YHR215W",-4.44319607912343,-4.44464369008412,7.25524985379875,0,0
"YAR071W",-4.25673116456695,-4.25772322393884,7.61277822689907,0,0
"YER011W",-4.20714881824123,-4.20815577832579,7.53949051866533,0,0
"YGR234W",-4.20426228398439,-4.20478442773595,8.48600056701287,0,0
"YDR033W",-3.75745660079794,-3.75773435038646,8.94649403052549,0,0
"YPL025C",3.68221970919618,3.69100615607027,3.95352704791461,0,0
"YER081W",3.16088329466971,3.16104746616009,9.10111094993148,0,0
"YIL121W",-2.83513129440952,-2.83581540555651,6.69983457916332,0,0
"YOR153W",-2.75308292964375,-2.75315931308512,9.77997385407129,0,0
"YDR261C-D",-2.57846207564097,-2.57877768428537,7.54844943859136,0,0
"YOL103W-B",-2.48724567575361,-2.48749615471979,7.78580083802359,0,0
"YPL019C",-2.47051837121245,-2.47074030156053,7.9408471665424,0,0
"YML039W",-2.46521591140132,-2.46549692350201,7.59611357051702,0,0
"YPL257W-B",-2.46377679957861,-2.46410780857737,7.35741387114602,0,0
"YER138C",-2.45407741132752,-2.45436352580049,7.5581769258861,0,0
"YAR009C",-2.44820587443304,-2.44856916958271,7.20638206870898,0,0
"YLR157C-B",-2.43406819490448,-2.43429485848258,7.87324146991711,0,0
"YPR158C-D",-2.41792307815703,-2.41815980336765,7.7924889868633,0,0
"YJR027W",-2.38326146032951,-2.38348644193431,7.82923135703273,0,0
"YGR027W-B",-2.36815946473823,-2.36839533177209,7.74492371989418,0,0
"YLR227W-B",-2.34901116293811,-2.34929608689199,7.45144300189962,0,0
"YDR365W-B",-2.33894388565383,-2.33922465913658,7.46178292114335,0,0
"YML045W",-2.32270676374659,-2.32295444354442,7.6249971082146,0,0
"YPR158W-B",-2.32002322139074,-2.32030367241334,7.4424781564955,0,0
"YJR029W",-2.29992263437356,-2.30015672963039,7.68165824527592,0,0
"YDR316W-B",-2.2770350183951,-2.27730671233345,7.44153529920783,0,0
"YPR137C-B",-2.27311230599022,-2.27339646190774,7.37294518573322,0,0
"YGR038C-B",-2.25516924201535,-2.25541185072955,7.58191409697463,0,0
"YDR281C",-3.8503100095309,-3.86555301191982,3.24860514836297,2.13622443056433e-308,4.12704777891927e-306
"YMR045C",-2.25601323423154,-2.25627152471651,7.4920516189932,2.47782144247208e-308,4.63739769342665e-306
"YMR050C",-2.29408007886946,-2.29429475350054,7.80035162970981,1.28796240406159e-307,2.33745661755299e-305
"YDR098C-B",-2.1313248346272,-2.13158359901028,7.35249227827235,2.05480114298113e-295,3.61947177803352e-293
"YHR214C-B",-2.18140714968938,-2.18164189316323,7.54827436903614,1.86872925127874e-284,3.19766271025953e-282
"YBL005W-B",-2.17734326692525,-2.17760238021667,7.40045083136306,1.467210505138e-272,2.44086769868653e-270
"YDR406W",-1.99601331979903,-1.99623240922677,7.43919186991283,3.30938452730179e-271,5.35673079297579e-269
"YNL284C-B",-2.13786338632083,-2.13803619256287,7.94201684578097,1.64592417211401e-264,2.55563064933805e-262
"YER160C",-2.21652637156,-2.21680375210744,7.34505501500585,1.66421097552486e-264,2.55563064933805e-262
"YOR142W-B",-2.14160173432441,-2.14188278452952,7.24424288402327,4.91012496310917e-264,7.35168460101521e-262
"YDR077W",-3.43775823058482,-3.43779403659571,11.5777959205539,4.5347952417715e-263,6.62411919584622e-261
"YGR161C-D",-2.0633217024866,-2.06354140628291,7.51208277825203,3.10732793497977e-258,4.43090166728425e-256
