"","logFC","logCPM","F","PValue","FDR"
"YIL121W",-2.8350889494063,6.69983457916332,13803.1476576509,2.46631230353585e-97,1.47707443858762e-93
"YDR033W",-3.75704299381192,8.94649403052549,11333.2356845677,1.19409850222995e-93,3.57572796492758e-90
"YML123C",-4.65564684782383,9.17745903062282,10166.8818657124,1.27249380279572e-91,2.54032179498118e-88
"YHR215W",-4.44282972607971,7.25524985379875,9013.61450817428,2.24041047274845e-89,3.35445458032261e-86
"YGR234W",-4.20408195516348,8.48600056701287,8835.11913918709,5.28634234401787e-89,6.3319808596646e-86
"YAR071W",-4.25666782552466,7.61277822689907,8062.52585438951,2.67865559755369e-87,2.67374472895818e-84
"YER081W",3.16072158116513,9.10111094993148,6946.35457776639,1.58616574487044e-84,1.35707809228987e-81
"YDR365W-B",-2.33842666335909,7.46178292114335,6079.68360819073,4.73783001391282e-82,3.54685799416549e-79
"YPL257W-B",-2.46364847061153,7.35741387114602,6056.47671103956,5.57890446444729e-82,3.71245098195276e-79
"YGR038C-B",-2.25466262494586,7.58191409697463,5937.80299751364,1.29930458303757e-81,7.39938395147475e-79
"YER138C",-2.45368639646044,7.5581769258861,5931.4427139143,1.36016823906908e-81,7.39938395147475e-79
"YOR153W",-2.7530475293877,9.77997385407129,5919.48685226786,1.48259488090995e-81,7.39938395147475e-79
"YJR027W",-2.38299990975195,7.82923135703273,5870.9297456714,2.10769920717865e-81,9.71000811676381e-79
"YDR261C-D",-2.57829608898017,7.54844943859136,5740.05035956717,5.51963583663178e-81,2.36122135897055e-78
"YJL012C",-1.41012826718864,8.16757379809189,5701.00603127834,7.38686620620248e-81,2.94932944726311e-78
"YML039W",-2.46485810637577,7.59611357051702,5666.34739570622,9.58324649811807e-81,3.58712895482682e-78
"YOL103W-B",-2.48691037642263,7.78580083802359,5577.15399798116,1.88630942001003e-80,6.64535712731768e-78
"YCL064C",-1.36509413185123,8.50238392697052,5566.60659961727,2.0450177081063e-80,6.80422836324924e-78
"YPR158C-D",-2.41786161077521,7.7924889868633,5521.52929386586,2.89321450173927e-80,9.11971665837709e-78
"YML045W",-2.32245212476741,7.6249971082146,5502.4151090691,3.35460387959628e-80,1.00453613174511e-77
"YPR137C-B",-2.27267112478692,7.37294518573322,5477.99881201422,4.05553053449759e-80,1.15659868433838e-77
"YLR157C-B",-2.4337398776579,7.87324146991711,5352.39633910126,1.09084198811827e-79,2.96956939401832e-77
"YAR009C",-2.44794418674013,7.20638206870898,5300.740173799,1.64959280256627e-79,4.29539621503017e-77
"YDR406W",-1.99653624605101,7.43919186991283,5215.39455075419,3.2956593496632e-79,8.22404326880539e-77
"YLR227W-B",-2.34869214208167,7.45144300189962,5184.81424116522,4.23464836035962e-79,1.01445236120775e-76
"YJR029W",-2.2996562534687,7.68165824527592,4989.04587975864,2.18345494505354e-78,5.02950448689449e-76
"YPR158W-B",-2.31983537979447,7.4424781564955,4890.27679386433,5.11713785972464e-78,1.1350569867367e-75
"YDR098C-B",-2.13088182149246,7.35249227827235,4860.75397439502,6.62238024374948e-78,1.41647983142199e-75
"YDR316W-B",-2.27684636172275,7.44153529920783,4804.86199916629,1.08359776422876e-77,2.23781621033312e-75
"YGR027W-B",-2.3678929470311,7.74492371989418,4621.74872490481,5.66269001979928e-77,1.13046168428593e-74
"YMR045C",-2.25573246399894,7.4920516189932,4574.20305763302,8.79149920801585e-77,1.69846092763893e-74
"YGR161C-D",-2.06319691830458,7.51208277825203,4500.62256944495,1.75222037975486e-76,3.27938995448495e-74
"YHR214C-B",-2.18106041748142,7.54827436903614,4426.97546941075,3.53375838749196e-76,6.41323605536042e-74
"YBR012W-B",-2.02873999092796,7.11308652303121,4330.81796016312,8.98612596017475e-76,1.56481251791716e-73
"YDR210C-D",-2.08110057259053,7.38861355881154,4329.03389355363,9.14483855854073e-76,1.56481251791716e-73
"YMR050C",-2.2939804395304,7.80035162970981,4320.3650297673,9.95785507709476e-76,1.6565998349089e-73
"YPL019C",-2.47069735558167,7.9408471665424,4314.76949422551,1.05215673098058e-75,1.7030720707683e-73
"YBL005W-B",-2.17722465818334,7.40045083136306,4277.0063642963,1.52853361915816e-75,2.40904943293111e-73
"YOR142W-B",-2.14132688824424,7.24424288402327,4273.64621758473,1.58042886238433e-75,2.42697139918455e-73
"YNL284C-B",-2.13772049376292,7.94201684578097,4230.12270934278,2.44122309490898e-75,3.65512127885247e-73
"YER160C",-2.21650205900593,7.34505501500585,3961.6749246001,3.94598964507976e-74,5.76403219131285e-72
"YOR306C",-1.33404505806211,6.73654524196487,3772.67531770932,3.13419822251963e-73,4.46921741777859e-71
"YPL095C",-1.97672059457547,6.25778547924601,3638.85808826551,1.44677630897854e-72,2.01505658476104e-70
"YLR035C-A",-2.0822471828625,6.8009885056434,3371.25742108229,3.6604966643909e-71,4.98243511887207e-69
"YER001W",-2.33711395429986,6.28162042761276,3367.6271816545,3.83100579270028e-71,5.09864304277377e-69
"YDR011W",-1.27289801221363,7.73995106684532,3319.30879204594,7.05482076670983e-71,9.05110351728068e-69
"YGL028C",-1.65804900526086,6.58619335068333,3318.77343464138,7.10305335301706e-71,9.05110351728068e-69
"YOR273C",-2.23835787854505,7.96144996316701,3281.51981575497,1.14421852296973e-70,1.42765098626368e-68
"YPL025C",3.68115150474313,3.95352704791461,3275.54241036544,1.23579337746829e-70,1.51044215054236e-68
"YNL054W-B",-1.95431741227574,7.2046031585704,3206.83174601932,3.02435861170906e-70,3.62257674510511e-68
"YKL109W",-2.114298744239,7.6312920070253,3160.23554836369,5.60874285958424e-70,6.5864237227549e-68
"YHL047C",-1.81941328085929,7.58327062351991,3125.56519349936,8.93216471486776e-70,1.02874489379506e-67
"YER124C",-1.77480011882179,6.46567870735254,3063.49347218292,2.08103813160598e-69,2.35157308871476e-67
"YER011W",-4.20714183650735,7.53949051866533,3016.99409848225,3.96483867649847e-69,4.39729978399061e-67
"YFR055W",-2.04539097584006,6.8512843143729,2858.29380025148,3.85744930379651e-68,4.20041161462497e-66
"YPL057C",-1.1585944788741,7.24823837363811,2684.07433264724,5.42366686408216e-67,5.80041800874787e-65
"YHR136C",-4.70143951175267,5.76305744060966,2640.83540699727,1.07249803243219e-66,1.126875564252e-64
"YMR056C",2.04078965749851,5.85198138951988,2635.58957106224,1.16584115567088e-66,1.20383149677809e-64
"YDR281C",-3.84958925810233,3.24860514836297,2593.030665008,2.30825137277636e-66,2.34307075789112e-64
"YDR034C-D",-1.35339796218556,6.38991010522004,2561.66296540544,3.84551719886816e-66,3.83846708400357e-64
"YPR149W",-2.15318866369991,8.44425201775995,2509.55201571159,9.10098575213538e-66,8.93537765074407e-64
"YFL002W-A",-1.37639026291147,6.32258786957889,2449.65751393273,2.50321399683233e-65,2.41802397210143e-63
"YKL062W",-2.1791376105764,7.07776681119279,2391.58618661434,6.83216209891542e-65,6.49489187466737e-63
"YML122C",3.11566821674914,2.99070422568423,2378.24262008825,8.63375030588685e-65,8.07930165343068e-63
"YLR410W-B",-1.35859053260447,6.42573465172421,2347.69220248645,1.48251137567372e-64,1.36596317367845e-62
"YDR399W",-1.87093286980278,7.60706824752571,2333.09818750091,1.92399701656977e-64,1.74588153518733e-62
"YBR070C",1.57497917310135,5.60666193724106,2315.05840929257,2.6612609570387e-64,2.37884953309027e-62
"YIL169C",-2.92122054879821,7.73540250486297,2242.95672725604,9.97575177730488e-64,8.78599667562925e-62
"YFR015C",-3.05363092633773,9.33199461937623,2206.16126370563,1.98923741661734e-63,1.7266004185683e-61
"YOR192C-B",-1.32450281800033,6.4899445178198,2200.35661260047,2.220297500731e-63,1.89962310455399e-61
"YGR233C",-1.35594364610213,6.29418750195074,2184.24899820283,3.01635076896315e-63,2.54435559934089e-61
"YPR064W",2.7307895679022,3.3461476229166,2174.54191553186,3.63188634873611e-63,3.02102324202508e-61
"YDR077W",-3.43779230932121,11.5777959205539,2162.85246358813,4.54688493897428e-63,3.73031423281054e-61
"YCL019W",-1.37388558012376,6.1440267749577,2138.4538898292,7.29515352914139e-63,5.90414520081456e-61
"YER037W",-1.86875540932524,5.60726039643771,2128.34319244299,8.88749840618398e-63,7.09696372728478e-61
"YHR216W",-1.26293204705937,8.06290357695244,2124.99581270525,9.48972731415154e-63,7.47815485321758e-61
"YIL011W",-1.71572076407744,5.32489247160884,2117.7153282545,1.09479727711367e-62,8.51524791251136e-61
"YGR161W-B",-1.34392411781333,6.42002035581221,2093.40185813544,1.77071584190468e-62,1.35959194579066e-60
"YBR067C",-2.88480975908211,8.92207620198847,2082.47186259234,2.20181557121923e-62,1.66919917164962e-60
"YGR035C",-3.68591111914478,5.50158270220949,2038.06012080082,5.3984598574645e-62,4.04142201079436e-60
"YBR092C",-2.73522406783381,7.24640852941699,2032.50700708848,6.04703319704711e-62,4.47107182927347e-60
"YCR025C",2.53752346182695,3.40374592487396,1941.90079320261,4.02035816910316e-61,2.93447975228152e-59
"YCR018C",-1.60292051668318,4.50809935205233,1941.36322600756,4.06681949306005e-61,2.93447975228152e-59
"YDR210W-B",-1.21848039464959,6.24800697542247,1940.23396795915,4.16621742768403e-61,2.97041383028568e-59
"YLR111W",3.13735293354576,3.04354642469345,1921.00551796677,6.2981478040145e-61,4.4376008468521e-59
"YBL005W",-1.22490922215066,5.96339699310715,1908.79112763471,8.20564384700386e-61,5.71437220926815e-59
"YDR261W-B",-1.24332961288288,6.0877148768502,1878.90462933485,1.57850846855831e-60,1.08663071473514e-58
"YOR343W-B",-1.28765882218915,6.20549045174297,1835.11511241611,4.19240478191539e-60,2.85321729987401e-58
"YBR244W",-2.6276708624074,5.18780046211244,1831.65448470525,4.53314667422229e-60,3.02361105026448e-58
"YPR124W",-1.21776006124753,7.74488929446978,1831.55114409214,4.54374677782273e-60,3.02361105026448e-58
"YGR087C",2.76714674518104,3.58306147618696,1828.57109002864,4.86058622033456e-60,3.1989066894048e-58
"YNL040W",-0.968913055421742,4.868534622087,1822.8462720021,5.53419476644399e-60,3.60264048437316e-58
"YBL100W-B",-1.23189995761404,5.72540634332368,1818.18186038294,6.15325274910884e-60,3.96256244240998e-58
"YLL052C",-2.52968444496347,3.17492986555547,1760.30004178766,2.34494264924706e-59,1.49402782195113e-57
"YIL094C",-1.11839968703801,7.91394385213757,1747.47513899457,3.17201423923087e-59,1.99970455565828e-57
"YJL077C",1.89645103172613,5.03461836612276,1742.15666701428,3.59761175342537e-59,2.24438508242339e-57
"YMR272C",-1.40013885695831,7.27492650608622,1657.97595560228,2.77541658887589e-58,1.71360514956471e-56
"YPR009W",-1.2248963651265,5.58103672012503,1650.86228303288,3.31331996983964e-58,2.02484421422139e-56
"YBR093C",-2.27611800671975,7.16797193382259,1637.90633775928,4.58349408782497e-58,2.77278243353371e-56
"YHR092C",-2.47558907685256,9.94932411471619,1630.94553099186,5.46202492699434e-58,3.27120672877691e-56
"YOL130W",-1.10239118178332,7.22511380256584,1579.99717732332,2.01538154187456e-57,1.19506139151354e-55
"YKL045W",0.819977566652532,5.95509392046177,1569.0784574763,2.67995111949292e-57,1.57355169163168e-55
"YOL158C",-1.75107077868329,7.77088268907829,1561.30444756008,3.28661065713074e-57,1.91102050733554e-55
"YOL104C",-2.59090121530483,2.29403967513122,1556.11179737595,3.76856714685563e-57,2.17018736947292e-55
"YJR147W",-1.26816675720778,5.66237835088922,1545.70469591113,4.9642054713408e-57,2.8314882445581e-55
"YDL039C",-3.07613761462161,7.52585750782247,1544.49220083485,5.12674974669715e-57,2.89661360688389e-55
"YJR150C",-3.07411135955774,2.86584641847109,1543.6700928098,5.24004826324036e-57,2.93295785500434e-55
"YIL056W",-1.42232132292214,6.97647644381834,1506.42814715068,1.42719090311627e-56,7.91430214700308e-55
"YLR312C",1.45132526380334,4.66972779319377,1498.19271453797,1.78682211907379e-56,9.8176859368192e-55
"YLL053C",-2.19276342821739,3.77972838146562,1492.2622297007,2.10222478191426e-56,1.14456583808041e-54
"YBL044W",3.15033892339933,3.20067992289035,1487.42853581359,2.40113783603028e-56,1.29553283783652e-54
