"","logFC","unshrunk.logFC","logCPM","PValue","FDR"
"YML123C",-4.65564684782383,-4.65608946741888,9.17745903062282,1.00875516056449e-85,6.04143465662075e-82
"YDR033W",-3.75704299381192,-3.75732058438896,8.94649403052549,2.03621879448667e-85,6.09745718009034e-82
"YIL121W",-2.8350889494063,-2.83577289962757,6.69983457916332,6.27105075670206e-84,1.25191076606295e-80
"YHR215W",-4.44282972607971,-4.44427678567651,7.25524985379875,6.64134721771443e-83,9.94375712172292e-80
"YGR234W",-4.20408195516348,-4.20460399347993,8.48600056701287,3.46320844351313e-82,4.14823107364003e-79
"YAR071W",-4.25666782552466,-4.25765981092759,7.61277822689907,1.80558057060796e-80,1.80227033956184e-77
"YER081W",3.16072158116513,3.1608857061436,9.10111094993148,1.37981631556615e-73,1.1805314162751e-70
"YOR153W",-2.7530475293877,-2.75312391299088,9.77997385407129,5.84071872061037e-68,4.37250805221694e-65
"YDR261C-D",-2.57829608898017,-2.5786116434587,7.54844943859136,9.44785456691066e-66,6.28702233346977e-63
"YPL257W-B",-2.46364847061153,-2.46397946270323,7.35741387114602,1.41306109370517e-65,8.46282289020026e-63
"YER138C",-2.45368639646044,-2.45397239909049,7.5581769258861,4.06639602022617e-65,2.21396779683041e-62
"YML039W",-2.46485810637577,-2.46513900798884,7.59611357051702,2.08193976071212e-64,1.03906143557541e-61
"YOL103W-B",-2.48691037642263,-2.48716075686809,7.78580083802359,2.28552535527195e-64,1.05292395020952e-61
"YDR365W-B",-2.33842666335909,-2.33870727488336,7.46178292114335,2.92714897482862e-64,1.25219251501776e-61
"YJR027W",-2.38299990975195,-2.3832248191243,7.82923135703273,3.47953870436968e-64,1.38926382003133e-61
"YPR158C-D",-2.41786161077521,-2.41809833494533,7.7924889868633,1.85416490594433e-63,6.94037101356287e-61
"YLR157C-B",-2.4337398776579,-2.43396645403366,7.87324146991711,4.48408635692831e-63,1.57971724656727e-60
"YAR009C",-2.44794418674013,-2.44830743904631,7.20638206870898,5.65069641889066e-63,1.88011226959645e-60
"YGR038C-B",-2.25466262494586,-2.2549050702065,7.58191409697463,8.57683005999081e-63,2.70350711733079e-60
"YER011W",-4.20714183650735,-4.20814839020038,7.53949051866533,2.75866469713993e-62,7.99601391708903e-60
"YML045W",-2.32245212476741,-2.32269973051127,7.6249971082146,2.80374507027667e-62,7.99601391708903e-60
"YPR137C-B",-2.27267112478692,-2.2729551406226,7.37294518573322,1.50435178979565e-61,4.0952558495846e-59
"YLR227W-B",-2.34869214208167,-2.34897694430018,7.45144300189962,1.68440334890166e-61,4.38603985068349e-59
"YPL025C",3.68115150474313,3.68993201693474,3.95352704791461,1.0714360207349e-60,2.67367930340889e-58
"YHR136C",-4.70143951175267,-4.70628571554835,5.76305744060966,2.15626939920971e-60,5.16555897274678e-58
"YJR029W",-2.2996562534687,-2.29989029271086,7.68165824527592,3.06969529726606e-60,7.07092505204863e-58
"YPR158W-B",-2.31983537979447,-2.32011577868852,7.4424781564955,4.20929772507637e-60,9.33684595388237e-58
"YGR027W-B",-2.3678929470311,-2.3681287390496,7.74492371989418,1.09848867386177e-59,2.34958880991363e-57
"YPL019C",-2.47069735558167,-2.47091937639467,7.9408471665424,1.38289545018597e-59,2.85591753488406e-57
"YDR316W-B",-2.27684636172275,-2.27711801057623,7.44153529920783,2.97675468374729e-59,5.94259460032084e-57
